,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-21,0.63,0.59,0.04,6.7797
1,2022-06-30,2022-07-21,0.63,0.59,0.04,6.7797
2,2022-03-31,2022-04-28,0.47,0.4,0.07,17.5
3,2021-12-31,2022-02-10,0.82,0.81,0.01,1.2346
4,2021-09-30,2021-10-21,0.63,0.49,0.14,28.5714
5,2021-06-30,2021-07-21,0.7,0.42,0.28,66.6667
6,2021-03-31,2021-04-28,0.45,0.15,0.3,200
7,2020-12-31,2021-02-10,0.86,0.8,0.06,7.5
8,2020-09-30,2020-10-21,0.53,0.33,0.2,60.6061
9,2020-06-30,2020-07-29,0.23,0.2,0.03,15
10,2020-03-31,2020-04-22,0.11,0.09,0.02,22.2222
11,2019-12-31,2020-02-12,0.88,0.83,0.05,6.0241
12,2019-09-30,2019-10-22,0.49,0.47,0.02,4.2553
13,2019-06-30,2019-07-23,0.46,0.44,0.02,4.5455
14,2019-03-31,2019-04-26,0.11,0.04,0.07,175
15,2018-12-31,2019-02-13,0.89,0.79,0.1,12.6582
16,2018-09-30,2018-10-19,0.48,0.46,0.02,4.3478
17,2018-06-30,2018-07-24,0.43,0.43,0,0
18,2018-03-31,2018-04-27,0.03,0.05,-0.02,-40
19,2017-12-31,2018-02-14,0.79,0.77,0.02,2.5974
20,2017-09-30,2017-10-24,0.31,0.33,-0.02,-6.0606
21,2017-06-30,2017-07-25,0.27,0.34,-0.07,-20.5882
22,2017-03-31,2017-04-21,0.05,0.03,0.02,66.6667
23,2016-12-31,2017-02-10,0.75,0.67,0.08,11.9403
24,2016-09-30,2016-10-21,0.31,0.29,0.02,6.8966
25,2016-06-30,2016-07-21,0.33,0.33,0,0
26,2016-03-31,2016-04-22,0.0132,0.0058,0.0074,127.5862
27,2015-12-31,2016-02-12,0.66,0.62,0.04,6.4516
28,2015-09-30,2015-10-21,0.18,0.25,-0.07,-28
29,2015-06-30,2015-07-22,0.29,0.27,0.02,7.4074
30,2015-03-31,2015-04-24,0.29,-0.03,0.32,1066.6667
31,2014-12-31,2015-02-13,0.57,0.58,-0.01,-1.7241
32,2014-09-30,2014-10-22,0.21,0.21,0,0
33,2014-06-30,2014-07-18,0.25,0.25,0,0
34,2014-03-31,2014-04-22,-0.05,-0.08,0.03,37.5
35,2013-12-31,2014-02-14,0.56,0.58,-0.02,-3.4483
36,2013-09-30,2013-10-18,0.17,0.18,-0.01,-5.5556
37,2013-06-30,2013-07-19,0.18,0.22,-0.04,-18.1818
38,2013-03-31,2013-04-19,-0.14,-0.13,-0.01,-7.6923
39,2012-12-31,2013-02-22,0.56,0.53,0.03,5.6604
40,2012-09-30,2012-10-26,0.15,0.17,-0.02,-11.7647
41,2012-06-30,2012-07-26,0.22,0.2,0.02,10
42,2012-03-31,2012-04-26,-0.1,-0.1,0,0
43,2011-12-31,2012-02-24,0.5,0.39,0.11,28.2051
44,2011-09-30,2011-10-28,0.16,0.1,0.06,60
45,2011-06-30,2011-07-28,0.19,0.2,-0.01,-5
46,2011-03-31,2011-04-28,-0.1,-0.11,0.01,9.0909
47,2010-12-31,2011-02-25,0.36,0.31,0.05,16.129
48,2010-09-30,2010-10-29,0.08,0.07,0.01,14.2857
49,2010-06-30,2010-07-29,0.15,0.1,0.05,50
50,2010-03-31,2010-04-29,-0.15,-0.13,-0.02,-15.3846
51,2009-12-31,2010-02-26,0.24,0.24,0,0
52,2009-09-30,2009-10-28,0.03,0.01,0.02,200
53,2009-06-30,2009-07-28,0.04,0.1,-0.06,-60
54,2009-03-31,2009-04-28,-0.16,-0.2,0.04,20
55,2008-12-31,2009-02-27,0.39,0.29,0.1,34.4828
56,2008-09-30,2008-10-28,0.08,0.06,0.02,33.3333
57,2008-06-30,2008-07-30,0.17,0.16,0.01,6.25
58,2008-03-31,2008-04-30,-0.15,-0.16,0.01,6.25
59,2007-12-31,2008-02-29,0.31,0.22,0.09,40.9091
60,2007-09-30,2007-11-01,-0.06,0.03,-0.09,-300
61,2007-06-30,2007-08-07,0.24,0.1,0.14,140
62,2007-03-31,2007-05-10,-0.29,-0.17,-0.12,-70.5882
63,2006-12-31,2007-02-28,0.11,0.22,-0.11,-50
64,2006-09-30,2006-11-08,-0.01,-0.14,0.13,92.8571
65,2006-06-30,2006-08-09,0.11,0.02,0.09,450
66,2006-03-31,2006-05-10,-0.43,-0.29,-0.14,-48.2759
67,2005-12-31,2006-03-22,-0.08,0.15,-0.23,-153.3333
68,2005-09-30,2005-11-09,-0.24,-0.08,-0.16,-200
69,2005-06-30,2005-09-30,0.22,0.15,0.07,46.6667
70,2005-03-31,2005-05-10,-0.3511,None,None,None
71,2004-12-31,2005-03-22,0.22,None,None,None
72,2004-09-30,2004-11-03,-1.4,0.03,-1.43,-4766.6667
73,2004-06-30,2004-08-05,-0.03,0.09,-0.12,-133.3333
74,2004-03-31,2004-05-07,-0.05,-0.01,-0.04,-400
75,2003-12-31,2004-03-09,-0.26,0.12,-0.38,-316.6667
76,2003-09-30,2003-11-11,-0.85,0.14,-0.99,-707.1429
77,2003-06-30,2003-08-12,-0.04,0.15,-0.19,-126.6667
78,2003-03-31,2003-05-08,-0.02,0.07,-0.09,-128.5714
79,2002-12-31,2003-03-06,0.05,0.18,-0.13,-72.2222
80,2002-09-30,2002-11-13,0.02,0.08,-0.06,-75
81,2002-06-30,2002-08-13,0.31,0.39,-0.08,-20.5128
82,2002-03-31,2002-05-02,0.18,0.18,0,0
83,2001-12-31,2002-02-28,0.3,0.29,0.01,3.4483
