,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,2.48,2.38,0.1,4.2017
1,2022-06-30,2022-07-21,2.44,2.38,0.06,2.521
2,2022-03-31,2022-04-27,2.47,2.42,0.05,2.0661
3,2021-12-31,2022-02-15,2.55,2.43,0.12,4.9383
4,2021-09-30,2021-10-21,2.17,2.12,0.05,2.3585
5,2021-06-30,2021-07-27,2.13,2.08,0.05,2.4038
6,2021-03-31,2021-04-22,2.18,1.85,0.33,17.8378
7,2020-12-31,2021-02-10,2.11,2,0.11,5.5
8,2020-09-30,2020-10-20,1.63,1.54,0.09,5.8442
9,2020-06-30,2020-07-22,1.18,1.06,0.12,11.3208
10,2020-03-31,2020-04-28,1.5,1.48,0.02,1.3514
11,2019-12-31,2020-02-12,1.74,1.72,0.02,1.1628
12,2019-09-30,2019-10-30,1.6,1.57,0.03,1.9108
13,2019-06-30,2019-07-24,1.53,1.49,0.04,2.6846
14,2019-03-31,2019-05-01,1.53,1.51,0.02,1.3245
15,2018-12-31,2019-02-14,1.5,1.47,0.03,2.0408
16,2018-09-30,2018-10-22,1.42,1.39,0.03,2.1583
17,2018-06-30,2018-07-24,1.29,1.23,0.06,4.878
18,2018-03-31,2018-05-02,1.34,1.27,0.07,5.5118
19,2017-12-31,2018-02-14,1.4,1.34,0.06,4.4776
20,2017-09-30,2017-10-26,1.19,1.14,0.05,4.386
21,2017-06-30,2017-08-03,1.09,1.05,0.04,3.8095
22,2017-03-31,2017-05-03,1.01,0.96,0.05,5.2083
23,2016-12-31,2017-02-14,1.09,1.05,0.04,3.8095
24,2016-09-30,2016-11-02,1,0.99,0.01,1.0101
25,2016-06-30,2016-07-27,0.93,0.9,0.03,3.3333
26,2016-03-31,2016-05-03,0.89,0.86,0.03,3.4884
27,2015-12-31,2016-02-11,0.9,0.87,0.03,3.4483
28,2015-09-30,2015-10-28,0.94,0.81,0.13,16.0494
29,2015-06-30,2015-07-29,0.78,0.7,0.08,11.4286
30,2015-03-31,2015-04-29,0.72,0.71,0.01,1.4085
31,2014-12-31,2015-02-12,0.71,0.67,0.04,5.9701
32,2014-09-30,2014-10-30,0.65,0.64,0.01,1.5625
33,2014-06-30,2014-07-31,0.64,0.61,0.03,4.918
34,2014-03-31,2014-05-02,0.68,0.6,0.08,13.3333
35,2013-12-31,2014-02-13,0.58,0.55,0.03,5.4545
36,2013-09-30,2013-10-31,0.54,0.51,0.03,5.8824
37,2013-06-30,2013-08-01,0.5,0.47,0.03,6.383
38,2013-03-31,2013-05-10,0.3647,None,None,None
