,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,2.41,1.87,0.54,28.877
1,2022-06-30,2022-08-02,2.85,2.13,0.72,33.8028
2,2022-03-31,2022-05-03,2.33,1.75,0.58,33.1429
3,2021-12-31,2022-02-08,2.99,2.42,0.57,23.5537
4,2021-09-30,2021-11-02,2.03,1.56,0.47,30.1282
5,2021-06-30,2021-08-03,2.24,1.73,0.51,29.4798
6,2021-03-31,2021-05-04,2,1.05,0.95,90.4762
7,2020-12-31,2021-02-09,1.59,0.82,0.77,93.9024
8,2020-09-30,2020-11-03,0.91,0.53,0.38,71.6981
9,2020-06-30,2020-08-04,1.2,0.81,0.39,48.1481
10,2020-03-31,2020-05-07,1.2,0.32,0.88,275
11,2019-12-31,2020-02-04,1.18,0.81,0.37,45.679
12,2019-09-30,2019-10-31,0.7,0.43,0.27,62.7907
13,2019-06-30,2019-07-30,1.45,1.18,0.27,22.8814
14,2019-03-31,2019-05-07,0.58,0.53,0.05,9.434
15,2018-12-31,2019-02-05,1.2,1.25,-0.05,-4
16,2018-09-30,2018-11-01,0.85,0.62,0.23,37.0968
17,2018-06-30,2018-08-01,1.03,0.96,0.07,7.2917
18,2018-03-31,2018-05-08,0.72,0.58,0.14,24.1379
19,2017-12-31,2018-02-06,1.17,1.32,-0.15,-11.3636
20,2017-09-30,2017-11-02,0.65,0.52,0.13,25
21,2017-06-30,2017-08-08,0.88,0.83,0.05,6.0241
22,2017-03-31,2017-05-04,0.6,0.6,0,0
23,2016-12-31,2017-02-02,0.97,0.98,-0.01,-1.0204
24,2016-09-30,2016-11-03,0.58,0.5,0.08,16
25,2016-06-30,2016-08-04,0.71,0.68,0.03,4.4118
26,2016-03-31,2016-05-05,0.61,0.44,0.17,38.6364
27,2015-12-31,2016-02-04,0.92,0.88,0.04,4.5455
28,2015-09-30,2015-11-05,0.45,0.42,0.03,7.1429
29,2015-06-30,2015-07-30,0.65,0.63,0.02,3.1746
30,2015-03-31,2015-05-07,0.37,0.37,0,0
31,2014-12-31,2015-02-05,0.72,0.8,-0.08,-10
32,2014-09-30,2014-11-06,0.44,0.4,0.04,10
33,2014-06-30,2014-08-05,0.58,0.56,0.02,3.5714
34,2014-03-31,2014-05-01,0.4,0.37,0.03,8.1081
35,2013-12-31,2014-02-06,0.65,0.68,-0.03,-4.4118
36,2013-09-30,2013-11-07,0.4,0.39,0.01,2.5641
37,2013-06-30,2013-08-02,0.49,0.52,-0.03,-5.7692
38,2013-03-31,2013-05-02,0.38,0.4,-0.02,-5
39,2012-12-31,2013-02-07,0.61,0.59,0.02,3.3898
40,2012-09-30,2012-11-02,0.33,0.35,-0.02,-5.7143
41,2012-06-30,2012-08-03,0.43,0.41,0.02,4.878
42,2012-03-31,2012-05-03,0.36,0.35,0.01,2.8571
43,2011-12-31,2012-02-07,0.46,0.47,-0.01,-2.1277
44,2011-09-30,2011-11-01,0.31,0.29,0.02,6.8966
45,2011-06-30,2011-08-02,0.32,0.31,0.01,3.2258
46,2011-03-31,2011-05-05,0.29,0.29,0,0
47,2010-12-31,2011-02-07,0.39,0.38,0.01,2.6316
48,2010-09-30,2010-11-03,0.23,0.23,0,0
49,2010-06-30,2010-08-09,0.24,0.22,0.02,9.0909
50,2010-03-31,2010-05-05,0.24,0.19,0.05,26.3158
51,2009-12-31,2010-02-09,0.28,0.26,0.02,7.6923
52,2009-09-30,2009-10-30,0.21,0.14,0.07,50
53,2009-06-30,2009-08-04,0.18,0.17,0.01,5.8824
54,2009-03-31,2009-05-08,0.21,0.12,0.09,75
55,2008-12-31,2009-02-05,0.35,0.32,0.03,9.375
56,2008-09-30,2008-10-30,0.19,0.12,0.07,58.3333
57,2008-06-30,2008-07-30,0.3,0.23,0.07,30.4348
58,2008-03-31,2008-05-08,0.14,0.09,0.05,55.5556
59,2007-12-31,2008-02-07,0.37,0.36,0.01,2.7778
60,2007-09-30,2007-10-30,0.11,0.11,0,0
61,2007-06-30,2007-07-31,0.17,0.22,-0.05,-22.7273
62,2007-03-31,2007-05-03,0.08,0.07,0.01,14.2857
63,2006-12-31,2007-02-06,0.2,0.22,-0.02,-9.0909
64,2006-09-30,2006-10-31,0.1,0.07,0.03,42.8571
65,2006-06-30,2006-08-01,0.18,0.15,0.03,20
66,2006-03-31,2006-05-02,0.1,0.03,0.07,233.3333
67,2005-12-31,2006-02-07,0.16,0.16,0,0
68,2005-09-30,2005-10-27,0.06,0.03,0.03,100
69,2005-06-30,2005-07-28,0.12,0.14,-0.02,-14.2857
70,2005-03-31,2005-05-03,0.03,0.07,-0.04,-57.1429
71,2004-12-31,2005-02-03,0.14,0.17,-0.03,-17.6471
72,2004-09-30,2004-10-27,0.05,0.05,0,0
73,2004-06-30,2004-07-23,0.12,0.09,0.03,33.3333
74,2004-03-31,2004-04-29,0.09,0.06,0.03,50
75,2003-12-31,2004-02-05,0.18,0.17,0.01,5.8824
76,2003-09-30,2003-10-30,0.07,0.07,0,0
77,2003-06-30,2003-07-31,0.1,0.1,0,0
78,2003-03-31,2003-05-06,0.04,0.04,0,0
79,2002-12-31,2003-02-06,0.11,0.11,0,0
80,2002-09-30,2002-10-30,0.15,0.12,0.03,25
81,2002-06-30,2002-07-18,0.17,0.14,0.03,21.4286
82,2002-03-31,2002-04-24,0.07,0.05,0.02,40
83,2001-12-31,2002-01-22,0.17,0.13,0.04,30.7692
84,2001-09-30,2001-10-30,0.12,0.13,-0.01,-7.6923
85,2001-06-30,2001-07-19,0.16,0.11,0.05,45.4545
86,2001-03-31,2001-04-17,0.01,-0.03,0.04,133.3333
87,2000-12-31,2001-01-17,0.03,0.01,0.02,200
88,2000-09-30,2000-10-31,0.04,0.05,-0.01,-20
89,2000-06-30,2000-07-12,0.13,0.07,0.06,85.7143
90,2000-03-31,2000-04-11,0.13,0.13,0,0
91,1999-12-31,2000-01-11,0.22,0.21,0.01,4.7619
92,1999-09-30,1999-10-29,0.2,0.24,-0.04,-16.6667
93,1999-06-30,1999-07-15,0.26,0.27,-0.01,-3.7037
94,1999-03-31,1999-04-15,0.27,0.27,0,0
95,1998-12-31,1999-01-19,0.29,0.29,0,0
96,1998-09-30,1998-11-12,0.23,0.24,-0.01,-4.1667
97,1998-06-30,1998-07-16,0.22,0.22,0,0
98,1998-03-31,1998-04-16,0.23,0.23,0,0
99,1997-12-31,1998-01-20,0.25,0.25,0,0
100,1997-09-30,1997-11-12,0.17,0.16,0.01,6.25
101,1997-06-30,1997-07-17,0.18,0.17,0.01,5.8824
102,1997-03-31,1997-04-17,0.18,0.17,0.01,5.8824
103,1996-12-31,1997-01-16,0.19,0.17,0.02,11.7647
104,1996-09-30,1996-11-12,0.13,0.13,0,0
105,1996-06-30,1996-07-18,0.13,0.11,0.02,18.1818
106,1996-03-31,1996-04-17,0.12,0.1,0.02,20
