,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,0.34,0.41,-0.07,-17.0732
1,2022-06-30,2022-07-27,0.39,0.52,-0.13,-25
2,2022-03-31,2022-04-26,0.56,0.62,-0.06,-9.6774
3,2021-12-31,2022-01-25,0.86,0.76,0.1,13.1579
4,2021-09-30,2021-10-26,0.77,0.73,0.04,5.4795
5,2021-06-30,2021-07-27,0.78,0.7,0.08,11.4286
6,2021-03-31,2021-04-27,0.68,0.62,0.06,9.6774
7,2020-12-31,2021-01-26,0.72,0.57,0.15,26.3158
8,2020-09-30,2020-10-27,0.53,0.48,0.05,10.4167
9,2020-06-30,2020-07-28,0.35,0.44,-0.09,-20.4545
10,2020-03-31,2020-04-23,0.34,0.52,-0.18,-34.6154
11,2019-12-31,2020-01-29,0.64,0.7,-0.06,-8.5714
12,2019-09-30,2019-10-23,0.7,0.57,0.13,22.807
13,2019-06-30,2019-07-25,0.65,0.59,0.06,10.1695
14,2019-03-31,2019-04-25,0.56,0.53,0.03,5.6604
15,2018-12-31,2019-01-30,0.44,0.53,-0.09,-16.9811
16,2018-09-30,2018-10-18,0.66,0.66,0,0
17,2018-06-30,2018-07-26,0.66,0.66,0,0
18,2018-03-31,2018-04-26,0.67,0.66,0.01,1.5152
19,2017-12-31,2018-01-31,0.73,0.7,0.03,4.2857
20,2017-09-30,2017-10-26,0.71,0.66,0.05,7.5758
21,2017-06-30,2017-07-27,0.64,0.61,0.03,4.918
22,2017-03-31,2017-04-27,0.61,0.56,0.05,8.9286
23,2016-12-31,2017-01-26,0.59,0.58,0.01,1.7241
24,2016-09-30,2016-10-27,0.6,0.61,-0.01,-1.6393
25,2016-06-30,2016-07-28,0.56,0.54,0.02,3.7037
26,2016-03-31,2016-04-28,0.49,0.54,-0.05,-9.2593
27,2015-12-31,2016-01-28,0.58,0.6,-0.02,-3.3333
28,2015-09-30,2015-10-29,0.61,0.62,-0.01,-1.6129
29,2015-06-30,2015-07-30,0.63,0.62,0.01,1.6129
30,2015-03-31,2015-04-30,0.63,0.6,0.03,5
31,2014-12-31,2015-01-29,0.63,0.62,0.01,1.6129
32,2014-09-30,2014-10-30,0.64,0.62,0.02,3.2258
33,2014-06-30,2014-07-31,0.65,0.59,0.06,10.1695
34,2014-03-31,2014-05-01,0.6,0.55,0.05,9.0909
35,2013-12-31,2014-01-30,0.58,0.57,0.01,1.7544
36,2013-09-30,2013-10-31,0.55,0.52,0.03,5.7692
37,2013-06-30,2013-07-31,0.5,0.51,-0.01,-1.9608
38,2013-03-31,2013-04-30,0.52,0.47,0.05,10.6383
39,2012-12-31,2013-01-31,0.45,0.47,-0.02,-4.2553
40,2012-09-30,2012-11-01,0.42,0.45,-0.03,-6.6667
41,2012-06-30,2012-07-26,0.41,0.43,-0.02,-4.6512
42,2012-03-31,2012-04-26,0.44,0.44,0,0
43,2011-12-31,2012-01-26,0.42,0.4,0.02,5
44,2011-09-30,2011-10-24,0.42,0.4,0.02,5
45,2011-06-30,2011-07-26,0.44,0.43,0.01,2.3256
46,2011-03-31,2011-04-27,0.41,0.42,-0.01,-2.381
47,2010-12-31,2011-01-27,0.44,0.4,0.04,10
48,2010-09-30,2010-10-25,0.39,0.35,0.04,11.4286
49,2010-06-30,2010-07-27,0.27,0.27,0,0
50,2010-03-31,2010-04-28,0.27,0.26,0.01,3.8462
51,2009-12-31,2010-01-28,0.25,0.28,-0.03,-10.7143
52,2009-09-30,2009-10-20,0.24,0.24,0,0
53,2009-06-30,2009-07-27,0.18,0.16,0.02,12.5
54,2009-03-31,2009-04-23,0.08,0.14,-0.06,-42.8571
55,2008-12-31,2009-01-30,0.08,0.17,-0.09,-52.9412
56,2008-09-30,2008-10-29,0.33,0.34,-0.01,-2.9412
57,2008-06-30,2008-07-24,0.41,0.4,0.01,2.5
58,2008-03-31,2008-04-24,0.39,0.39,0,0
59,2007-12-31,2008-02-05,0.43,0.45,-0.02,-4.4444
60,2007-09-30,2007-11-08,0.2078,None,None,None
61,2007-06-30,2007-08-02,0.2082,None,None,None
62,2007-03-31,2007-04-26,0.3784,None,None,None
63,2006-12-31,2007-02-13,0.3827,None,None,None
64,2006-09-30,2006-10-25,0.126,None,None,None
65,2006-06-30,2006-07-27,0.1456,None,None,None
66,2006-03-31,2006-04-26,0.1328,None,None,None
67,2005-12-31,2006-02-07,-0.0118,None,None,None
68,2005-09-30,2005-10-27,0.094,None,None,None
69,2005-06-30,2005-08-02,0.1761,None,None,None
70,2005-03-31,2005-04-26,0.0894,None,None,None
