,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-21,1.8,1.77,0.03,1.6949
1,2022-06-30,2022-08-01,1.86,1.81,0.05,2.7624
2,2022-03-31,2022-05-03,1.72,1.68,0.04,2.381
3,2021-12-31,2022-02-08,1.56,1.58,-0.02,-1.2658
4,2021-09-30,2021-11-23,1.58,1.57,0.01,0.6369
5,2021-06-30,2021-08-03,1.64,1.53,0.11,7.1895
6,2021-03-31,2021-05-10,1.66,1.38,0.28,20.2899
7,2020-12-31,2021-02-09,1.41,1.27,0.14,11.0236
8,2020-09-30,2020-11-24,1.63,1.32,0.31,23.4848
9,2020-06-30,2020-08-03,1.26,1,0.26,26
10,2020-03-31,2020-05-06,1.39,1.3,0.09,6.9231
11,2019-12-31,2020-02-04,1.2,1.19,0.01,0.8403
12,2019-09-30,2019-11-25,1.48,1.32,0.16,12.1212
13,2019-06-30,2019-08-05,1.4,1.24,0.16,12.9032
14,2019-03-31,2019-05-07,1.19,1.08,0.11,10.1852
15,2018-12-31,2019-02-06,0.99,1.05,-0.06,-5.7143
16,2018-09-30,2018-11-20,1.31,1.24,0.07,5.6452
17,2018-06-30,2018-08-06,1.35,1.21,0.14,11.5702
18,2018-03-31,2018-05-08,1,0.87,0.13,14.9425
19,2017-12-31,2018-02-07,0.77,0.72,0.05,6.9444
20,2017-09-30,2017-11-21,0.98,0.82,0.16,19.5122
21,2017-06-30,2017-08-08,0.79,0.79,0,0
22,2017-03-31,2017-05-09,0.78,0.72,0.06,8.3333
23,2016-12-31,2017-02-08,0.68,0.62,0.06,9.6774
24,2016-09-30,2016-11-22,0.77,0.77,0,0
25,2016-06-30,2016-08-09,0.78,0.75,0.03,4
26,2016-03-31,2016-05-05,0.75,0.68,0.07,10.2941
27,2015-12-31,2016-02-03,0.78,0.69,0.09,13.0435
28,2015-09-30,2015-11-23,0.8,0.77,0.03,3.8961
29,2015-06-30,2015-07-28,0.97,0.73,0.24,32.8767
30,2015-03-31,2015-04-28,0.72,0.79,-0.07,-8.8608
31,2014-12-31,2015-01-28,0.77,0.78,-0.01,-1.2821
32,2014-09-30,2014-11-17,0.88,0.86,0.02,2.3256
33,2014-06-30,2014-07-28,0.84,0.8,0.04,5
34,2014-03-31,2014-04-28,0.82,0.89,-0.07,-7.8652
35,2013-12-31,2014-01-22,0.76,0.73,0.03,4.1096
36,2013-09-30,2013-11-18,0.84,0.88,-0.04,-4.5455
37,2013-06-30,2013-07-29,0.83,0.85,-0.02,-2.3529
38,2013-03-31,2013-04-29,0.8,0.83,-0.03,-3.6145
39,2012-12-31,2013-01-23,0.76,0.75,0.01,1.3333
40,2012-09-30,2012-11-12,0.8,0.79,0.01,1.2658
41,2012-06-30,2012-07-30,0.76,0.75,0.01,1.3333
42,2012-03-31,2012-04-30,0.65,0.74,-0.09,-12.1622
43,2011-12-31,2012-01-25,0.7,0.7,0,0
44,2011-09-30,2011-11-14,0.74,0.73,0.01,1.3699
45,2011-06-30,2011-07-25,0.71,0.7,0.01,1.4286
46,2011-03-31,2011-04-25,0.63,0.63,0,0
47,2010-12-31,2011-01-24,0.56,0.59,-0.03,-5.0847
48,2010-09-30,2010-11-15,0.61,0.62,-0.01,-1.6129
49,2010-06-30,2010-07-26,0.63,0.6,0.03,5
50,2010-03-31,2010-04-26,0.62,0.58,0.04,6.8966
51,2009-12-31,2010-01-25,0.58,0.58,0,0
52,2009-09-30,2009-11-16,0.63,0.68,-0.05,-7.3529
53,2009-06-30,2009-07-27,0.76,0.75,0.01,1.3333
54,2009-03-31,2009-04-27,0.88,0.88,0,0
55,2008-12-31,2009-01-26,0.94,0.89,0.05,5.618
56,2008-09-30,2008-11-03,0.92,0.92,0,0
57,2008-06-30,2008-07-21,0.87,0.82,0.05,6.0976
58,2008-03-31,2008-04-21,0.8,0.77,0.03,3.8961
59,2007-12-31,2008-01-21,0.75,0.7,0.05,7.1429
60,2007-09-30,2007-11-05,0.68,0.65,0.03,4.6154
61,2007-06-30,2007-07-23,0.61,0.57,0.04,7.0175
62,2007-03-31,2007-04-23,0.55,0.51,0.04,7.8431
63,2006-12-31,2007-01-22,0.51,0.44,0.07,15.9091
64,2006-09-30,2006-11-01,0.46,0.43,0.03,6.9767
65,2006-06-30,2006-07-24,0.42,0.38,0.04,10.5263
66,2006-03-31,2006-04-24,0.37,0.36,0.01,2.7778
67,2005-12-31,2006-01-23,0.36,0.33,0.03,9.0909
68,2005-09-30,2005-11-02,0.36,0.36,0,0
69,2005-06-30,2005-07-25,0.34,0.33,0.01,3.0303
70,2005-03-31,2005-04-26,0.31,0.31,0,0
71,2004-12-31,2005-01-24,0.28,0.28,0,0
72,2004-09-30,2004-11-04,0.27,0.27,0,0
73,2004-06-30,2004-07-26,0.26,0.26,0,0
74,2004-03-31,2004-04-21,0.31,0.31,0,0
75,2003-12-31,2004-01-21,0.3,0.29,0.01,3.4483
76,2003-09-30,2003-10-29,0.3,0.3,0,0
77,2003-06-30,2003-07-17,0.29,0.29,0,0
78,2003-03-31,2003-04-16,0.28,0.28,0,0
79,2002-12-31,2003-01-23,0.27,0.25,0.02,8
80,2002-09-30,2002-10-30,0.26,0.26,0,0
81,2002-06-30,2002-07-17,0.25,0.25,0,0
82,2002-03-31,2002-04-18,0.25,0.24,0.01,4.1667
83,2001-12-31,2002-01-17,0.24,0.22,0.02,9.0909
84,2001-09-30,2001-10-31,0.22,0.21,0.01,4.7619
85,2001-06-30,2001-07-18,0.21,0.2,0.01,5
86,2001-03-31,2001-04-19,0.2,0.2,0,0
87,2000-12-31,2001-01-18,0.19,0.18,0.01,5.5556
88,2000-09-30,2000-11-06,0.18,0.18,0,0
89,2000-06-30,2000-07-18,0.18,0.18,0,0
90,2000-03-31,2000-04-25,0.17,0.17,0,0
91,1999-12-31,2000-01-18,0.17,0.17,0,0
92,1999-09-30,1999-11-03,0.16,0.16,0,0
93,1999-06-30,1999-07-19,0.16,0.16,0,0
94,1999-03-31,1999-04-14,0.16,0.15,0.01,6.6667
95,1998-12-31,1999-01-14,0.14,0.14,0,0
96,1998-09-30,1998-11-05,0.14,0.14,0,0
97,1998-06-30,1998-07-15,0.13,0.13,0,0
98,1998-03-31,1998-04-13,0.13,0.13,0,0
99,1997-12-31,1998-01-15,0.13,0.12,0.01,8.3333
100,1997-09-30,1997-11-05,0.12,0.12,0,0
101,1997-06-30,1997-07-16,0.12,0.12,0,0
102,1997-03-31,1997-04-15,0.11,0.11,0,0
103,1996-12-31,1997-01-15,0.11,0.1,0.01,10
104,1996-09-30,1996-10-30,0.1,0.1,0,0
105,1996-06-30,1996-07-15,0.1,0.1,0,0
106,1996-03-31,1996-04-15,0.1,0.09,0.01,11.1111
