,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,1.4,1.44,-0.04,-2.7778
1,2022-06-30,2022-07-26,1.34,1.32,0.02,1.5152
2,2022-03-31,2022-04-22,1.35,1.23,0.12,9.7561
3,2021-12-31,2022-01-26,1.3,1.24,0.06,4.8387
4,2021-09-30,2021-10-25,1.62,1.65,-0.03,-1.8182
5,2021-06-30,2021-07-23,1.47,1.71,-0.24,-14.0351
6,2021-03-31,2021-04-23,1.8,1.93,-0.13,-6.7358
7,2020-12-31,2021-01-25,1.69,1.6,0.09,5.625
8,2020-09-30,2020-10-22,1.72,1.76,-0.04,-2.2727
9,2020-06-30,2020-07-23,2.2,1.8,0.4,22.2222
10,2020-03-31,2020-04-22,2.13,1.98,0.15,7.5758
11,2019-12-31,2020-01-23,1.71,1.7,0.01,0.5882
12,2019-09-30,2019-10-22,1.84,1.8,0.04,2.2222
13,2019-06-30,2019-07-23,1.67,1.62,0.05,3.0864
14,2019-03-31,2019-04-22,1.66,1.54,0.12,7.7922
15,2018-12-31,2019-01-23,1.6,1.65,-0.05,-3.0303
16,2018-09-30,2018-10-22,1.71,1.64,0.07,4.2683
17,2018-06-30,2018-07-24,1.59,1.57,0.02,1.2739
18,2018-03-31,2018-04-23,1.71,1.69,0.02,1.1834
19,2017-12-31,2018-01-23,1.57,1.55,0.02,1.2903
20,2017-09-30,2017-10-23,1.6,1.54,0.06,3.8961
21,2017-06-30,2017-07-25,1.49,1.49,0,0
22,2017-03-31,2017-04-24,1.57,1.55,0.02,1.2903
23,2016-12-31,2017-01-24,1.45,1.42,0.03,2.1127
24,2016-09-30,2016-10-24,1.52,1.54,-0.02,-1.2987
25,2016-06-30,2016-07-25,1.53,1.48,0.05,3.3784
26,2016-03-31,2016-04-22,1.53,1.51,0.02,1.3245
27,2015-12-31,2016-01-25,1.42,1.43,-0.01,-0.6993
28,2015-09-30,2015-10-21,1.51,1.49,0.02,1.3423
29,2015-06-30,2015-07-23,1.41,1.36,0.05,3.6765
30,2015-03-31,2015-04-21,1.42,1.33,0.09,6.7669
31,2014-12-31,2015-01-23,1.35,1.37,-0.02,-1.4599
32,2014-09-30,2014-10-21,1.61,1.54,0.07,4.5455
33,2014-06-30,2014-07-22,1.49,1.5,-0.01,-0.6667
34,2014-03-31,2014-04-21,1.48,1.47,0.01,0.6803
35,2013-12-31,2014-01-24,1.44,1.39,0.05,3.5971
36,2013-09-30,2013-10-22,1.44,1.4,0.04,2.8571
37,2013-06-30,2013-07-22,1.41,1.39,0.02,1.4388
38,2013-03-31,2013-04-19,1.48,1.34,0.14,10.4478
39,2012-12-31,2013-01-25,1.37,1.35,0.02,1.4815
40,2012-09-30,2012-10-24,1.34,1.33,0.01,0.7519
41,2012-06-30,2012-07-26,1.3,1.28,0.02,1.5625
42,2012-03-31,2012-04-20,1.24,1.17,0.07,5.9829
43,2011-12-31,2012-01-24,1.28,1.3,-0.02,-1.5385
44,2011-09-30,2011-10-24,1.26,1.26,0,0
45,2011-06-30,2011-07-25,1.18,1.14,0.04,3.5088
46,2011-03-31,2011-04-25,1.09,1.17,-0.08,-6.8376
47,2010-12-31,2011-01-25,1.2,1.15,0.05,4.3478
48,2010-09-30,2010-10-26,1.14,1.28,-0.14,-10.9375
49,2010-06-30,2010-07-23,1.2,1.13,0.07,6.1947
50,2010-03-31,2010-04-22,1.14,1.16,-0.02,-1.7241
51,2009-12-31,2010-01-22,1.17,1.25,-0.08,-6.4
52,2009-09-30,2009-10-22,1.4,1.13,0.27,23.8938
53,2009-06-30,2009-07-23,0.97,0.94,0.03,3.1915
54,2009-03-31,2009-04-22,0.98,0.97,0.01,1.0309
55,2008-12-31,2009-01-26,1.01,1.03,-0.02,-1.9417
56,2008-09-30,2008-10-22,1.02,1.01,0.01,0.9901
57,2008-06-30,2008-07-24,1.03,1.03,0,0
58,2008-03-31,2008-04-22,1.08,1.07,0.01,0.9346
59,2007-12-31,2008-01-24,1.11,1.11,0,0
60,2007-09-30,2007-10-22,1.07,1.06,0.01,0.9434
61,2007-06-30,2007-07-24,1.04,1.03,0.01,0.9709
62,2007-03-31,2007-04-23,1.03,1.01,0.02,1.9802
63,2006-12-31,2007-01-25,1.03,1.02,0.01,0.9804
64,2006-09-30,2006-10-23,0.99,0.98,0.01,1.0204
65,2006-06-30,2006-07-26,0.95,0.94,0.01,1.0638
66,2006-03-31,2006-04-24,0.93,0.92,0.01,1.087
67,2005-12-31,2006-01-24,0.95,0.95,0,0
68,2005-09-30,2005-10-24,0.95,0.95,0,0
69,2005-06-30,2005-07-22,0.95,0.94,0.01,1.0638
70,2005-03-31,2005-04-25,0.93,0.93,0,0
71,2004-12-31,2005-01-24,0.91,0.9,0.01,1.1111
72,2004-09-30,2004-10-25,0.89,0.9,-0.01,-1.1111
73,2004-06-30,2004-07-22,0.9,0.89,0.01,1.1236
74,2004-03-31,2004-04-22,0.91,0.91,0,0
75,2003-12-31,2004-01-26,0.91,0.88,0.03,3.4091
76,2003-09-30,2003-10-22,0.85,0.84,0.01,1.1905
77,2003-06-30,2003-07-23,0.82,0.81,0.01,1.2346
78,2003-03-31,2003-04-22,0.8,0.77,0.03,3.8961
79,2002-12-31,2003-01-27,0.76,0.74,0.02,2.7027
80,2002-09-30,2002-10-22,0.87,0.89,-0.02,-2.2472
