,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-08-31,2022-09-29,0.79,1.39,-0.6,-43.1655
1,2022-05-31,2022-06-24,1.56,1.49,0.07,4.698
2,2022-02-28,2022-04-12,0.98,1.25,-0.27,-21.6
3,2021-11-30,2021-12-22,1.63,1.44,0.19,13.1944
4,2021-08-31,2021-09-30,1.72,1.9,-0.18,-9.4737
5,2021-05-31,2021-06-25,2.63,1.63,1,61.3497
6,2021-02-28,2021-04-01,1.27,1.26,0.01,0.7937
7,2020-11-30,2020-12-22,1.42,1.14,0.28,24.5614
8,2020-08-31,2020-09-24,1.79,1.08,0.71,65.7407
9,2020-05-31,2020-06-19,0.03,0.04,-0.01,-25
10,2020-02-29,2020-04-02,1.3,1.13,0.17,15.0442
11,2019-11-30,2019-12-20,1.04,1.16,-0.12,-10.3448
12,2019-08-31,2019-09-24,1.4,1.33,0.07,5.2632
13,2019-05-31,2019-06-21,1.59,1.49,0.1,6.7114
14,2019-02-28,2019-03-29,1.13,1.04,0.09,8.6538
15,2018-11-30,2018-12-21,1.09,1,0.09,9
16,2018-08-31,2018-09-26,1.24,1.22,0.02,1.6393
17,2018-05-31,2018-06-22,1.33,1.24,0.09,7.2581
18,2018-02-28,2018-04-04,0.77,0.87,-0.1,-11.4943
19,2017-11-30,2017-12-21,0.81,0.81,0,0
20,2017-08-31,2017-09-22,0.98,0.95,0.03,3.1579
21,2017-05-31,2017-06-21,1.13,0.98,0.15,15.3061
22,2017-02-28,2017-04-06,0.81,0.79,0.02,2.5316
23,2016-11-30,2016-12-20,0.72,0.7,0.02,2.8571
24,2016-08-31,2016-09-21,0.88,0.88,0,0
25,2016-05-31,2016-06-21,0.9,0.92,-0.02,-2.1739
26,2016-02-29,2016-04-07,0.74,0.71,0.03,4.2254
27,2015-11-30,2015-12-18,0.63,0.68,-0.05,-7.3529
28,2015-08-31,2015-09-22,0.82,0.76,0.06,7.8947
29,2015-05-31,2015-06-19,0.86,0.86,0,0
30,2015-02-28,2015-04-02,0.67,0.6,0.07,11.6667
31,2014-11-30,2014-12-19,0.6,0.54,0.06,11.1111
32,2014-08-31,2014-09-23,0.64,0.67,-0.03,-4.4776
33,2014-05-31,2014-06-20,0.76,0.67,0.09,13.4328
34,2014-02-28,2014-04-04,0.52,0.53,-0.01,-1.8868
35,2013-11-30,2013-12-20,0.47,0.48,-0.01,-2.0833
36,2013-08-31,2013-09-24,0.62,0.57,0.05,8.7719
37,2013-05-31,2013-06-21,0.64,0.58,0.06,10.3448
38,2013-02-28,2013-04-10,0.46,0.46,0,0
39,2012-11-30,2012-12-20,0.41,0.39,0.02,5.1282
40,2012-08-31,2012-09-20,0.48,0.52,-0.04,-7.6923
41,2012-05-31,2012-06-21,0.52,0.53,-0.01,-1.8868
42,2012-02-29,2012-04-05,0.41,0.4,0.01,2.5
43,2011-11-30,2011-12-21,0.36,0.38,-0.02,-5.2632
44,2011-08-31,2011-09-22,0.49,0.51,-0.02,-3.9216
45,2011-05-31,2011-06-22,0.55,0.47,0.08,17.0213
