,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,0.69,0.64,0.05,7.8125
1,2022-06-30,2022-07-26,0.7,0.67,0.03,4.4776
2,2022-03-31,2022-04-25,0.64,0.58,0.06,10.3448
3,2021-12-31,2022-02-10,0.45,0.41,0.04,9.7561
4,2021-09-30,2021-10-27,0.65,0.58,0.07,12.069
5,2021-06-30,2021-07-21,0.68,0.56,0.12,21.4286
6,2021-03-31,2021-04-19,0.55,0.5,0.05,10
7,2020-12-31,2021-02-10,0.47,0.42,0.05,11.9048
8,2020-09-30,2020-10-22,0.55,0.46,0.09,19.5652
9,2020-06-30,2020-07-21,0.42,0.4,0.02,5
10,2020-03-31,2020-04-21,0.51,0.44,0.07,15.9091
11,2019-12-31,2020-01-30,0.44,0.44,0,0
12,2019-09-30,2019-10-18,0.56,0.56,0,0
13,2019-06-30,2019-07-23,0.63,0.61,0.02,3.2787
14,2019-03-31,2019-04-23,0.48,0.46,0.02,4.3478
15,2018-12-31,2019-02-14,0.43,0.43,0,0
16,2018-09-30,2018-10-30,0.58,0.55,0.03,5.4545
17,2018-06-30,2018-07-25,0.61,0.6,0.01,1.6667
18,2018-03-31,2018-04-24,0.47,0.46,0.01,2.1739
19,2017-12-31,2018-02-16,0.39,0.39,0,0
20,2017-09-30,2017-10-25,0.5,0.49,0.01,2.0408
21,2017-06-30,2017-07-26,0.59,0.57,0.02,3.5088
22,2017-03-31,2017-04-25,0.43,0.44,-0.01,-2.2727
23,2016-12-31,2017-02-09,0.37,0.37,0,0
24,2016-09-30,2016-10-26,0.49,0.48,0.01,2.0833
25,2016-06-30,2016-07-27,0.6,0.58,0.02,3.4483
26,2016-03-31,2016-04-20,0.45,0.44,0.01,2.2727
27,2015-12-31,2016-02-09,0.38,0.37,0.01,2.7027
28,2015-09-30,2015-10-21,0.51,0.5,0.01,2
29,2015-06-30,2015-07-22,0.63,0.6,0.03,5
30,2015-03-31,2015-04-22,0.48,0.42,0.06,14.2857
31,2014-12-31,2015-02-10,0.44,0.42,0.02,4.7619
32,2014-09-30,2014-10-21,0.53,0.53,0,0
33,2014-06-30,2014-07-22,0.64,0.63,0.01,1.5873
34,2014-03-31,2014-04-15,0.44,0.44,0,0
35,2013-12-31,2014-02-18,0.46,0.46,0,0
36,2013-09-30,2013-10-15,0.53,0.53,0,0
37,2013-06-30,2013-07-16,0.63,0.63,0,0
38,2013-03-31,2013-04-16,0.46,0.45,0.01,2.2222
39,2012-12-31,2013-02-12,0.45,0.44,0.01,2.2727
40,2012-09-30,2012-10-16,0.51,0.51,0,0
41,2012-06-30,2012-07-17,0.61,0.59,0.02,3.3898
42,2012-03-31,2012-04-17,0.45,0.44,0.01,2.2727
43,2011-12-31,2012-02-07,0.4,0.39,0.01,2.5641
44,2011-09-30,2011-10-18,0.52,0.51,0.01,1.9608
45,2011-06-30,2011-07-19,0.59,0.58,0.01,1.7241
46,2011-03-31,2011-04-26,0.43,0.43,0,0
47,2010-12-31,2011-02-09,0.36,0.36,0,0
48,2010-09-30,2010-10-19,0.46,0.45,0.01,2.2222
49,2010-06-30,2010-07-21,0.53,0.51,0.02,3.9216
50,2010-03-31,2010-04-20,0.4,0.37,0.03,8.1081
51,2009-12-31,2010-02-09,0.33,0.33,0,0
52,2009-09-30,2009-10-20,0.41,0.41,0,0
