,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-08-31,2022-09-09,0.9,0.83,0.07,8.4337
1,2022-05-31,2022-06-16,1.45,1.3,0.15,11.5385
2,2022-02-28,2022-03-03,0.91,0.74,0.17,22.973
3,2021-11-30,2021-12-02,0.78,0.66,0.12,18.1818
4,2021-08-31,2021-09-10,0.8,0.64,0.16,25
5,2021-05-31,2021-06-17,1.19,1.01,0.18,17.8218
6,2021-02-28,2021-03-04,0.81,0.69,0.12,17.3913
7,2020-11-30,2020-12-03,0.71,0.67,0.04,5.9701
8,2020-08-31,2020-09-11,0.73,0.55,0.18,32.7273
9,2020-05-31,2020-06-18,1.22,1.09,0.13,11.9266
10,2020-02-29,2020-03-05,0.57,0.55,0.02,3.6364
11,2019-11-30,2019-12-05,0.47,0.48,-0.01,-2.0833
12,2019-08-31,2019-09-12,0.44,0.41,0.03,7.3171
13,2019-05-31,2019-06-20,0.72,0.71,0.01,1.4085
14,2019-02-28,2019-03-07,0.48,0.52,-0.04,-7.6923
15,2018-11-30,2018-12-06,0.48,0.43,0.05,11.6279
16,2018-08-31,2018-09-13,0.41,0.38,0.03,7.8947
17,2018-05-31,2018-06-21,0.73,0.63,0.1,15.873
18,2018-02-28,2018-03-08,0.63,0.63,0,0
19,2017-11-30,2017-12-08,0.44,None,None,None
20,2017-08-31,2017-09-08,0.39,0.39,0,0
21,2017-05-31,2017-06-15,0.58,0.57,0.01,1.7544
22,2017-02-28,2017-03-02,0.53,0.52,0.01,1.9231
23,2016-11-30,2016-12-01,0.41,0.41,0,0
24,2016-08-31,2016-09-09,0.47,0.45,0.02,4.4444
25,2016-05-31,2016-06-16,0.7,0.69,0.01,1.4493
26,2016-02-29,2016-03-03,0.57,0.54,0.03,5.5556
27,2015-11-30,2015-12-03,0.43,0.39,0.04,10.2564
28,2015-08-31,2015-09-11,0.44,0.4,0.04,10
29,2015-05-31,2015-06-18,0.63,0.61,0.02,3.2787
30,2015-02-28,2015-03-05,0.52,0.45,0.07,15.5556
31,2014-11-30,2014-12-04,0.35,0.31,0.04,12.9032
32,2014-08-31,2014-09-11,0.35,0.35,0,0
33,2014-05-31,2014-06-19,0.55,0.52,0.03,5.7692
34,2014-02-28,2014-03-06,0.39,0.36,0.03,8.3333
35,2013-11-30,2013-12-05,0.27,0.27,0,0
36,2013-08-31,2013-09-12,0.3,0.3,0,0
37,2013-05-31,2013-06-20,0.46,0.44,0.02,4.5455
38,2013-02-28,2013-03-07,0.35,0.35,0,0
39,2012-08-31,2012-09-07,0.26,0.25,0.01,4
40,2012-05-31,2012-06-14,0.39,0.36,0.03,8.3333
41,2012-02-29,2012-03-01,0.25,0.25,0,0
42,2011-11-30,2011-12-01,0.17,0.16,0.01,6.25
43,2011-08-31,2011-09-09,0.23,0.22,0.01,4.5455
44,2011-05-31,2011-06-16,0.35,0.32,0.03,9.375
45,2011-02-28,2011-03-03,0.23,0.22,0.01,4.5455
46,2010-11-30,2010-12-02,0.16,0.16,0,0
47,2010-08-31,2010-09-14,0.21,0.18,0.03,16.6667
48,2010-05-31,2010-06-17,0.29,0.27,0.02,7.4074
49,2010-02-28,2010-03-09,0.2,0.17,0.03,17.6471
50,2009-11-30,2009-12-08,0.14,0.18,-0.04,-22.2222
51,2009-08-31,2009-09-15,0.2,0.22,-0.02,-9.0909
52,2009-05-31,2009-06-23,0.33,0.31,0.02,6.4516
53,2009-02-28,2009-03-10,0.27,0.26,0.01,3.8462
54,2008-11-30,2008-12-09,0.2,0.19,0.01,5.2632
55,2008-08-31,2008-09-16,0.21,0.2,0.01,5
56,2008-05-31,2008-06-24,0.29,0.28,0.01,3.5714
57,2008-02-29,2008-03-11,0.24,0.23,0.01,4.3478
58,2007-11-30,2007-12-11,0.19,0.17,0.02,11.7647
59,2007-08-31,2007-09-18,0.19,0.17,0.02,11.7647
60,2007-05-31,2007-06-26,0.25,0.24,0.01,4.1667
61,2007-02-28,2007-03-13,0.26,0.22,0.04,18.1818
62,2006-11-30,2006-12-05,0.15,0.14,0.01,7.1429
