,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-01,1.58,1.57,0.01,0.6369
1,2022-07-31,2022-08-02,1.59,1.56,0.03,1.9231
2,2022-04-30,2022-05-03,1.58,1.5,0.08,5.3333
3,2022-01-31,2022-02-15,1.56,1.6,-0.04,-2.5
4,2021-10-31,2021-11-02,1.8,1.62,0.18,11.1111
5,2021-07-31,2021-08-03,1.52,1.58,-0.06,-3.7975
6,2021-04-30,2021-05-04,1.73,1.48,0.25,16.8919
7,2021-01-31,2021-02-23,1.63,1.62,0.01,0.6173
8,2020-10-31,2020-11-02,1.47,1.24,0.23,18.5484
9,2020-07-31,2020-08-04,1.55,1.09,0.46,42.2018
10,2020-04-30,2020-05-05,1.19,1.23,-0.04,-3.252
11,2020-01-31,2020-02-18,1.51,1.35,0.16,11.8519
12,2019-10-31,2019-10-31,1.36,1.19,0.17,14.2857
13,2019-07-31,2019-10-29,1.36,1.19,0.17,14.2857
14,2019-04-30,2019-07-30,1.16,1.11,0.05,4.5045
15,2019-01-31,2019-02-19,1.1,1.07,0.03,2.8037
16,2018-07-31,2018-10-25,1.14,1.11,0.03,2.7027
17,2018-04-30,2018-05-03,1.03,1.03,0,0
18,2018-01-31,2018-02-22,0.87,0.85,0.02,2.3529
19,2017-10-31,2017-11-02,0.95,0.82,0.13,15.8537
20,2017-07-31,2017-08-03,1.04,0.8,0.24,30
21,2017-04-30,2017-05-04,0.88,0.79,0.09,11.3924
22,2017-01-31,2017-02-23,0.75,0.83,-0.08,-9.6386
23,2016-10-31,2016-11-03,1.25,0.96,0.29,30.2083
24,2016-04-30,2016-07-28,0.68,0.73,-0.05,-6.8493
25,2016-01-31,2016-02-18,0.78,0.66,0.12,18.1818
26,2015-07-31,2015-08-05,0.73,0.57,0.16,28.0702
27,2015-04-30,2015-05-12,0.65,0.59,0.06,10.1695
28,2015-01-31,2015-03-20,0.68,0.48,0.2,41.6667
29,2014-10-31,2014-12-03,0.65,0.52,0.13,25
30,2014-07-31,2014-09-09,0.61,0.62,-0.01,-1.6129
31,2014-04-30,2014-06-04,0.59,0.54,0.05,9.2593
32,2014-01-31,2014-03-27,0.56,0.45,0.11,24.4444
33,2013-10-31,2013-12-10,-0.11,0.14,-0.25,-178.5714
34,2013-07-31,2013-09-04,0.52,0.87,-0.35,-40.2299
35,2013-04-30,2013-06-03,1.16,1.02,0.14,13.7255
36,2013-01-31,2013-03-26,2.16,2.06,0.1,4.8544
37,2012-10-31,2012-12-05,1.32,1.37,-0.05,-3.6496
38,2012-07-31,2012-08-30,1.36,1.31,0.05,3.8168
39,2012-04-30,2012-05-31,1.4,1.31,0.09,6.8702
40,2012-01-31,2012-03-20,-1.96,1.35,-3.31,-245.1852
41,2011-10-31,2011-12-06,1.4,1.36,0.04,2.9412
42,2011-07-31,2011-08-31,1.28,1.4,-0.12,-8.5714
43,2011-04-30,2011-06-02,1.44,1.31,0.13,9.9237
44,2011-01-31,2011-03-23,1.44,1.18,0.26,22.0339
45,2010-10-31,2010-12-08,1.64,1.39,0.25,17.9856
46,2010-07-31,2010-09-01,1.68,1.33,0.35,26.3158
47,2010-04-30,2010-06-03,1.28,1.24,0.04,3.2258
48,2010-01-31,2010-03-30,1.24,1.29,-0.05,-3.876
49,2009-10-31,2009-12-08,1.36,1.32,0.04,3.0303
50,2009-07-31,2009-09-02,1.24,1.22,0.02,1.6393
51,2009-04-30,2009-06-03,1.16,1.06,0.1,9.434
52,2009-01-31,2009-03-25,1.2,1.14,0.06,5.2632
53,2008-10-31,2008-12-09,1.16,1.18,-0.02,-1.6949
54,2008-07-31,2008-09-03,1.04,1.04,0,0
55,2008-04-30,2008-06-03,1,0.9,0.1,11.1111
56,2008-01-31,2008-03-25,1,0.88,0.12,13.6364
57,2007-10-31,2007-12-10,1.04,0.92,0.12,13.0435
58,2007-07-31,2007-09-06,0.96,0.82,0.14,17.0732
59,2007-04-30,2007-06-06,0.72,0.79,-0.07,-8.8608
60,2007-01-31,2007-04-11,0.8,0.68,0.12,17.6471
61,2006-10-31,2006-12-12,1.04,0.93,0.11,11.828
