,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-16,3.27,3.1,0.17,5.4839
1,2022-07-31,2022-08-17,4.67,4.59,0.08,1.7429
2,2022-04-30,2022-05-18,3.51,3.22,0.29,9.0062
3,2022-01-31,2022-02-23,1.78,1.71,0.07,4.0936
4,2021-10-31,2021-11-17,2.73,2.36,0.37,15.678
5,2021-07-31,2021-08-18,4.25,4.01,0.24,5.985
6,2021-04-30,2021-05-19,3.21,2.62,0.59,22.5191
7,2021-01-31,2021-02-24,1.33,1.21,0.12,9.9174
8,2020-10-31,2020-11-18,1.98,1.99,-0.01,-0.5025
9,2020-07-31,2020-08-19,3.75,2.95,0.8,27.1186
10,2020-04-30,2020-05-20,1.77,1.32,0.45,34.0909
11,2020-01-31,2020-02-26,0.94,0.91,0.03,3.2967
12,2019-10-31,2019-11-20,1.41,1.35,0.06,4.4444
13,2019-07-31,2019-08-21,2.15,2.01,0.14,6.9652
14,2019-04-30,2019-05-22,1.22,1.33,-0.11,-8.2707
15,2019-01-31,2019-02-27,0.8,0.77,0.03,3.8961
16,2018-10-31,2018-11-20,1.04,0.98,0.06,6.1224
17,2018-07-31,2018-08-22,2.07,2.02,0.05,2.4752
18,2018-04-30,2018-05-23,1.19,1.22,-0.03,-2.459
19,2018-01-31,2018-02-28,0.74,0.87,-0.13,-14.9425
20,2017-10-31,2017-11-21,1.05,1.02,0.03,2.9412
21,2017-07-31,2017-08-23,1.57,1.61,-0.04,-2.4845
22,2017-04-30,2017-05-24,1.03,1.06,-0.03,-2.8302
23,2017-01-31,2017-03-01,0.86,0.79,0.07,8.8608
24,2016-10-31,2016-11-16,0.88,0.96,-0.08,-8.3333
25,2016-07-31,2016-08-17,1.37,1.42,-0.05,-3.5211
26,2016-04-30,2016-05-18,0.87,0.85,0.02,2.3529
27,2016-01-31,2016-02-24,0.59,0.59,0,0
