,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,1.39,1.03,0.36,34.9515
1,2022-06-30,2022-08-04,0.66,0.51,0.15,29.4118
2,2022-03-31,2022-05-05,-0.39,-0.79,0.4,50.6329
3,2021-12-31,2022-02-23,-0.86,-0.54,-0.32,-59.2593
4,2021-09-30,2021-11-04,0.19,-0.05,0.24,480
5,2021-06-30,2021-08-03,-0.9,-1.18,0.28,23.7288
6,2021-03-31,2021-05-06,-1.44,-1.55,0.11,7.0968
7,2020-12-31,2021-02-25,-2.04,-2.3,0.26,11.3043
8,2020-09-30,2020-11-05,-2.45,-2.2,-0.25,-11.3636
9,2020-06-30,2020-08-05,-2.67,-2.08,-0.59,-28.3654
10,2020-03-31,2020-05-07,-0.94,-0.97,0.03,3.0928
11,2019-12-31,2020-02-27,-0.88,-0.71,-0.17,-23.9437
12,2019-09-30,2019-10-31,0.71,0.77,-0.06,-7.7922
13,2019-06-30,2019-07-25,0.41,0.4,0.01,2.5
14,2019-03-31,2019-05-02,-0.31,-0.34,0.03,8.8235
15,2018-12-31,2019-02-28,-0.8,-0.74,-0.06,-8.1081
16,2018-09-30,2018-11-01,0.7,0.63,0.07,11.1111
17,2018-06-30,2018-07-26,0.24,0.19,0.05,26.3158
18,2018-03-31,2018-05-03,-0.24,-0.29,0.05,17.2414
19,2017-12-31,2018-02-27,-1.29,-1.08,-0.21,-19.4444
20,2017-09-30,2017-11-02,0.53,0.56,-0.03,-5.3571
21,2017-06-30,2017-08-09,0.29,0.19,0.1,52.6316
22,2017-03-31,2017-05-04,-0.22,-0.33,0.11,33.3333
23,2016-12-31,2017-02-23,-0.57,-0.58,0.01,1.7241
24,2016-09-30,2016-11-07,0.49,0.48,0.01,2.0833
25,2016-06-30,2016-07-28,0.13,0.08,0.05,62.5
26,2016-03-31,2016-05-03,-0.29,-0.31,0.02,6.4516
27,2015-12-31,2016-02-25,-0.47,-0.32,-0.15,-46.875
28,2015-09-30,2015-10-29,0.38,0.43,-0.05,-11.6279
29,2015-06-30,2015-08-10,0.06,0.06,0,0
30,2015-03-31,2015-04-30,-0.31,-0.33,0.02,6.0606
31,2014-12-31,2015-02-26,-0.41,-0.4,-0.01,-2.5
32,2014-09-30,2014-10-30,0.49,0.36,0.13,36.1111
33,2014-06-30,2014-07-31,0.11,0.15,-0.04,-26.6667
34,2014-03-31,2014-05-06,-0.16,-0.35,0.19,54.2857
35,2013-12-31,2014-02-24,-0.42,-0.37,-0.05,-13.5135
36,2013-09-30,2013-11-05,0.4,0.35,0.05,14.2857
37,2013-06-30,2013-08-06,0.3,0.1,0.2,200
38,2013-03-31,2013-05-07,-0.33,-0.36,0.03,8.3333
39,2012-12-31,2013-02-26,-0.85,-0.36,-0.49,-136.1111
40,2012-09-30,2012-11-05,0.31,0.28,0.03,10.7143
41,2012-06-30,2012-08-07,0.04,0.04,0,0
42,2012-03-31,2012-05-09,-0.37,-0.44,0.07,15.9091
43,2011-12-31,2012-02-23,-0.54,-0.3,-0.24,-80
44,2011-09-30,2011-11-03,0.34,0.38,-0.04,-10.5263
45,2011-06-30,2011-08-08,0.07,None,None,None
46,2011-03-31,2011-05-05,-0.27,-0.42,0.15,35.7143
47,2010-12-31,2011-02-28,-0.72,-0.17,-0.55,-323.5294
48,2010-09-30,2010-11-04,0.32,0.36,-0.04,-11.1111
49,2010-06-30,2010-08-05,-0.2,-0.02,-0.18,-900
50,2010-03-31,2010-05-10,-0.76,-0.34,-0.42,-123.5294
51,2009-12-31,2010-02-25,0.11,-0.5,0.61,122
52,2009-09-30,2009-11-09,0.78,0.8,-0.02,-2.5
53,2009-06-30,2009-08-06,-0.33,0.1,-0.43,-430
54,2009-03-31,2009-05-07,-1.29,-0.74,-0.55,-74.3243
55,2008-12-31,2009-03-02,-4.33,-0.22,-4.11,-1868.1818
56,2008-09-30,2008-11-06,1.67,0.47,1.2,255.3191
57,2008-06-30,2008-08-07,0.02,-0.2,0.22,110
58,2008-03-31,2008-05-08,-0.47,-0.42,-0.05,-11.9048
59,2007-12-31,2008-02-28,-0.23,-0.12,-0.11,-91.6667
60,2007-09-30,2007-11-08,0.55,0.79,-0.24,-30.3797
61,2007-06-30,2007-08-09,0.15,0.01,0.14,1400
62,2007-03-31,2007-05-10,-0.69,-0.12,-0.57,-475
63,2006-12-31,2007-03-01,-0.52,-0.13,-0.39,-300
64,2006-09-30,2006-11-07,-0.14,0.67,-0.81,-120.8955
65,2006-06-30,2006-08-04,0.15,0.35,-0.2,-57.1429
66,2006-03-31,2006-05-05,0.02,-0.23,0.25,108.6957
67,2005-12-31,2006-02-21,-2.02,0.22,-2.24,-1018.1818
