,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,2.68,2.58,0.1,3.876
1,2022-06-30,2022-07-26,2.55,2.47,0.08,3.2389
2,2022-03-31,2022-04-28,2.28,2.17,0.11,5.0691
3,2021-12-31,2022-01-27,2.23,2.34,-0.11,-4.7009
4,2021-09-30,2021-10-27,2.76,2.46,0.3,12.1951
5,2021-06-30,2021-07-28,2.37,2.11,0.26,12.3223
6,2021-03-31,2021-04-29,1.92,1.81,0.11,6.0773
7,2020-12-31,2021-01-28,1.7,1.78,-0.08,-4.4944
8,2020-09-30,2020-11-09,2.22,1.9,0.32,16.8421
9,2020-06-30,2020-07-28,0.66,0.75,-0.09,-12
10,2020-03-31,2020-04-30,1.47,1.57,-0.1,-6.3694
11,2019-12-31,2020-01-29,1.97,1.96,0.01,0.5102
12,2019-09-30,2019-10-22,2.11,2.21,-0.1,-4.5249
13,2019-06-30,2019-07-26,2.05,2.05,0,0
14,2019-03-31,2019-04-30,1.72,1.75,-0.03,-1.7143
15,2018-12-31,2019-01-30,1.97,1.89,0.08,4.2328
16,2018-09-30,2018-10-23,2.1,1.99,0.11,5.5276
17,2018-06-30,2018-07-26,1.99,1.92,0.07,3.6458
18,2018-03-31,2018-04-30,1.79,1.67,0.12,7.1856
19,2017-12-31,2018-01-30,1.71,1.59,0.12,7.5472
20,2017-09-30,2017-10-24,1.76,1.77,-0.01,-0.565
21,2017-06-30,2017-07-25,1.7,1.62,0.08,4.9383
22,2017-03-31,2017-04-25,1.47,1.33,0.14,10.5263
23,2016-12-31,2017-01-23,1.43,1.41,0.02,1.4184
24,2016-09-30,2016-10-21,1.62,1.48,0.14,9.4595
25,2016-06-30,2016-07-26,1.45,1.38,0.07,5.0725
26,2016-03-31,2016-04-22,1.23,1.16,0.07,6.0345
27,2015-12-31,2016-01-25,1.31,1.23,0.08,6.5041
28,2015-09-30,2015-10-22,1.4,1.27,0.13,10.2362
29,2015-06-30,2015-07-23,1.26,1.24,0.02,1.6129
30,2015-03-31,2015-04-22,1.01,1.06,-0.05,-4.717
31,2014-12-31,2015-01-23,1.13,1.22,-0.09,-7.377
32,2014-09-30,2014-10-21,1.09,1.37,-0.28,-20.438
33,2014-06-30,2014-07-22,1.4,1.44,-0.04,-2.7778
34,2014-03-31,2014-04-22,1.21,1.24,-0.03,-2.4194
35,2013-12-31,2014-01-23,1.4,1.39,0.01,0.7194
36,2013-09-30,2013-10-21,1.52,1.51,0.01,0.6623
37,2013-06-30,2013-07-22,1.38,1.4,-0.02,-1.4286
38,2013-03-31,2013-04-19,1.26,1.27,-0.01,-0.7874
39,2012-12-31,2013-01-23,1.38,1.33,0.05,3.7594
40,2012-09-30,2012-10-19,1.43,1.47,-0.04,-2.7211
41,2012-06-30,2012-07-23,1.32,1.37,-0.05,-3.6496
42,2012-03-31,2012-04-20,1.23,1.23,0,0
43,2011-12-31,2012-01-24,1.33,1.3,0.03,2.3077
44,2011-09-30,2011-10-21,1.45,1.43,0.02,1.3986
45,2011-06-30,2011-07-22,1.35,1.28,0.07,5.4688
46,2011-03-31,2011-04-21,1.15,1.14,0.01,0.8772
47,2010-12-31,2011-01-24,1.16,1.16,0,0
48,2010-09-30,2010-10-21,1.29,1.25,0.04,3.2
49,2010-06-30,2010-07-23,1.13,1.12,0.01,0.8929
50,2010-03-31,2010-04-21,1.03,0.96,0.07,7.2917
51,2009-12-31,2010-01-22,1.03,1.02,0.01,0.9804
52,2009-09-30,2009-10-22,1.15,1.11,0.04,3.6036
53,2009-06-30,2009-07-23,0.97,0.97,0,0
54,2009-03-31,2009-04-22,0.83,0.82,0.01,1.2195
55,2008-12-31,2009-01-26,0.87,0.83,0.04,4.8193
56,2008-09-30,2008-10-22,1.05,0.98,0.07,7.1429
57,2008-06-30,2008-07-23,0.94,0.86,0.08,9.3023
58,2008-03-31,2008-04-22,0.81,0.7,0.11,15.7143
59,2007-12-31,2008-01-28,0.73,0.71,0.02,2.8169
60,2007-09-30,2007-10-19,0.83,0.83,0,0
61,2007-06-30,2007-07-24,0.71,0.71,0,0
62,2007-03-31,2007-04-20,0.62,0.62,0,0
63,2006-12-31,2007-01-24,0.61,0.61,0,0
64,2006-09-30,2006-10-19,0.68,0.68,0,0
65,2006-06-30,2006-07-25,0.67,0.62,0.05,8.0645
66,2006-03-31,2006-04-21,0.49,0.49,0,0
67,2005-12-31,2006-01-24,0.48,0.48,0,0
68,2005-09-30,2005-10-20,0.58,0.58,0,0
69,2005-06-30,2005-07-21,0.42,0.42,0,0
70,2005-03-31,2005-04-21,0.56,0.43,0.13,30.2326
71,2004-12-31,2005-01-28,0.45,0.46,-0.01,-2.1739
72,2004-09-30,2004-10-19,0.61,0.61,0,0
73,2004-06-30,2004-07-22,0.47,0.47,0,0
74,2004-03-31,2004-04-27,0.4,0.4,0,0
75,2003-12-31,2004-01-26,0.35,0.35,0,0
76,2003-09-30,2003-10-22,0.43,0.4,0.03,7.5
77,2003-06-30,2003-07-29,0.37,0.37,0,0
78,2003-03-31,2003-04-28,0.29,0.28,0.01,3.5714
79,2002-12-31,2003-01-23,0.25,0.25,0,0
80,2002-09-30,2002-10-22,0.38,0.39,-0.01,-2.5641
81,2002-06-30,2002-07-24,0.39,0.38,0.01,2.6316
82,2002-03-31,2002-04-18,0.31,0.29,0.02,6.8966
83,2001-12-31,2002-01-24,0.34,0.34,0,0
84,2001-09-30,2001-10-18,0.42,0.39,0.03,7.6923
85,2001-06-30,2001-07-24,0.34,0.34,0,0
86,2001-03-31,2001-04-19,0.29,0.3,-0.01,-3.3333
87,2000-12-31,2001-01-24,0.34,0.35,-0.01,-2.8571
88,2000-09-30,2000-10-19,0.41,0.41,0,0
89,2000-06-30,2000-07-25,0.39,0.4,-0.01,-2.5
90,2000-03-31,2000-04-20,0.33,0.32,0.01,3.125
91,1999-12-31,2000-01-26,0.35,0.36,-0.01,-2.7778
92,1999-09-30,1999-10-21,0.39,0.39,0,0
93,1999-06-30,1999-07-22,0.37,0.37,0,0
94,1999-03-31,1999-04-22,0.3,0.29,0.01,3.4483
95,1998-12-31,1999-01-26,0.32,0.32,0,0
96,1998-09-30,1998-10-19,0.35,0.34,0.01,2.9412
97,1998-06-30,1998-07-20,0.33,0.33,0,0
98,1998-03-31,1998-04-17,0.26,0.26,0,0
99,1997-12-31,1998-01-22,0.29,0.3,-0.01,-3.3333
100,1997-09-30,1997-10-17,0.32,0.33,-0.01,-3.0303
101,1997-06-30,1997-07-17,0.32,0.32,0,0
102,1997-03-31,1997-04-17,0.25,0.25,0,0
103,1996-12-31,1997-01-23,0.3,0.29,0.01,3.4483
104,1996-09-30,1996-10-18,0.31,0.32,-0.01,-3.125
105,1996-06-30,1996-07-18,0.3,0.29,0.01,3.4483
106,1996-03-31,1996-04-18,0.22,0.22,0,0
