,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,1.85,2.06,-0.21,-10.1942
1,2022-06-30,2022-07-26,2.22,2.3,-0.08,-3.4783
2,2022-03-31,2022-05-02,2.89,2.9,-0.01,-0.3448
3,2021-12-31,2022-02-10,2.33,2.39,-0.06,-2.5105
4,2021-09-30,2021-10-28,2.69,2.54,0.15,5.9055
5,2021-06-30,2021-07-28,3.22,2.78,0.44,15.8273
6,2021-03-31,2021-04-28,4.06,2.82,1.24,43.9716
7,2020-12-31,2021-02-12,1.91,1.97,-0.06,-3.0457
8,2020-09-30,2020-10-29,2.69,2.1,0.59,28.0952
9,2020-06-30,2020-07-30,2.81,2.24,0.57,25.4464
10,2020-03-31,2020-04-30,2.73,2.22,0.51,22.973
11,2019-12-31,2020-02-12,2,1.94,0.06,3.0928
12,2019-09-30,2019-10-30,2.15,2,0.15,7.5
13,2019-06-30,2019-07-31,2.07,2,0.07,3.5
14,2019-03-31,2019-04-24,2.07,1.93,0.14,7.2539
15,2018-12-31,2019-02-15,1.63,1.67,-0.04,-2.3952
16,2018-09-30,2018-10-26,1.69,1.78,-0.09,-5.0562
17,2018-06-30,2018-07-27,2.04,1.89,0.15,7.9365
18,2018-03-31,2018-04-27,2.02,1.8,0.22,12.2222
19,2017-12-31,2018-02-09,1.51,1.45,0.06,4.1379
20,2017-09-30,2017-11-03,1.52,1.4,0.12,8.5714
21,2017-06-30,2017-07-21,1.51,1.34,0.17,12.6866
22,2017-03-31,2017-05-05,1.47,1.24,0.23,18.5484
23,2016-12-31,2017-02-17,1.23,1.24,-0.01,-0.8065
24,2016-09-30,2016-10-21,1.34,1.2,0.14,11.6667
25,2016-06-30,2016-07-22,1.3,1.27,0.03,2.3622
26,2016-03-31,2016-04-29,0.93,1.06,-0.13,-12.2642
27,2015-12-31,2016-02-05,1.09,1.05,0.04,3.8095
28,2015-09-30,2015-10-30,1.11,1.07,0.04,3.7383
29,2015-06-30,2015-07-24,1.28,1.22,0.06,4.918
30,2015-03-31,2015-05-01,1.11,1.03,0.08,7.767
31,2014-12-31,2015-02-06,1.12,0.95,0.17,17.8947
32,2014-09-30,2014-10-24,0.97,0.9,0.07,7.7778
33,2014-06-30,2014-07-25,1.12,1.01,0.11,10.8911
34,2014-03-31,2014-04-25,1,0.91,0.09,9.8901
35,2013-12-31,2014-02-07,0.85,0.76,0.09,11.8421
36,2013-09-30,2013-10-25,0.83,0.82,0.01,1.2195
37,2013-06-30,2013-07-24,1,0.91,0.09,9.8901
38,2013-03-31,2013-05-03,0.97,0.87,0.1,11.4943
39,2012-12-31,2013-02-08,0.75,0.69,0.06,8.6957
40,2012-09-30,2012-10-26,0.75,0.64,0.11,17.1875
41,2012-06-30,2012-07-26,0.76,0.7,0.06,8.5714
42,2012-03-31,2012-04-26,0.76,0.69,0.07,10.1449
43,2011-12-31,2012-02-08,0.43,0.49,-0.06,-12.2449
44,2011-09-30,2011-10-27,0.57,0.49,0.08,16.3265
45,2011-06-30,2011-07-27,0.79,0.57,0.22,38.5965
46,2011-03-31,2011-04-27,0.67,0.54,0.13,24.0741
47,2010-12-31,2011-02-03,0.5,0.48,0.02,4.1667
48,2010-09-30,2010-10-28,0.51,0.45,0.06,13.3333
49,2010-06-30,2010-07-29,0.49,0.44,0.05,11.3636
50,2010-03-31,2010-04-21,0.47,0.44,0.03,6.8182
51,2009-12-31,2010-02-04,0.42,0.41,0.01,2.439
52,2009-09-30,2009-10-29,0.43,0.38,0.05,13.1579
53,2009-06-30,2009-07-29,0.43,0.4,0.03,7.5
54,2009-03-31,2009-04-29,0.41,0.34,0.07,20.5882
55,2008-12-31,2009-02-05,0.37,0.28,0.09,32.1429
56,2008-09-30,2008-10-29,0.45,0.41,0.04,9.7561
57,2008-06-30,2008-07-30,0.51,0.47,0.04,8.5106
58,2008-03-31,2008-04-23,0.48,0.35,0.13,37.1429
59,2007-12-31,2008-02-07,0.6,0.47,0.13,27.6596
60,2007-09-30,2007-10-24,0.51,0.55,-0.04,-7.2727
61,2007-06-30,2007-08-01,0.76,0.69,0.07,10.1449
62,2007-03-31,2007-04-25,0.62,0.58,0.04,6.8966
63,2006-12-31,2007-02-07,0.64,0.59,0.05,8.4746
64,2006-09-30,2006-10-25,0.55,0.52,0.03,5.7692
65,2006-06-30,2006-08-02,0.58,0.56,0.02,3.5714
66,2006-03-31,2006-04-26,0.49,0.49,0,0
67,2005-12-31,2006-02-03,0.5,0.46,0.04,8.6957
68,2005-09-30,2005-10-26,0.44,0.43,0.01,2.3256
69,2005-06-30,2005-07-29,0.49,0.44,0.05,11.3636
70,2005-03-31,2005-04-27,0.4,0.38,0.02,5.2632
71,2004-12-31,2005-02-16,0.41,0.37,0.04,10.8108
72,2004-09-30,2004-10-27,0.38,0.32,0.06,18.75
73,2004-06-30,2004-07-28,0.38,0.36,0.02,5.5556
74,2004-03-31,2004-04-28,0.34,0.31,0.03,9.6774
75,2003-12-31,2004-02-04,0.28,0.28,0,0
76,2003-09-30,2003-10-28,0.28,0.26,0.02,7.6923
77,2003-06-30,2003-07-22,0.33,0.28,0.05,17.8571
78,2003-03-31,2003-04-22,0.28,0.25,0.03,12
79,2002-12-31,2003-02-05,0.23,0.21,0.02,9.5238
80,2002-09-30,2002-10-22,0.22,0.2,0.02,10
81,2002-06-30,2002-07-23,0.25,0.2,0.05,25
82,2002-03-31,2002-04-24,0.23,0.18,0.05,27.7778
83,2001-12-31,2002-02-04,0.19,0.17,0.02,11.7647
84,2001-09-30,2001-10-22,0.15,0.15,0,0
85,2001-06-30,2001-07-23,0.17,0.15,0.02,13.3333
86,2001-03-31,2001-04-18,0.15,0.14,0.01,7.1429
87,2000-12-31,2001-02-05,0.13,0.13,0,0
88,2000-09-30,2000-09-30,0.1236,None,None,None
89,2000-06-30,2000-06-30,0.2079,None,None,None
90,2000-03-31,2000-03-31,0.2086,None,None,None
91,1999-12-31,1999-12-31,0.1962,None,None,None
92,1999-09-30,1999-09-30,0.2031,None,None,None
93,1999-06-30,1999-06-30,0.2015,None,None,None
94,1999-03-31,1999-03-31,0.1799,None,None,None
95,1998-12-31,1998-12-31,0.2623,None,None,None
96,1998-09-30,1998-09-30,0.2005,None,None,None
97,1998-06-30,1998-06-30,0.1756,None,None,None
98,1998-03-31,1998-03-31,0.1824,None,None,None
