,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,0.74,0.69,0.05,7.2464
1,2022-06-30,2022-07-26,0.67,0.64,0.03,4.6875
2,2022-03-31,2022-04-26,0.84,0.74,0.1,13.5135
3,2021-12-31,2022-01-27,0.72,0.72,0,0
4,2021-09-30,2021-11-02,0.7,0.7,0,0
5,2021-06-30,2021-07-27,0.66,0.65,0.01,1.5385
6,2021-03-31,2021-04-27,0.77,0.69,0.08,11.5942
7,2020-12-31,2021-01-28,0.67,0.67,0,0
8,2020-09-30,2020-11-02,0.63,0.62,0.01,1.6129
9,2020-06-30,2020-07-28,0.63,0.56,0.07,12.5
10,2020-03-31,2020-04-28,0.69,0.66,0.03,4.5455
11,2019-12-31,2020-01-29,0.61,0.6,0.01,1.6667
12,2019-09-30,2019-10-29,0.64,0.61,0.03,4.918
13,2019-06-30,2019-07-30,0.57,0.57,0,0
14,2019-03-31,2019-04-30,0.65,0.61,0.04,6.5574
15,2018-12-31,2019-01-30,0.63,0.63,0,0
16,2018-09-30,2018-10-29,0.62,0.61,0.01,1.6393
17,2018-06-30,2018-07-25,0.56,0.54,0.02,3.7037
18,2018-03-31,2018-05-01,0.62,0.61,0.01,1.6393
19,2017-12-31,2018-01-31,0.57,0.56,0.01,1.7857
20,2017-09-30,2017-10-30,0.57,0.54,0.03,5.5556
21,2017-06-30,2017-08-02,0.48,0.46,0.02,4.3478
22,2017-03-31,2017-05-02,0.53,0.5,0.03,6
23,2016-12-31,2017-02-07,0.47,0.48,-0.01,-2.0833
24,2016-09-30,2016-10-26,0.52,0.43,0.09,20.9302
25,2016-06-30,2016-07-27,0.44,0.4,0.04,10
26,2016-03-31,2016-04-27,0.48,0.39,0.09,23.0769
27,2015-12-31,2016-02-03,0.46,0.48,-0.02,-4.1667
28,2015-09-30,2015-10-28,0.42,0.41,0.01,2.439
29,2015-06-30,2015-07-30,0.47,0.39,0.08,20.5128
30,2015-03-31,2015-04-29,0.41,0.38,0.03,7.8947
31,2014-12-31,2015-02-11,0.47,0.43,0.04,9.3023
32,2014-09-30,2014-11-05,0.5,0.39,0.11,28.2051
33,2014-06-30,2014-08-06,0.4,0.39,0.01,2.5641
34,2014-03-31,2014-05-07,0.39,0.35,0.04,11.4286
35,2013-12-31,2014-02-12,0.42,0.44,-0.02,-4.5455
36,2013-09-30,2013-11-06,0.41,0.4,0.01,2.5
37,2013-06-30,2013-08-07,0.37,0.34,0.03,8.8235
38,2013-03-31,2013-05-07,0.34,0.33,0.01,3.0303
39,2012-12-31,2013-02-13,0.36,0.38,-0.02,-5.2632
40,2012-09-30,2012-11-07,0.37,0.36,0.01,2.7778
41,2012-06-30,2012-08-02,0.68,0.66,0.02,3.0303
42,2012-03-31,2012-05-03,0.57,0.56,0.01,1.7857
43,2011-12-31,2012-02-21,0.57,0.57,0,0
44,2011-09-30,2011-11-02,0.58,0.55,0.03,5.4545
45,2011-06-30,2011-08-04,0.62,0.58,0.04,6.8966
46,2011-03-31,2011-05-05,0.52,0.47,0.05,10.6383
47,2010-12-31,2011-02-10,0.46,0.46,0,0
48,2010-09-30,2010-11-04,0.47,0.46,0.01,2.1739
49,2010-06-30,2010-08-05,0.6,0.52,0.08,15.3846
50,2010-03-31,2010-05-06,0.49,0.45,0.04,8.8889
51,2009-12-31,2010-02-16,0.48,0.45,0.03,6.6667
52,2009-09-30,2009-11-03,0.55,0.48,0.07,14.5833
53,2009-06-30,2009-08-04,0.56,0.54,0.02,3.7037
54,2009-03-31,2009-05-05,0.45,0.4,0.05,12.5
55,2008-12-31,2009-02-04,0.43,0.44,-0.01,-2.2727
56,2008-09-30,2008-10-29,0.44,0.43,0.01,2.3256
57,2008-06-30,2008-07-28,0.58,0.5,0.08,16
58,2008-03-31,2008-04-30,0.44,0.4,0.04,10
59,2007-12-31,2008-01-30,0.44,0.44,0,0
60,2007-09-30,2007-10-31,0.44,0.42,0.02,4.7619
61,2007-06-30,2007-08-01,0.5,0.47,0.03,6.383
62,2007-03-31,2007-04-18,0.44,0.42,0.02,4.7619
63,2006-12-31,2007-01-31,0.51,0.51,0,0
64,2006-09-30,2006-10-23,0.46,0.45,0.01,2.2222
65,2006-06-30,2006-07-24,0.51,0.48,0.03,6.25
66,2006-03-31,2006-04-19,0.45,0.42,0.03,7.1429
67,2005-12-31,2006-01-30,0.56,0.53,0.03,5.6604
68,2005-09-30,2005-10-18,0.42,0.46,-0.04,-8.6957
69,2005-06-30,2005-07-19,0.47,0.47,0,0
70,2005-03-31,2005-04-19,0.44,0.41,0.03,7.3171
71,2004-12-31,2005-01-25,0.49,0.49,0,0
72,2004-09-30,2004-10-18,0.48,0.45,0.03,6.6667
73,2004-06-30,2004-07-19,0.46,0.46,0,0
74,2004-03-31,2004-04-19,0.45,0.43,0.02,4.6512
75,2003-12-31,2004-01-27,0.5,0.5,0,0
76,2003-09-30,2003-10-15,0.46,0.46,0,0
77,2003-06-30,2003-07-16,0.55,0.58,-0.03,-5.1724
78,2003-03-31,2003-04-15,0.49,0.48,0.01,2.0833
79,2002-12-31,2003-01-28,0.51,0.52,-0.01,-1.9231
80,2002-09-30,2002-10-16,0.5,0.5,0,0
81,2002-06-30,2002-07-17,0.55,0.54,0.01,1.8519
82,2002-03-31,2002-04-16,0.46,0.44,0.02,4.5455
83,2001-12-31,2002-01-29,0.32,0.32,0,0
84,2001-09-30,2001-10-16,0.3,0.29,0.01,3.4483
85,2001-06-30,2001-07-18,0.3344,None,None,None
