,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,3.34,3.35,-0.01,-0.2985
1,2022-06-30,2022-07-28,4.41,4.29,0.12,2.7972
2,2022-03-31,2022-04-28,3.78,2.9,0.88,30.3448
3,2021-12-31,2022-02-10,2.95,2.87,0.08,2.7875
4,2021-09-30,2021-10-28,3.95,3.81,0.14,3.6745
5,2021-06-30,2021-07-29,4.45,3.68,0.77,20.9239
6,2021-03-31,2021-04-29,3.49,2.81,0.68,24.1993
7,2020-12-31,2021-02-11,3.54,2.87,0.67,23.3449
8,2020-09-30,2020-10-29,3.26,2.14,1.12,52.3364
9,2020-06-30,2020-08-06,0.37,-0.09,0.46,511.1111
10,2020-03-31,2020-05-04,1.66,1.66,0,0
11,2019-12-31,2020-02-13,2.25,2.2,0.05,2.2727
12,2019-09-30,2019-10-24,2.75,2.64,0.11,4.1667
13,2019-06-30,2019-07-25,2.89,2.87,0.02,0.6969
14,2019-03-31,2019-04-25,2.13,2.08,0.05,2.4038
15,2018-12-31,2019-02-07,2.53,2.5,0.03,1.2
16,2018-09-30,2018-10-25,3.29,3.58,-0.29,-8.1006
17,2018-06-30,2018-07-25,3.51,3.9,-0.39,-10
18,2018-03-31,2018-04-26,3.01,3,0.01,0.3333
19,2017-12-31,2018-02-08,3.42,3.32,0.1,3.012
20,2017-09-30,2017-10-26,3.75,3.74,0.01,0.2674
21,2017-06-30,2017-07-27,3.72,3.6,0.12,3.3333
22,2017-03-31,2017-04-27,2.72,2.72,0,0
23,2016-12-31,2017-02-09,3.26,3.22,0.04,1.2422
24,2016-09-30,2016-11-03,3.5,3.46,0.04,1.1561
25,2016-06-30,2016-08-04,3.47,3.37,0.1,2.9674
26,2016-03-31,2016-05-05,2.38,2.32,0.06,2.5862
27,2015-12-31,2016-02-25,2.82,2.73,0.09,3.2967
28,2015-09-30,2015-11-05,2.98,2.99,-0.01,-0.3344
29,2015-06-30,2015-08-06,2.69,2.62,0.07,2.6718
30,2015-03-31,2015-05-07,1.7,1.6,0.1,6.25
31,2014-12-31,2015-02-19,2.27,2.21,0.06,2.7149
32,2014-09-30,2014-10-30,2.44,2.42,0.02,0.8264
33,2014-06-30,2014-07-31,2.21,2.2,0.01,0.4545
34,2014-03-31,2014-05-01,1.23,1.17,0.06,5.1282
35,2013-12-31,2014-02-20,1.79,1.74,0.05,2.8736
36,2013-09-30,2013-10-31,2.02,1.9,0.12,6.3158
37,2013-06-30,2013-08-01,1.84,1.66,0.18,10.8434
38,2013-03-31,2013-05-02,0.87,0.85,0.02,2.3529
39,2012-12-31,2013-02-21,1.01,0.95,0.06,6.3158
40,2012-09-30,2012-11-01,1.04,1.02,0.02,1.9608
41,2012-06-30,2012-08-02,1.14,1.13,0.01,0.885
42,2012-03-31,2012-05-03,0.58,0.55,0.03,5.4545
43,2011-12-31,2012-02-23,0.72,0.72,0,0
44,2011-09-30,2011-11-03,0.83,0.86,-0.03,-3.4884
45,2011-06-30,2011-08-04,0.95,0.93,0.02,2.1505
46,2011-03-31,2011-05-05,0.42,0.42,0,0
47,2010-12-31,2011-02-22,0.66,0.57,0.09,15.7895
48,2010-09-30,2010-11-04,0.74,0.77,-0.03,-3.8961
49,2010-06-30,2010-08-05,0.77,0.71,0.06,8.4507
50,2010-03-31,2010-04-29,0.35,0.18,0.17,94.4444
51,2009-12-31,2010-02-25,0.56,0.34,0.22,64.7059
52,2009-09-30,2009-10-29,0.64,0.58,0.06,10.3448
53,2009-06-30,2009-07-30,0.79,0.47,0.32,68.0851
54,2009-03-31,2009-04-23,-0.45,-0.85,0.4,47.0588
55,2008-12-31,2009-02-23,-1.87,0.22,-2.09,-950
56,2008-09-30,2008-11-03,1.1,1.11,-0.01,-0.9009
57,2008-06-30,2008-07-21,1.29,1.27,0.02,1.5748
58,2008-03-31,2008-04-17,0.95,0.9,0.05,5.5556
59,2007-12-31,2008-02-13,1.57,1.54,0.03,1.9481
60,2007-09-30,2007-10-18,1.78,1.65,0.13,7.8788
61,2007-06-30,2007-07-19,1.68,1.58,0.1,6.3291
62,2007-03-31,2007-04-19,1.24,1.07,0.17,15.8879
63,2006-12-31,2007-02-15,1.91,1.52,0.39,25.6579
64,2006-09-30,2006-10-26,1.8,1.79,0.01,0.5587
65,2006-06-30,2006-07-27,1.7,1.55,0.15,9.6774
66,2006-03-31,2006-04-27,1.16,1.04,0.12,11.5385
67,2005-12-31,2006-02-23,1.59,1.5,0.09,6
68,2005-09-30,2005-10-19,1.61,1.61,0,0
69,2005-06-30,2005-07-20,1.39,1.35,0.04,2.963
70,2005-03-31,2005-04-21,1.03,1.08,-0.05,-4.6296
71,2004-12-31,2005-02-15,1.52,1.53,-0.01,-0.6536
72,2004-09-30,2004-10-20,1.67,1.5,0.17,11.3333
73,2004-06-30,2004-07-21,1.29,1.3,-0.01,-0.7692
74,2004-03-31,2004-04-21,0.98,1,-0.02,-2
75,2003-12-31,2004-02-05,1.51,1.42,0.09,6.338
76,2003-09-30,2003-10-16,1.36,1.35,0.01,0.7407
77,2003-06-30,2003-07-16,1.12,1.07,0.05,4.6729
78,2003-03-31,2003-04-16,0.62,0.61,0.01,1.6393
79,2002-12-31,2003-02-06,1.25,1.21,0.04,3.3058
80,2002-09-30,2002-10-14,1.21,1.2,0.01,0.8333
81,2002-06-30,2002-07-15,1.12,1.11,0.01,0.9009
82,2002-03-31,2002-04-15,0.77,0.67,0.1,14.9254
83,2001-12-31,2002-02-07,1.11,0.94,0.17,18.0851
84,2001-09-30,2001-10-15,1.05,0.88,0.17,19.3182
85,2001-06-30,2001-07-16,0.88,0.75,0.13,17.3333
86,2001-03-31,2001-04-16,0.51,0.5,0.01,2
87,2000-12-31,2001-02-08,0.74,0.73,0.01,1.3699
88,2000-09-30,2000-10-12,0.87,0.87,0,0
89,2000-06-30,2000-07-20,0.87,0.85,0.02,2.3529
90,2000-03-31,2000-04-18,0.61,0.58,0.03,5.1724
91,1999-12-31,2000-02-10,0.7,0.69,0.01,1.4493
92,1999-09-30,1999-10-21,0.74,0.73,0.01,1.3699
93,1999-06-30,1999-07-22,0.72,0.69,0.03,4.3478
94,1999-03-31,1999-04-22,0.46,0.38,0.08,21.0526
95,1998-12-31,1999-02-04,0.67,0.56,0.11,19.6429
96,1998-09-30,1998-10-15,0.61,0.56,0.05,8.9286
97,1998-06-30,1998-07-16,0.59,0.49,0.1,20.4082
98,1998-03-31,1998-04-16,0.28,0.22,0.06,27.2727
99,1997-12-31,1998-02-05,0.46,0.34,0.12,35.2941
100,1997-09-30,1997-10-16,0.4,0.36,0.04,11.1111
101,1997-06-30,1997-07-17,0.37,0.36,0.01,2.7778
102,1997-03-31,1997-04-17,0.17,0.15,0.02,13.3333
103,1996-12-31,1997-02-10,0.27,0.26,0.01,3.8462
104,1996-09-30,1996-10-16,0.36,0.28,0.08,28.5714
105,1996-06-30,1996-07-17,0.32,0.29,0.03,10.3448
106,1996-03-31,1996-04-17,0.11,0.09,0.02,22.2222
