,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,1.28,1.3,-0.02,-1.5385
1,2022-06-30,2022-07-28,1.26,1.25,0.01,0.8
2,2022-03-31,2022-04-28,1.12,1.09,0.03,2.7523
3,2021-12-31,2022-01-27,1.09,1.09,0,0
4,2021-09-30,2021-10-28,1.22,1.26,-0.04,-3.1746
5,2021-06-30,2021-07-29,1.23,1.18,0.05,4.2373
6,2021-03-31,2021-04-29,1.07,1.05,0.02,1.9048
7,2020-12-31,2021-01-28,0.99,1.02,-0.03,-2.9412
8,2020-09-30,2020-10-30,1.19,1.16,0.03,2.5862
9,2020-06-30,2020-07-28,1.09,1.06,0.03,2.8302
10,2020-03-31,2020-04-30,1.09,0.98,0.11,11.2245
11,2019-12-31,2020-01-30,1.02,1.02,0,0
12,2019-09-30,2019-10-31,1.19,1.15,0.04,3.4783
13,2019-06-30,2019-07-30,1.1,1.11,-0.01,-0.9009
14,2019-03-31,2019-04-25,0.9,0.92,-0.02,-2.1739
15,2018-12-31,2019-01-31,0.95,0.95,0,0
16,2018-09-30,2018-10-25,1.08,1.07,0.01,0.9346
17,2018-06-30,2018-07-26,1.01,1,0.01,1
18,2018-03-31,2018-04-26,0.95,0.93,0.02,2.1505
19,2017-12-31,2018-02-01,0.91,0.8,0.11,13.75
20,2017-09-30,2017-10-26,0.9,0.87,0.03,3.4483
21,2017-06-30,2017-07-27,0.85,0.86,-0.01,-1.1628
22,2017-03-31,2017-05-02,0.73,0.74,-0.01,-1.3514
23,2016-12-31,2017-02-01,0.68,0.67,0.01,1.4925
24,2016-09-30,2016-10-27,0.82,0.8,0.02,2.5
25,2016-06-30,2016-07-27,0.81,0.8,0.01,1.25
26,2016-03-31,2016-04-28,0.72,0.68,0.04,5.8824
27,2015-12-31,2016-01-28,0.67,0.68,-0.01,-1.4706
28,2015-09-30,2015-10-29,0.75,0.75,0,0
29,2015-06-30,2015-07-29,0.74,0.71,0.03,4.2254
30,2015-03-31,2015-04-23,0.63,0.62,0.01,1.6129
31,2014-12-31,2015-01-30,0.66,0.67,-0.01,-1.4925
32,2014-09-30,2014-10-30,0.69,0.68,0.01,1.4706
33,2014-06-30,2014-07-22,0.65,0.66,-0.01,-1.5152
34,2014-03-31,2014-04-24,0.57,0.57,0,0
35,2013-12-31,2014-01-30,0.57,0.58,-0.01,-1.7241
36,2013-09-30,2013-10-24,0.65,0.64,0.01,1.5625
37,2013-06-30,2013-07-23,0.62,0.63,-0.01,-1.5873
38,2013-03-31,2013-04-25,0.54,0.53,0.01,1.8868
39,2012-12-31,2013-01-31,0.55,0.55,0,0
40,2012-09-30,2012-10-25,0.58,0.58,0,0
41,2012-06-30,2012-07-24,0.59,0.57,0.02,3.5088
42,2012-03-31,2012-04-26,0.49,0.49,0,0
43,2011-12-31,2012-01-27,0.5,0.49,0.01,2.0408
44,2011-09-30,2011-10-27,0.56,0.56,0,0
45,2011-06-30,2011-07-20,0.53,0.53,0,0
46,2011-03-31,2011-04-20,0.44,0.44,0,0
47,2010-12-31,2011-01-27,0.44,0.44,0,0
48,2010-09-30,2010-10-20,0.54,0.52,0.02,3.8462
49,2010-06-30,2010-07-21,0.5,0.5,0,0
50,2010-03-31,2010-04-21,0.42,0.4,0.02,5
51,2009-12-31,2010-01-28,0.39,0.4,-0.01,-2.5
52,2009-09-30,2009-10-21,0.48,0.46,0.02,4.3478
53,2009-06-30,2009-07-22,0.5,0.47,0.03,6.383
54,2009-03-31,2009-04-22,0.39,0.38,0.01,2.6316
55,2008-12-31,2009-01-29,0.37,0.37,0,0
56,2008-09-30,2008-10-23,0.46,0.44,0.02,4.5455
57,2008-06-30,2008-07-31,0.46,0.45,0.01,2.2222
58,2008-03-31,2008-04-24,0.37,0.37,0,0
59,2007-12-31,2008-01-30,1,0.97,0.03,3.0928
60,2007-09-30,2007-10-17,1.21,1.14,0.07,6.1404
61,2007-06-30,2007-07-18,1.15,1.13,0.02,1.7699
62,2007-03-31,2007-04-19,1.03,1.05,-0.02,-1.9048
63,2006-12-31,2007-01-31,1.27,1.22,0.05,4.0984
64,2006-09-30,2006-10-25,1.39,1.41,-0.02,-1.4184
65,2006-06-30,2006-07-25,1.41,1.37,0.04,2.9197
66,2006-03-31,2006-04-20,1.28,1.28,0,0
67,2005-12-31,2006-01-31,1.17,1.17,0,0
68,2005-09-30,2005-10-19,1.38,1.33,0.05,3.7594
69,2005-06-30,2005-07-20,1.32,1.34,-0.02,-1.4925
70,2005-03-31,2005-04-20,1.24,1.23,0.01,0.813
71,2004-12-31,2005-01-26,1.08,1.06,0.02,1.8868
72,2004-09-30,2004-10-19,1.24,1.25,-0.01,-0.8
73,2004-06-30,2004-07-20,1.25,1.28,-0.03,-2.3438
74,2004-03-31,2004-04-20,1.16,1.13,0.03,2.6549
75,2003-12-31,2004-01-28,1.06,1.06,0,0
76,2003-09-30,2003-10-16,1.23,1.21,0.02,1.6529
77,2003-06-30,2003-07-17,1.26,1.19,0.07,5.8824
78,2003-03-31,2003-04-16,1.07,1.06,0.01,0.9434
79,2002-12-31,2003-01-29,0.93,0.92,0.01,1.087
80,2002-09-30,2002-10-17,1.26,1.26,0,0
81,2002-06-30,2002-07-18,1.24,1.23,0.01,0.813
82,2002-03-31,2002-04-17,1.14,1.13,0.01,0.885
83,2001-12-31,2002-01-30,0.99,0.99,0,0
84,2001-09-30,2001-10-17,1.07,1.07,0,0
85,2001-06-30,2001-07-18,1.03,1.03,0,0
86,2001-03-31,2001-04-17,0.95,0.94,0.01,1.0638
87,2000-12-31,2001-01-31,0.87,0.88,-0.01,-1.1364
88,2000-09-30,2000-10-17,0.99,0.99,0,0
89,2000-06-30,2000-07-18,0.95,0.95,0,0
90,2000-03-31,2000-04-18,0.89,0.9,-0.01,-1.1111
91,1999-12-31,2000-01-26,0.77,0.78,-0.01,-1.2821
92,1999-09-30,1999-10-19,0.84,0.87,-0.03,-3.4483
93,1999-06-30,1999-07-20,0.84,0.85,-0.01,-1.1765
94,1999-03-31,1999-04-20,0.8,0.79,0.01,1.2658
95,1998-12-31,1999-01-27,0.72,0.72,0,0
96,1998-09-30,1998-10-20,0.81,0.83,-0.02,-2.4096
97,1998-06-30,1998-07-21,0.82,0.82,0,0
98,1998-03-31,1998-04-21,0.77,0.79,-0.02,-2.5316
99,1997-12-31,1998-01-28,0.66,0.66,0,0
100,1997-09-30,1997-10-21,0.78,0.78,0,0
101,1997-06-30,1997-07-22,0.76,0.76,0,0
102,1997-03-31,1997-04-16,0.73,0.73,0,0
103,1996-12-31,1997-01-29,0.6,0.6,0,0
104,1996-09-30,1996-10-22,0.67,0.67,0,0
105,1996-06-30,1996-07-16,0.66,0.66,0,0
106,1996-03-31,1996-04-16,0.63,0.63,0,0
