,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,7.81,7.07,0.74,10.4668
1,2022-06-30,2022-08-02,10.61,8.05,2.56,31.8012
2,2022-03-31,2022-05-03,1.49,1.11,0.38,34.2342
3,2021-12-31,2022-02-02,1.3,0.56,0.74,132.1429
4,2021-09-30,2021-11-02,0.73,0.71,0.02,2.8169
5,2021-06-30,2021-08-04,0.67,0.39,0.28,71.7949
6,2021-03-31,2021-05-04,-0.2,-0.71,0.51,71.831
7,2020-12-31,2021-02-02,-0.94,-1.41,0.47,33.3333
8,2020-09-30,2020-11-02,-1,-1.7,0.7,41.1765
9,2020-06-30,2020-08-03,-1.33,-1.75,0.42,24
10,2020-03-31,2020-05-05,-0.16,-0.31,0.15,48.3871
11,2019-12-31,2020-01-29,1.56,0.86,0.7,81.3953
12,2019-09-30,2019-10-31,1.63,1.38,0.25,18.1159
13,2019-06-30,2019-08-01,1.73,1.33,0.4,30.0752
14,2019-03-31,2019-05-08,-0.09,0.05,-0.14,-280
15,2018-12-31,2019-02-07,2.22,1.96,0.26,13.2653
16,2018-09-30,2018-11-01,1.62,1.7,-0.08,-4.7059
17,2018-06-30,2018-07-26,2.27,2.03,0.24,11.8227
18,2018-03-31,2018-04-30,0.08,0.16,-0.08,-50
19,2017-12-31,2018-02-01,1.03,0.95,0.08,8.4211
20,2017-09-30,2017-10-26,1.77,1.49,0.28,18.7919
21,2017-06-30,2017-07-27,1.03,1.07,-0.04,-3.7383
22,2017-03-31,2017-04-27,0.06,-0.05,0.11,220
23,2016-12-31,2017-02-01,0.43,0.26,0.17,65.3846
24,2016-09-30,2016-10-27,0.58,0.81,-0.23,-28.3951
25,2016-06-30,2016-07-28,1.07,0.97,0.1,10.3093
26,2016-03-31,2016-04-28,0.06,0.15,-0.09,-60
27,2015-12-31,2016-02-03,0.79,0.69,0.1,14.4928
28,2015-09-30,2015-10-29,1.94,1.82,0.12,6.5934
29,2015-06-30,2015-07-30,1.51,1.76,-0.25,-14.2045
30,2015-03-31,2015-04-30,1.62,1.44,0.18,12.5
31,2014-12-31,2015-02-04,1.44,0.69,0.75,108.6957
32,2014-09-30,2014-10-30,1.18,1.14,0.04,3.5088
33,2014-06-30,2014-07-31,1.48,1.07,0.41,38.3178
34,2014-03-31,2014-05-01,0.41,0.52,-0.11,-21.1538
35,2013-12-31,2014-01-29,1.05,0.58,0.47,81.0345
36,2013-09-30,2013-10-31,0.3,0.3,0,0
37,2013-06-30,2013-08-01,0.98,0.96,0.02,2.0833
38,2013-03-31,2013-04-30,1.09,1.08,0.01,0.9259
39,2012-12-31,2013-01-30,1.13,1.05,0.08,7.619
40,2012-09-30,2012-11-01,1.66,1.62,0.04,2.4691
41,2012-06-30,2012-07-31,1.26,1.25,0.01,0.8
42,2012-03-31,2012-05-01,0.85,0.67,0.18,26.8657
43,2011-12-31,2012-02-01,-0.1,-0.03,-0.07,-233.3333
44,2011-09-30,2011-11-01,1.58,1.29,0.29,22.4806
45,2011-06-30,2011-08-02,1.15,0.98,0.17,17.3469
