,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,2.53,3.29,-0.76,-23.1003
1,2022-06-30,2022-08-03,5.24,4.55,0.69,15.1648
2,2022-03-31,2022-05-04,8.58,5.21,3.37,64.6833
3,2021-12-31,2022-02-24,11.29,9.9,1.39,14.0404
4,2021-09-30,2021-11-04,7.7,9.05,-1.35,-14.9171
5,2021-06-30,2021-08-05,6.46,5.96,0.5,8.3893
6,2021-03-31,2021-05-06,2.84,2.39,0.45,18.8285
7,2020-12-31,2021-02-25,-0.69,-0.35,-0.34,-97.1429
8,2020-09-30,2020-10-29,-0.59,-0.43,-0.16,-37.2093
9,2020-06-30,2020-08-05,-0.31,-0.35,0.04,11.4286
10,2020-03-31,2020-05-07,-0.35,-0.35,0,0
11,2019-12-31,2020-02-26,-0.37,-0.42,0.05,11.9048
12,2019-09-30,2019-11-06,-0.37,-0.43,0.06,13.9535
13,2019-06-30,2019-08-07,-0.41,-0.44,0.03,6.8182
14,2019-03-31,2019-05-08,-0.4,-0.36,-0.04,-11.1111
15,2018-12-31,2019-03-06,-1.78,-0.36,-1.42,-394.4444
16,2018-09-30,2018-12-07,-0.52,0,-0.52,None
17,2018-06-30,2018-06-30,-0.29,None,None,None
