,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,3,2.88,0.12,4.1667
1,2022-06-30,2022-08-04,2.07,1.87,0.2,10.6952
2,2022-03-31,2022-05-12,1.7,1.61,0.09,5.5901
3,2021-12-31,2022-02-09,2.85,2.74,0.11,4.0146
4,2021-09-30,2021-11-04,2.35,2.13,0.22,10.3286
5,2021-06-30,2021-08-05,2.07,1.92,0.15,7.8125
6,2021-03-31,2021-05-06,1.87,1.62,0.25,15.4321
7,2020-12-31,2021-02-04,2.86,2.74,0.12,4.3796
8,2020-09-30,2020-10-29,1.95,1.78,0.17,9.5506
9,2020-06-30,2020-08-06,1.39,1.21,0.18,14.876
10,2020-03-31,2020-05-07,1.49,1.28,0.21,16.4063
11,2019-12-31,2020-02-06,2.94,2.79,0.15,5.3763
12,2019-09-30,2019-10-30,2.04,1.95,0.09,4.6154
13,2019-06-30,2019-08-01,1.69,1.6,0.09,5.625
14,2019-03-31,2019-05-02,1.28,1.14,0.14,12.2807
15,2018-12-31,2019-02-07,2.63,2.53,0.1,3.9526
16,2018-09-30,2018-11-01,1.94,1.72,0.22,12.7907
17,2018-06-30,2018-08-02,1.46,1.37,0.09,6.5693
18,2018-03-31,2018-05-03,1.1,0.87,0.23,26.4368
19,2017-12-31,2018-02-01,2.1,2.04,0.06,2.9412
20,2017-09-30,2017-11-02,1.53,1.4,0.13,9.2857
21,2017-06-30,2017-08-03,1.12,1.04,0.08,7.6923
22,2017-03-31,2017-05-04,0.71,0.57,0.14,24.5614
23,2016-12-31,2017-02-02,2.03,1.85,0.18,9.7297
24,2016-09-30,2016-11-03,1.37,1.2,0.17,14.1667
25,2016-06-30,2016-08-04,1.03,0.86,0.17,19.7674
26,2016-03-31,2016-05-05,0.52,0.4,0.12,30
27,2015-12-31,2016-02-22,1.58,1.42,0.16,11.2676
28,2015-09-30,2015-11-04,0.82,0.73,0.09,12.3288
29,2015-06-30,2015-08-05,0.68,0.54,0.14,25.9259
30,2015-03-31,2015-05-06,0.38,0.25,0.13,52
31,2014-12-31,2015-02-04,1.25,1.12,0.13,11.6071
32,2014-09-30,2014-11-04,0.62,0.41,0.21,51.2195
33,2014-06-30,2014-08-05,0.47,0.63,-0.16,-25.3968
34,2014-03-31,2014-05-01,0.5,0.5,0,0
35,2013-12-31,2014-01-22,1.67,1.62,0.05,3.0864
36,2013-09-30,2013-10-23,1.32,1.02,0.3,29.4118
37,2013-06-30,2013-07-24,1.12,1.04,0.08,7.6923
38,2013-03-31,2013-04-24,0.66,0.66,0,0
39,2012-12-31,2013-01-23,1.1,1.02,0.08,7.8431
40,2012-09-30,2012-10-24,0.84,0.73,0.11,15.0685
41,2012-06-30,2012-07-25,0.7,0.69,0.01,1.4493
42,2012-03-31,2012-04-25,0.59,0.54,0.05,9.2593
43,2011-12-31,2012-01-25,0.87,0.82,0.05,6.0976
44,2011-09-30,2011-10-27,0.65,0.59,0.06,10.1695
45,2011-06-30,2011-07-28,0.57,0.51,0.06,11.7647
46,2011-03-31,2011-04-28,0.54,0.32,0.22,68.75
47,2010-12-31,2011-01-27,1.2,1.06,0.14,13.2075
