,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-19,3.53,4.04,-0.51,-12.6238
1,2022-06-30,2022-07-20,1.08,2.44,-1.36,-55.7377
2,2022-03-31,2022-04-20,2.62,2.19,0.43,19.6347
3,2021-12-31,2022-01-20,3.37,2.91,0.46,15.8076
4,2021-09-30,2021-10-20,3.69,3.5,0.19,5.4286
5,2021-06-30,2021-07-21,3.41,3.62,-0.21,-5.8011
6,2021-03-31,2021-04-19,3.33,3,0.33,11
7,2020-12-31,2021-01-21,3.52,3.03,0.49,16.1716
8,2020-09-30,2020-10-22,2.75,2.61,0.14,5.364
9,2020-06-30,2020-07-23,1.74,1.65,0.09,5.4545
10,2020-03-31,2020-04-20,1.93,2.47,-0.54,-21.8623
11,2019-12-31,2020-01-23,3.6,3.47,0.13,3.7464
12,2019-09-30,2019-10-17,3.47,3.58,-0.11,-3.0726
13,2019-06-30,2019-07-18,3.34,3.69,-0.35,-9.4851
14,2019-03-31,2019-04-15,3.35,3.3,0.05,1.5152
15,2018-12-31,2019-01-17,3.76,3.5,0.26,7.4286
16,2018-09-30,2018-10-17,3.53,3.34,0.19,5.6886
17,2018-06-30,2018-07-18,3.26,3.17,0.09,2.8391
18,2018-03-31,2018-04-16,2.23,2.76,-0.53,-19.2029
19,2017-12-31,2018-01-18,2.66,2.4,0.26,10.8333
20,2017-09-30,2017-10-18,2.21,2.4,-0.19,-7.9167
21,2017-06-30,2017-07-19,2.35,2.27,0.08,3.5242
22,2017-03-31,2017-04-17,2.12,1.93,0.19,9.8446
23,2016-12-31,2017-01-19,1.98,2.04,-0.06,-2.9412
24,2016-09-30,2016-10-19,2.1,2.04,0.06,2.9412
25,2016-06-30,2016-07-20,1.98,2.08,-0.1,-4.8077
26,2016-03-31,2016-04-18,1.73,1.84,-0.11,-5.9783
27,2015-12-31,2016-01-19,1.65,1.96,-0.31,-15.8163
28,2015-09-30,2015-10-19,1.93,2.01,-0.08,-3.9801
29,2015-06-30,2015-07-16,1.98,1.98,0,0
30,2015-03-31,2015-04-20,1.65,1.76,-0.11,-6.25
31,2014-12-31,2015-01-20,1.92,1.94,-0.02,-1.0309
32,2014-09-30,2014-10-17,1.91,1.98,-0.07,-3.5354
33,2014-06-30,2014-07-17,1.98,1.9,0.08,4.2105
34,2014-03-31,2014-04-14,1.61,1.61,0,0
35,2013-12-31,2014-01-17,1.74,1.92,-0.18,-9.375
36,2013-09-30,2013-10-17,2.11,2.08,0.03,1.4423
37,2013-06-30,2013-07-17,2.12,2.1,0.02,0.9524
38,2013-03-31,2013-04-15,1.98,1.96,0.02,1.0204
39,2012-12-31,2013-01-16,2.16,2.18,-0.02,-0.9174
40,2012-09-30,2012-10-17,2.17,1.85,0.32,17.2973
41,2012-06-30,2012-07-17,1.71,1.68,0.03,1.7857
42,2012-03-31,2012-04-16,1.5,1.48,0.02,1.3514
43,2011-12-31,2012-01-17,1.04,1.46,-0.42,-28.7671
44,2011-09-30,2011-10-19,1.32,1.65,-0.33,-20
45,2011-06-30,2011-07-20,2.42,1.55,0.87,56.129
46,2011-03-31,2011-04-18,1.59,1.41,0.18,12.766
47,2010-12-31,2011-01-14,1.59,1.45,0.14,9.6552
48,2010-09-30,2010-10-20,1.48,1.37,0.11,8.0292
49,2010-06-30,2010-07-21,1.46,1.25,0.21,16.8
50,2010-03-31,2010-04-19,1.15,0.99,0.16,16.1616
51,2009-12-31,2010-01-20,1.04,0.87,0.17,19.5402
52,2009-09-30,2009-10-20,0.97,0.66,0.31,46.9697
53,2009-06-30,2009-07-20,0.36,0.45,-0.09,-20
54,2009-03-31,2009-04-21,0.49,0.71,-0.22,-30.9859
55,2008-12-31,2009-01-22,0.92,1.1,-0.18,-16.3636
56,2008-09-30,2008-10-21,0.82,1.07,-0.25,-23.3645
57,2008-06-30,2008-07-14,1.44,1.5,-0.06,-4
58,2008-03-31,2008-04-15,1.82,1.56,0.26,16.6667
59,2007-12-31,2008-01-14,0.6,1.63,-1.03,-63.1902
60,2007-09-30,2007-10-11,1.83,1.93,-0.1,-5.1813
61,2007-06-30,2007-07-12,1.95,1.86,0.09,4.8387
62,2007-03-31,2007-04-17,1.57,1.56,0.01,0.641
63,2006-12-31,2007-01-11,1.88,1.88,0,0
64,2006-09-30,2006-10-11,1.85,1.83,0.02,1.0929
65,2006-06-30,2006-07-12,1.87,1.82,0.05,2.7473
66,2006-03-31,2006-04-18,1.77,1.74,0.03,1.7241
67,2005-12-31,2006-01-11,1.78,1.75,0.03,1.7143
68,2005-09-30,2005-10-12,1.64,1.7,-0.06,-3.5294
69,2005-06-30,2005-07-12,1.69,1.65,0.04,2.4242
70,2005-03-31,2005-04-19,1.62,1.62,0,0
71,2004-12-31,2005-01-11,1.62,1.59,0.03,1.8868
72,2004-09-30,2004-10-12,1.56,1.51,0.05,3.3113
73,2004-06-30,2004-07-12,1.53,1.45,0.08,5.5172
74,2004-03-31,2004-04-20,1.3,1.38,-0.08,-5.7971
75,2003-12-31,2004-01-12,1.36,1.4,-0.04,-2.8571
76,2003-09-30,2003-10-10,1.38,1.37,0.01,0.7299
77,2003-06-30,2003-07-14,1.27,1.24,0.03,2.4194
78,2003-03-31,2003-04-10,1.27,1.28,-0.01,-0.7813
79,2002-12-31,2003-01-10,1.33,1.32,0.01,0.7576
80,2002-09-30,2002-10-09,1.32,1.27,0.05,3.937
81,2002-06-30,2002-07-10,1.26,1.25,0.01,0.8
82,2002-03-31,2002-04-16,1.25,1.2,0.05,4.1667
83,2001-12-31,2002-01-09,1.05,1.01,0.04,3.9604
84,2001-09-30,2001-10-09,0.98,0.98,0,0
85,2001-06-30,2001-07-10,0.94,0.94,0,0
86,2001-03-31,2001-04-17,0.9,0.89,0.01,1.1236
87,2000-12-31,2001-01-10,0.89,0.87,0.02,2.2989
