,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,10.18,9.83,0.35,3.5605
1,2022-06-30,2022-07-28,9.39,8.76,0.63,7.1918
2,2022-03-31,2022-05-05,7.87,7.25,0.62,8.5517
3,2021-12-31,2022-02-10,10.53,10.08,0.45,4.4643
4,2021-09-30,2021-11-04,8.72,8.24,0.48,5.8252
5,2021-06-30,2021-07-29,8.1,7.62,0.48,6.2992
6,2021-03-31,2021-05-06,6.56,5.61,0.95,16.934
7,2020-12-31,2021-02-04,9.26,8.72,0.54,6.1927
8,2020-09-30,2020-11-05,7.02,5.95,1.07,17.9832
9,2020-06-30,2020-07-30,5.29,4.2,1.09,25.9524
10,2020-03-31,2020-05-07,4,3.89,0.11,2.8278
11,2019-12-31,2020-02-06,7.78,7.68,0.1,1.3021
12,2019-09-30,2019-11-07,5.77,5.71,0.06,1.0508
13,2019-06-30,2019-08-01,5.16,5.08,0.08,1.5748
14,2019-03-31,2019-05-09,4.1,4.05,0.05,1.2346
15,2018-12-31,2019-02-07,6.85,6.75,0.1,1.4815
16,2018-09-30,2018-11-08,5.12,5,0.12,2.4
17,2018-06-30,2018-07-26,4.65,4.58,0.07,1.5284
18,2018-03-31,2018-05-03,3.74,3.73,0.01,0.2681
19,2017-12-31,2018-02-08,5.97,5.93,0.04,0.6745
20,2017-09-30,2017-11-02,4.36,4.33,0.03,0.6928
21,2017-06-30,2017-07-27,3.92,3.9,0.02,0.5128
22,2017-03-31,2017-05-04,3.34,3.09,0.25,8.0906
23,2016-12-31,2017-02-02,5.28,5.12,0.16,3.125
24,2016-09-30,2016-11-03,3.89,3.66,0.23,6.2842
25,2016-06-30,2016-07-28,3.22,3.13,0.09,2.8754
26,2016-03-31,2016-05-05,2.46,2.44,0.02,0.8197
27,2015-12-31,2016-02-04,4.65,4.61,0.04,0.8677
28,2015-09-30,2015-11-05,3.26,3.18,0.08,2.5157
29,2015-06-30,2015-07-30,2.8,2.79,0.01,0.3584
30,2015-03-31,2015-05-07,2.25,2.17,0.08,3.6866
31,2014-12-31,2015-02-05,4.24,4.15,0.09,2.1687
32,2014-09-30,2014-11-06,2.95,2.86,0.09,3.1469
33,2014-06-30,2014-07-24,2.57,2.57,0,0
34,2014-03-31,2014-05-08,2,1.97,0.03,1.5228
35,2013-12-31,2014-02-05,3.82,3.74,0.08,2.139
36,2013-09-30,2013-11-07,2.6,2.59,0.01,0.3861
37,2013-06-30,2013-07-25,2.35,2.34,0.01,0.4274
38,2013-03-31,2013-05-02,1.84,1.8,0.04,2.2222
39,2012-12-31,2013-02-06,3.47,3.19,0.28,8.7774
40,2012-09-30,2012-11-01,2.4,2.25,0.15,6.6667
41,2012-06-30,2012-07-26,2.15,2.14,0.01,0.4673
42,2012-03-31,2012-05-03,1.66,1.62,0.04,2.4691
43,2011-12-31,2012-02-08,2.88,2.79,0.09,3.2258
44,2011-09-30,2011-11-03,2.01,1.92,0.09,4.6875
45,2011-06-30,2011-07-28,1.9,1.86,0.04,2.1505
46,2011-03-31,2011-05-04,1.45,1.39,0.06,4.3165
47,2010-12-31,2011-02-10,2.56,2.3,0.26,11.3043
48,2010-09-30,2010-11-04,1.71,1.56,0.15,9.6154
49,2010-06-30,2010-07-22,1.55,1.33,0.22,16.5414
50,2010-03-31,2010-04-29,1.13,1.04,0.09,8.6538
51,2009-12-31,2010-02-04,2.09,1.97,0.12,6.0914
52,2009-09-30,2009-10-29,1.36,1.18,0.18,15.2542
53,2009-06-30,2009-07-23,1.17,1.12,0.05,4.4643
54,2009-03-31,2009-04-30,0.95,0.81,0.14,17.284
55,2008-12-31,2009-02-05,2,1.89,0.11,5.8201
56,2008-09-30,2008-11-06,1.44,1.36,0.08,5.8824
57,2008-06-30,2008-07-24,1.4,1.29,0.11,8.5271
58,2008-03-31,2008-04-24,1.01,0.97,0.04,4.1237
59,2007-12-31,2008-02-07,1.73,1.53,0.2,13.0719
60,2007-09-30,2007-11-01,1.15,1.06,0.09,8.4906
61,2007-06-30,2007-07-26,1.07,1.03,0.04,3.8835
62,2007-03-31,2007-04-26,0.78,0.68,0.1,14.7059
63,2006-12-31,2007-02-08,1.31,1.2,0.11,9.1667
64,2006-09-30,2006-11-02,0.91,0.81,0.1,12.3457
65,2006-06-30,2006-07-27,0.84,0.81,0.03,3.7037
