,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-08,-0.64,-0.7,0.06,8.5714
1,2022-06-30,2022-08-09,-1.14,-0.86,-0.28,-32.5581
2,2022-03-31,2022-05-10,-1.82,-1.53,-0.29,-18.9542
3,2021-12-31,2022-02-24,-1.95,-1.6,-0.35,-21.875
4,2021-09-30,2021-11-03,-2.17,-2.09,-0.08,-3.8278
5,2021-06-30,2021-08-06,-1.93,-1.97,0.04,2.0305
6,2021-03-31,2021-05-06,-2.03,-2.05,0.02,0.9756
7,2020-12-31,2021-02-25,-2.33,-2.17,-0.16,-7.3733
8,2020-09-30,2020-11-09,-2.35,-2.24,-0.11,-4.9107
9,2020-06-30,2020-08-06,-2.78,-2.26,-0.52,-23.0088
10,2020-03-31,2020-05-14,-0.99,-0.5,-0.49,-98
11,2019-12-31,2020-02-20,0.73,0.7,0.03,4.2857
12,2019-09-30,2019-11-07,2.23,2.16,0.07,3.2407
13,2019-06-30,2019-08-08,1.3,1.26,0.04,3.1746
14,2019-03-31,2019-05-09,0.83,0.71,0.12,16.9014
15,2018-12-31,2019-02-21,0.85,0.79,0.06,7.5949
16,2018-09-30,2018-11-08,2.27,2.21,0.06,2.7149
17,2018-06-30,2018-08-09,1.21,1.02,0.19,18.6275
18,2018-03-31,2018-05-02,0.6,0.54,0.06,11.1111
19,2017-12-31,2018-02-22,0.68,0.64,0.04,6.25
20,2017-09-30,2017-11-09,1.86,1.82,0.04,2.1978
21,2017-06-30,2017-08-08,1.02,0.97,0.05,5.1546
22,2017-03-31,2017-05-10,0.4,0.37,0.03,8.1081
23,2016-12-31,2017-02-22,0.56,0.55,0.01,1.8182
24,2016-09-30,2016-11-09,1.62,1.59,0.03,1.8868
25,2016-06-30,2016-08-09,0.85,0.83,0.02,2.4096
26,2016-03-31,2016-05-10,0.38,0.38,0,0
27,2015-12-31,2016-02-23,0.51,0.51,0,0
28,2015-09-30,2015-11-03,1.35,1.34,0.01,0.7463
29,2015-06-30,2015-08-04,0.75,0.73,0.02,2.7397
30,2015-03-31,2015-05-07,0.27,0.23,0.04,17.3913
31,2014-12-31,2015-02-17,0.36,0.37,-0.01,-2.7027
32,2014-09-30,2014-10-29,1.11,1.08,0.03,2.7778
33,2014-06-30,2014-07-28,0.58,0.57,0.01,1.7544
34,2014-03-31,2014-04-29,0.23,0.22,0.01,4.5455
35,2013-12-31,2014-02-18,0.19,0.18,0.01,5.5556
36,2013-09-30,2013-10-28,0.86,0.84,0.02,2.381
37,2013-06-30,2013-07-29,0.29,0.27,0.02,7.4074
38,2013-03-31,2013-05-06,0.06,0.03,0.03,100
39,2012-12-31,2013-02-11,0.04,0.01,0.03,300
