,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,0.27,0.36,-0.09,-25
1,2022-06-30,2022-07-25,0.46,0.63,-0.17,-26.9841
2,2022-03-31,2022-04-22,0.69,0.71,-0.02,-2.8169
3,2021-12-31,2022-02-24,0.78,0.77,0.01,1.2987
4,2021-09-30,2021-10-28,0.6,0.74,-0.14,-18.9189
5,2021-06-30,2021-07-22,0.83,0.78,0.05,6.4103
6,2021-03-31,2021-04-29,0.74,0.77,-0.03,-3.8961
7,2020-12-31,2021-02-18,1.06,0.95,0.11,11.5789
8,2020-09-30,2020-10-29,0.87,0.85,0.02,2.3529
9,2020-06-30,2020-07-30,0.32,0.31,0.01,3.2258
10,2020-03-31,2020-05-05,0.4,0.42,-0.02,-4.7619
11,2019-12-31,2020-02-20,0.5,0.48,0.02,4.1667
12,2019-09-30,2019-11-05,0.36,0.39,-0.03,-7.6923
13,2019-06-30,2019-07-25,0.12,0.23,-0.11,-47.8261
14,2019-03-31,2019-04-25,0.33,0.27,0.06,22.2222
15,2018-12-31,2019-02-21,0.4,0.25,0.15,60
16,2018-09-30,2018-10-25,0.33,0.2,0.13,65
17,2018-06-30,2018-07-26,0.26,0.24,0.02,8.3333
18,2018-03-31,2018-04-26,0.35,0.33,0.02,6.0606
19,2017-12-31,2018-02-22,0.4,0.38,0.02,5.2632
20,2017-09-30,2017-10-26,0.35,0.33,0.02,6.0606
21,2017-06-30,2017-07-25,0.46,0.26,0.2,76.9231
22,2017-03-31,2017-04-24,0.25,0.22,0.03,13.6364
23,2016-12-31,2017-02-21,0.25,0.33,-0.08,-24.2424
24,2016-09-30,2016-10-26,0.51,0.5,0.01,2
25,2016-06-30,2016-07-20,0.44,0.3,0.14,46.6667
26,2016-03-31,2016-04-20,0.34,0.2,0.14,70
27,2015-12-31,2016-02-17,0.04,0.12,-0.08,-66.6667
28,2015-09-30,2015-10-28,0.23,0.17,0.06,35.2941
29,2015-06-30,2015-07-22,0.26,0.25,0.01,4
30,2015-03-31,2015-04-23,0.46,0.23,0.23,100
31,2014-12-31,2015-02-19,0.17,0.1,0.07,70
32,2014-09-30,2014-10-30,0.5,0.16,0.34,212.5
33,2014-06-30,2014-07-29,0.2,0.19,0.01,5.2632
