,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-07,0.1,0.11,-0.01,-9.0909
1,2022-06-30,2022-08-03,0.12,0.12,0,0
2,2022-03-31,2022-05-04,0.75,0.78,-0.03,-3.8462
3,2021-12-31,2022-02-23,0.39,0.36,0.03,8.3333
4,2021-09-30,2021-11-03,0.11,0.1,0.01,10
5,2021-06-30,2021-08-04,0.13,0.13,0,0
6,2021-03-31,2021-05-05,0.77,0.77,0,0
7,2020-12-31,2021-02-17,0.34,0.33,0.01,3.0303
8,2020-09-30,2020-11-02,0.09,0.03,0.06,200
9,2020-06-30,2020-08-05,0.13,0.08,0.05,62.5
10,2020-03-31,2020-05-06,0.76,0.8,-0.04,-5
11,2019-12-31,2020-02-26,0.45,0.43,0.02,4.6512
12,2019-09-30,2019-10-30,-0.0192,0.04,-0.0592,-148
13,2019-06-30,2019-07-31,0.05,0.06,-0.01,-16.6667
14,2019-03-31,2019-05-01,0.82,0.77,0.05,6.4935
15,2018-12-31,2019-02-20,0.38,0.36,0.02,5.5556
16,2018-09-30,2018-11-01,0.1,0.06,0.04,66.6667
17,2018-06-30,2018-08-01,0.07,0.09,-0.02,-22.2222
18,2018-03-31,2018-05-02,0.77,0.76,0.01,1.3158
19,2017-12-31,2018-02-20,0.33,0.32,0.01,3.125
20,2017-09-30,2017-11-01,0.07,0.07,0,0
21,2017-06-30,2017-08-02,0.1,0.1,0,0
22,2017-03-31,2017-05-03,0.71,0.67,0.04,5.9701
23,2016-12-31,2017-02-22,0.33,0.34,-0.01,-2.9412
24,2016-09-30,2016-11-01,0.06,0.07,-0.01,-14.2857
25,2016-06-30,2016-08-02,0.08,0.07,0.01,14.2857
26,2016-03-31,2016-05-03,0.6,0.59,0.01,1.6949
27,2015-12-31,2016-02-18,0.31,0.3,0.01,3.3333
28,2015-09-30,2015-11-03,0.06,0.03,0.03,100
29,2015-06-30,2015-08-03,0.18,0.21,-0.03,-14.2857
30,2015-03-31,2015-04-30,0.85,0.82,0.03,3.6585
31,2014-12-31,2015-02-18,0.51,0.52,-0.01,-1.9231
32,2014-09-30,2014-10-30,0.14,0.16,-0.02,-12.5
33,2014-06-30,2014-07-31,0.25,0.24,0.01,4.1667
34,2014-03-31,2014-04-30,0.82,0.79,0.03,3.7975
35,2013-12-31,2014-02-18,0.47,0.46,0.01,2.1739
36,2013-09-30,2013-10-31,0.18,0.16,0.02,12.5
37,2013-06-30,2013-07-31,0.23,0.23,0,0
38,2013-03-31,2013-04-30,0.69,0.71,-0.02,-2.8169
39,2012-12-31,2013-02-19,0.44,0.43,0.01,2.3256
40,2012-09-30,2012-11-02,0.05,0.04,0.01,25
41,2012-06-30,2012-07-31,0.23,0.2,0.03,15
42,2012-03-31,2012-05-01,0.76,0.71,0.05,7.0423
43,2011-12-31,2012-02-01,0.32,0.36,-0.04,-11.1111
44,2011-09-30,2011-10-28,0.11,0.1,0.01,10
45,2011-06-30,2011-08-02,0.17,0.16,0.01,6.25
46,2011-03-31,2011-05-03,0.71,0.72,-0.01,-1.3889
47,2010-12-31,2011-02-01,0.33,0.34,-0.01,-2.9412
48,2010-09-30,2010-10-29,0.04,0.06,-0.02,-33.3333
49,2010-06-30,2010-08-03,0.13,0.09,0.04,44.4444
50,2010-03-31,2010-05-04,0.72,0.68,0.04,5.8824
51,2009-12-31,2010-02-01,0.35,0.36,-0.01,-2.7778
52,2009-09-30,2009-10-30,0.07,-0.01,0.08,800
53,2009-06-30,2009-08-04,0.02,0.01,0.01,100
54,2009-03-31,2009-05-01,0.62,0.62,0,0
55,2008-12-31,2009-02-04,0.46,0.43,0.03,6.9767
56,2008-09-30,2008-11-04,0.03,0.03,0,0
57,2008-06-30,2008-08-04,0.08,0.1,-0.02,-20
58,2008-03-31,2008-05-02,0.69,0.76,-0.07,-9.2105
59,2007-12-31,2008-01-30,0.43,0.39,0.04,10.2564
60,2007-09-30,2007-11-02,0.08,0.1,-0.02,-20
61,2007-06-30,2007-08-02,0.12,0.11,0.01,9.0909
62,2007-03-31,2007-05-03,0.76,0.77,-0.01,-1.2987
63,2006-12-31,2007-01-30,0.43,0.43,0,0
64,2006-09-30,2006-11-02,0.1,0.07,0.03,42.8571
65,2006-06-30,2006-08-02,0.1,0.14,-0.04,-28.5714
66,2006-03-31,2006-05-03,0.65,0.71,-0.06,-8.4507
67,2005-12-31,2006-01-31,0.45,0.44,0.01,2.2727
68,2005-09-30,2005-11-04,0.06,0.06,0,0
69,2005-06-30,2005-07-28,0.14,0.12,0.02,16.6667
70,2005-03-31,2005-04-29,0.77,0.78,-0.01,-1.2821
71,2004-12-31,2005-01-31,0.58,0.56,0.02,3.5714
72,2004-09-30,2004-10-27,0.08,0.06,0.02,33.3333
73,2004-06-30,2004-07-29,0.13,0.17,-0.04,-23.5294
74,2004-03-31,2004-04-30,0.82,0.85,-0.03,-3.5294
75,2003-12-31,2004-01-30,0.53,0.55,-0.02,-3.6364
76,2003-09-30,2003-10-30,0.05,0.02,0.03,150
77,2003-06-30,2003-07-30,0.15,0.07,0.08,114.2857
78,2003-03-31,2003-04-29,0.88,0.94,-0.06,-6.383
79,2002-12-31,2003-01-30,0.59,0.6,-0.01,-1.6667
80,2002-09-30,2002-10-28,0.11,0.09,0.02,22.2222
81,2002-06-30,2002-07-30,0.1,0.1,0,0
82,2002-03-31,2002-04-23,1.16,0.92,0.24,26.087
