,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,5.89,6.11,-0.22,-3.6007
1,2022-06-30,2022-07-28,6.06,6.1,-0.04,-0.6557
2,2022-03-31,2022-04-28,6.1,5.96,0.14,2.349
3,2021-12-31,2022-01-27,6,5.96,0.04,0.6711
4,2021-09-30,2021-10-28,6.63,5.99,0.64,10.6845
5,2021-06-30,2021-07-29,6.42,5.84,0.58,9.9315
6,2021-03-31,2021-04-29,6.57,5.48,1.09,19.8905
7,2020-12-31,2021-01-28,6.59,5.76,0.83,14.4097
8,2020-09-30,2020-10-22,5.89,5.62,0.27,4.8043
9,2020-06-30,2020-07-30,6.01,5.32,0.69,12.9699
10,2020-03-31,2020-04-29,5.15,5.51,-0.36,-6.5336
11,2019-12-31,2020-01-30,5.61,4.77,0.84,17.6101
12,2019-09-30,2019-10-24,5.49,4.77,0.72,15.0943
13,2019-06-30,2019-07-24,5.06,4.68,0.38,8.1197
14,2019-03-31,2019-04-24,5.06,4.59,0.47,10.2397
15,2018-12-31,2019-01-31,4.93,4.32,0.61,14.1204
16,2018-09-30,2018-10-24,6.54,4.37,2.17,49.6568
17,2018-06-30,2018-07-25,3.93,3.84,0.09,2.3438
18,2018-03-31,2018-04-25,4.21,3.61,0.6,16.6205
19,2017-12-31,2018-01-25,2.82,2.74,0.08,2.9197
20,2017-09-30,2017-10-25,3.68,2.92,0.76,26.0274
21,2017-06-30,2017-07-26,3.15,2.87,0.28,9.7561
22,2017-03-31,2017-04-26,3.63,2.93,0.7,23.8908
23,2016-12-31,2017-01-26,2.96,2.49,0.47,18.8755
24,2016-09-30,2016-10-26,3.35,2.81,0.54,19.2171
25,2016-06-30,2016-07-27,2.85,2.53,0.32,12.6482
26,2016-03-31,2016-04-27,3.03,2.49,0.54,21.6867
27,2015-12-31,2016-01-28,2.49,2.01,0.48,23.8806
28,2015-09-30,2015-10-28,2.75,2.19,0.56,25.5708
29,2015-06-30,2015-07-29,2.74,2.36,0.38,16.1017
30,2015-03-31,2015-04-29,2.41,2.27,0.14,6.1674
31,2014-12-31,2015-01-29,2.48,2.25,0.23,10.2222
32,2014-09-30,2014-10-22,2.26,2.14,0.12,5.6075
33,2014-06-30,2014-07-23,2.37,2.22,0.15,6.7568
34,2014-03-31,2014-04-23,2.63,2.15,0.48,22.3256
35,2013-12-31,2014-01-30,2.12,1.94,0.18,9.2784
36,2013-09-30,2013-10-23,2.14,1.82,0.32,17.5824
37,2013-06-30,2013-07-24,2.13,1.71,0.42,24.5614
38,2013-03-31,2013-04-24,2.03,1.74,0.29,16.6667
39,2012-12-31,2013-01-30,2.14,1.74,0.4,22.9885
40,2012-09-30,2012-10-24,1.82,1.69,0.13,7.6923
41,2012-06-30,2012-07-25,1.88,1.61,0.27,16.7702
42,2012-03-31,2012-04-25,1.96,1.59,0.37,23.2704
43,2011-12-31,2012-02-01,2.09,1.67,0.42,25.1497
44,2011-09-30,2011-10-26,1.86,1.68,0.18,10.7143
45,2011-06-30,2011-07-27,1.81,1.68,0.13,7.7381
46,2011-03-31,2011-04-27,1.67,1.56,0.11,7.0513
47,2010-12-31,2011-02-09,1.27,1.01,0.26,25.7426
48,2010-09-30,2010-10-27,1.64,1.46,0.18,12.3288
49,2010-06-30,2010-07-29,2.34,2.19,0.15,6.8493
50,2010-03-31,2010-04-28,1.51,1.32,0.19,14.3939
