,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,1.96,1.85,0.11,5.9459
1,2022-06-30,2022-07-27,1.62,1.54,0.08,5.1948
2,2022-03-31,2022-04-27,1.73,1.7,0.03,1.7647
3,2021-12-31,2022-01-26,1.46,1.43,0.03,2.0979
4,2021-09-30,2021-10-27,1.55,1.38,0.17,12.3188
5,2021-06-30,2021-07-28,1.42,1.22,0.2,16.3934
6,2021-03-31,2021-04-28,1.52,1.34,0.18,13.4328
7,2020-12-31,2021-01-27,1.17,1.05,0.12,11.4286
8,2020-09-30,2020-10-28,1.21,1.03,0.18,17.4757
9,2020-06-30,2020-07-29,1.23,1.01,0.22,21.7822
10,2020-03-31,2020-04-29,1.05,0.95,0.1,10.5263
11,2019-12-31,2020-01-29,0.96,0.87,0.09,10.3448
12,2019-09-30,2019-10-23,0.99,0.89,0.1,11.236
13,2019-06-30,2019-07-24,0.71,0.63,0.08,12.6984
14,2019-03-31,2019-04-24,0.67,0.54,0.13,24.0741
15,2018-12-31,2019-01-30,0.77,0.64,0.13,20.3125
16,2018-09-30,2018-10-24,0.68,0.6,0.08,13.3333
17,2018-06-30,2018-07-25,0.49,0.43,0.06,13.9535
18,2018-03-31,2018-04-25,0.56,0.37,0.19,51.3514
19,2017-12-31,2018-01-31,0.35,0.35,0,0
20,2017-09-30,2017-10-25,0.38,0.32,0.06,18.75
21,2017-06-30,2017-07-26,0.22,0.2,0.02,10
22,2017-03-31,2017-04-26,0.24,0.17,0.07,41.1765
23,2016-12-31,2017-01-25,0.24,0.23,0.01,4.3478
24,2016-09-30,2016-10-26,0.23,0.21,0.02,9.5238
25,2016-06-30,2016-07-27,0.15,0.1,0.05,50
26,2016-03-31,2016-04-20,0.09,0.07,0.02,28.5714
27,2015-12-31,2016-01-27,0.19,0.08,0.11,137.5
28,2015-09-30,2015-10-21,0.15,0.08,0.07,87.5
29,2015-06-30,2015-07-29,0.04,-0.02,0.06,300
30,2015-03-31,2015-04-16,0.01,None,None,None
31,2014-12-31,2015-01-28,0.03,0.02,0.01,50
32,2014-09-30,2014-10-22,0.03,0.01,0.02,200
33,2014-06-30,2014-07-30,-0.07,-0.07,0,0
34,2014-03-31,2014-04-23,-0.08,-0.08,0,0
35,2013-12-31,2014-01-29,-0.02,-0.01,-0.01,-100
36,2013-09-30,2013-10-23,0.01,-0.02,0.03,150
37,2013-06-30,2013-07-31,-0.06,-0.05,-0.01,-20
38,2013-03-31,2013-04-24,-0.01,-0.03,0.02,66.6667
39,2012-12-31,2013-01-30,-0.08,-0.05,-0.03,-60
40,2012-09-30,2012-10-24,-0.06,-0.1,0.04,40
41,2012-06-30,2012-08-02,-0.3195,None,None,None
