,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,4.1,3.64,0.46,12.6374
1,2022-06-30,2022-07-27,3.45,3.47,-0.02,-0.5764
2,2022-03-31,2022-04-27,2.93,2.92,0.01,0.3425
3,2021-12-31,2022-01-26,3.12,3.04,0.08,2.6316
4,2021-09-30,2021-10-27,3.06,2.91,0.15,5.1546
5,2021-06-30,2021-07-28,3.28,2.96,0.32,10.8108
6,2021-03-31,2021-04-28,2.66,2.54,0.12,4.7244
7,2020-12-31,2021-01-27,2.63,2.48,0.15,6.0484
8,2020-09-30,2020-10-28,2.51,2.38,0.13,5.4622
9,2020-06-30,2020-07-29,1.53,1.33,0.2,15.0376
10,2020-03-31,2020-04-29,2.58,2.25,0.33,14.6667
11,2019-12-31,2020-01-29,2.55,2.28,0.27,11.8421
12,2019-09-30,2019-10-23,2.49,2.59,-0.1,-3.861
13,2019-06-30,2019-07-24,2.7,2.79,-0.09,-3.2258
14,2019-03-31,2019-04-24,2.51,2.18,0.33,15.1376
15,2018-12-31,2019-01-24,2.57,2.29,0.28,12.2271
16,2018-09-30,2018-10-24,2.52,2.44,0.08,3.2787
17,2018-06-30,2018-07-25,2.5,2.33,0.17,7.2961
18,2018-03-31,2018-04-25,1.93,1.77,0.16,9.0395
19,2017-12-31,2018-01-24,1.69,1.57,0.12,7.6433
20,2017-09-30,2017-10-25,1.75,1.64,0.11,6.7073
21,2017-06-30,2017-07-26,1.71,1.65,0.06,3.6364
22,2017-03-31,2017-04-26,1.48,1.36,0.12,8.8235
23,2016-12-31,2017-01-25,1.42,1.36,0.06,4.4118
24,2016-09-30,2016-10-26,1.55,1.45,0.1,6.8966
25,2016-06-30,2016-07-27,1.36,1.35,0.01,0.7407
26,2016-03-31,2016-04-21,1.29,0.97,0.32,32.9897
27,2015-12-31,2016-01-27,1.2,1.23,-0.03,-2.439
28,2015-09-30,2015-10-28,1.49,1.41,0.08,5.6738
29,2015-06-30,2015-07-27,1.41,1.42,-0.01,-0.7042
30,2015-03-31,2015-04-29,1,1,0,0
31,2014-12-31,2015-01-26,1.64,1.63,0.01,0.6135
32,2014-09-30,2014-10-22,1.79,1.83,-0.04,-2.1858
33,2014-06-30,2014-07-23,1.79,1.74,0.05,2.8736
34,2014-03-31,2014-04-23,1.17,1.15,0.02,1.7391
35,2013-12-31,2014-01-22,1.64,1.5,0.14,9.3333
36,2013-09-30,2013-10-23,1.53,1.39,0.14,10.0719
37,2013-06-30,2013-07-23,1.46,1.49,-0.03,-2.0134
38,2013-03-31,2013-04-23,1.22,1.17,0.05,4.2735
39,2012-12-31,2013-01-22,1.3,1.19,0.11,9.2437
40,2012-09-30,2012-10-23,1.24,1.23,0.01,0.813
41,2012-06-30,2012-07-24,1.6,1.53,0.07,4.5752
42,2012-03-31,2012-04-24,1.23,1.12,0.11,9.8214
43,2011-12-31,2012-01-24,1.42,1.4,0.02,1.4286
44,2011-09-30,2011-10-26,1.59,1.41,0.18,12.766
45,2011-06-30,2011-07-26,1.38,1.29,0.09,6.9767
46,2011-03-31,2011-04-27,1,0.9,0.1,11.1111
47,2010-12-31,2011-01-25,1,1.05,-0.05,-4.7619
48,2010-09-30,2010-10-27,1.19,1.1,0.09,8.1818
49,2010-06-30,2010-07-27,1.04,0.99,0.05,5.0505
50,2010-03-31,2010-04-27,0.75,0.67,0.08,11.9403
51,2009-12-31,2010-01-27,0.82,0.84,-0.02,-2.381
52,2009-09-30,2009-10-27,0.81,0.79,0.02,2.5316
53,2009-06-30,2009-07-28,0.66,0.64,0.02,3.125
54,2009-03-31,2009-04-21,0.47,0.55,-0.08,-14.5455
55,2008-12-31,2009-01-27,1.21,1.18,0.03,2.5424
56,2008-09-30,2008-10-21,1.37,1.21,0.16,13.2231
57,2008-06-30,2008-07-22,1.18,1.05,0.13,12.381
58,2008-03-31,2008-04-22,0.78,0.78,0,0
59,2007-12-31,2008-01-22,1.02,0.9,0.12,13.3333
60,2007-09-30,2007-10-24,1.02,1.02,0,0
61,2007-06-30,2007-07-25,0.98,0.94,0.04,4.2553
62,2007-03-31,2007-04-25,0.71,0.7,0.01,1.4286
63,2006-12-31,2007-01-24,0.95,0.96,-0.01,-1.0417
64,2006-09-30,2006-10-25,1.02,0.81,0.21,25.9259
65,2006-06-30,2006-07-26,0.89,0.92,-0.03,-3.2609
66,2006-03-31,2006-04-26,0.72,0.68,0.04,5.8824
67,2005-12-31,2006-01-25,0.87,0.75,0.12,16
68,2005-09-30,2005-10-26,0.73,0.74,-0.01,-1.3514
69,2005-06-30,2005-07-27,0.75,0.65,0.1,15.3846
70,2005-03-31,2005-04-27,0.47,0.48,-0.01,-2.0833
71,2004-12-31,2005-01-26,0.65,0.63,0.02,3.1746
72,2004-09-30,2004-10-20,0.59,0.54,0.05,9.2593
73,2004-06-30,2004-07-28,0.54,0.46,0.08,17.3913
74,2004-03-31,2004-04-21,0.4,0.3,0.1,33.3333
75,2003-12-31,2004-01-28,0.43,0.37,0.06,16.2162
76,2003-09-30,2003-10-29,0.35,0.34,0.01,2.9412
77,2003-06-30,2003-07-23,0.35,0.37,-0.02,-5.4054
78,2003-03-31,2003-04-23,0.22,0.21,0.01,4.7619
79,2002-12-31,2003-01-29,0.33,0.3,0.03,10
80,2002-09-30,2002-10-23,0.32,0.32,0,0
81,2002-06-30,2002-07-24,0.31,0.31,0,0
82,2002-03-31,2002-04-24,0.22,0.23,-0.01,-4.3478
83,2001-12-31,2002-01-23,0.3,0.23,0.07,30.4348
84,2001-09-30,2001-10-24,0.2,0.21,-0.01,-4.7619
85,2001-06-30,2001-07-25,0.28,0.28,0,0
86,2001-03-31,2001-04-25,0.16,0.1,0.06,60
87,2000-12-31,2001-01-24,0.11,0.07,0.04,57.1429
88,2000-09-30,2000-10-25,0.14,0.34,-0.2,-58.8235
89,2000-06-30,2000-07-26,0.26,0.24,0.02,8.3333
90,2000-03-31,2000-04-26,0.04,0.05,-0.01,-20
91,1999-12-31,2000-01-26,0.08,0.12,-0.04,-33.3333
92,1999-09-30,1999-10-27,0.13,0.12,0.01,8.3333
93,1999-06-30,1999-07-28,0.2,0.21,-0.01,-4.7619
94,1999-03-31,1999-04-28,0.3,0.28,0.02,7.1429
95,1998-12-31,1999-01-27,0.42,0.43,-0.01,-2.3256
96,1998-09-30,1998-10-28,0.4,0.47,-0.07,-14.8936
97,1998-06-30,1998-07-29,0.48,0.47,0.01,2.1277
98,1998-03-31,1998-04-22,0.48,0.43,0.05,11.6279
99,1997-12-31,1998-01-28,0.54,0.56,-0.02,-3.5714
100,1997-09-30,1997-10-22,0.54,0.54,0,0
101,1997-06-30,1997-07-23,0.54,0.54,0,0
102,1997-03-31,1997-04-23,0.47,0.48,-0.01,-2.0833
103,1996-12-31,1997-01-29,0.53,0.53,0,0
104,1996-09-30,1996-10-23,0.54,0.53,0.01,1.8868
105,1996-06-30,1996-07-24,0.52,0.52,0,0
106,1996-03-31,1996-04-24,0.44,0.43,0.01,2.3256
