,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-29,None,1.33,None,None
1,2022-07-31,2022-08-04,1.2,1.1,0.1,9.0909
2,2022-04-30,2022-06-01,1.42,1.28,0.14,10.9375
3,2022-01-31,2022-02-23,1.44,1.29,0.15,11.6279
4,2021-10-31,2021-11-30,1.28,1.21,0.07,5.7851
5,2021-07-31,2021-08-25,1.15,0.95,0.2,21.0526
6,2021-04-30,2021-06-02,1.17,1.12,0.05,4.4643
7,2021-01-31,2021-02-24,1.1,1.01,0.09,8.9109
8,2020-10-31,2020-12-01,1.05,0.73,0.32,43.8356
9,2020-07-31,2020-08-26,0.73,0.41,0.32,78.0488
10,2020-04-30,2020-05-27,1.19,1.04,0.15,14.4231
11,2020-01-31,2020-02-12,1.16,1.18,-0.02,-1.6949
12,2019-10-31,2019-11-13,1.09,0.94,0.15,15.9574
13,2019-07-31,2019-08-14,0.65,0.58,0.07,12.069
14,2019-04-30,2019-05-22,1.22,1.25,-0.03,-2.4
15,2019-01-31,2019-02-13,1.2,1.15,0.05,4.3478
16,2018-10-31,2018-11-14,1.06,0.99,0.07,7.0707
17,2018-07-31,2018-08-15,1.04,0.8,0.24,30
18,2018-04-30,2018-05-23,1.05,1.01,0.04,3.9604
19,2018-01-31,2018-02-14,0.99,0.91,0.08,8.7912
20,2017-10-31,2017-11-15,0.81,0.69,0.12,17.3913
21,2017-07-31,2017-08-16,0.62,0.55,0.07,12.7273
22,2017-04-30,2017-05-24,0.86,0.82,0.04,4.878
23,2017-01-31,2017-02-15,0.82,0.74,0.08,10.8108
24,2016-10-31,2016-11-16,0.6,0.54,0.06,11.1111
25,2016-07-31,2016-08-17,0.46,0.36,0.1,27.7778
26,2016-04-30,2016-05-25,0.55,0.58,-0.03,-5.1724
27,2016-01-31,2016-02-17,0.7,0.68,0.02,2.9412
28,2015-10-31,2015-11-18,0.61,0.57,0.04,7.0175
29,2015-07-31,2015-08-19,0.29,0.23,0.06,26.087
30,2015-04-30,2015-05-20,0.65,0.72,-0.07,-9.7222
