,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-19,1.8,1.84,-0.04,-2.1739
1,2022-06-30,2022-07-20,1.86,1.93,-0.07,-3.6269
2,2022-03-31,2022-04-26,1.77,1.64,0.13,7.9268
3,2021-12-31,2022-01-20,1.91,1.81,0.1,5.5249
4,2021-09-30,2021-10-20,1.8,1.67,0.13,7.7844
5,2021-06-30,2021-07-21,1.72,1.71,0.01,0.5848
6,2021-03-31,2021-04-20,1.7,1.49,0.21,14.094
7,2020-12-31,2021-01-21,1.49,1.49,0,0
8,2020-09-30,2020-10-21,1.32,1.38,-0.06,-4.3478
9,2020-06-30,2020-07-22,1.46,1.37,0.09,6.5693
10,2020-03-31,2020-04-21,1.55,1.45,0.1,6.8966
11,2019-12-31,2020-01-22,1.8,1.74,0.06,3.4483
12,2019-09-30,2019-10-23,1.69,1.63,0.06,3.681
13,2019-06-30,2019-07-24,1.75,1.68,0.07,4.1667
14,2019-03-31,2019-04-23,1.48,1.47,0.01,0.6803
15,2018-12-31,2019-01-23,1.8,1.64,0.16,9.7561
16,2018-09-30,2018-10-17,1.58,1.61,-0.03,-1.8634
17,2018-06-30,2018-07-18,1.68,1.63,0.05,3.0675
18,2018-03-31,2018-04-17,1.58,1.4,0.18,12.8571
19,2017-12-31,2018-01-24,1.33,1.31,0.02,1.5267
20,2017-09-30,2017-10-18,1.2,1.13,0.07,6.1947
21,2017-06-30,2017-07-19,1.12,1.23,-0.11,-8.9431
22,2017-03-31,2017-04-25,1.09,1.07,0.02,1.8692
23,2016-12-31,2017-01-18,1.11,1.13,-0.02,-1.7699
24,2016-09-30,2016-10-19,1.11,1.09,0.02,1.8349
25,2016-06-30,2016-07-20,1.06,1.06,0,0
26,2016-03-31,2016-04-19,1.01,0.95,0.06,6.3158
27,2015-12-31,2016-01-20,0.99,0.91,0.08,8.7912
28,2015-09-30,2015-10-21,0.96,0.96,0,0
29,2015-06-30,2015-07-22,1.01,0.96,0.05,5.2083
30,2015-03-31,2015-04-21,0.94,0.87,0.07,8.046
31,2014-12-31,2015-01-21,0.94,0.81,0.13,16.0494
32,2014-09-30,2014-10-22,0.84,0.87,-0.03,-3.4483
33,2014-06-30,2014-07-16,0.87,0.84,0.03,3.5714
34,2014-03-31,2014-04-15,0.75,0.78,-0.03,-3.8462
35,2013-12-31,2014-01-22,0.75,0.76,-0.01,-1.3158
36,2013-09-30,2013-10-16,0.76,0.77,-0.01,-1.2987
37,2013-06-30,2013-07-17,0.78,0.83,-0.05,-6.0241
38,2013-03-31,2013-04-16,0.71,0.72,-0.01,-1.3889
39,2012-12-31,2013-01-16,0.69,0.75,-0.06,-8
40,2012-09-30,2012-10-17,0.75,0.74,0.01,1.3514
41,2012-06-30,2012-07-18,0.74,0.75,-0.01,-1.3333
42,2012-03-31,2012-04-17,0.67,0.65,0.02,3.0769
43,2011-12-31,2012-01-18,0.67,0.68,-0.01,-1.4706
44,2011-09-30,2011-10-19,0.71,0.69,0.02,2.8986
45,2011-06-30,2011-07-20,0.62,0.69,-0.07,-10.1449
46,2011-03-31,2011-04-19,0.59,0.65,-0.06,-9.2308
47,2010-12-31,2011-01-19,0.59,0.71,-0.12,-16.9014
48,2010-09-30,2010-10-21,0.64,0.71,-0.07,-9.8592
49,2010-06-30,2010-07-21,0.78,0.74,0.04,5.4054
50,2010-03-31,2010-04-20,0.64,0.71,-0.07,-9.8592
51,2009-12-31,2010-01-20,0.82,0.66,0.16,24.2424
52,2009-09-30,2009-10-21,0.77,0.84,-0.07,-8.3333
53,2009-06-30,2009-07-22,0.95,0.55,0.4,72.7273
54,2009-03-31,2009-04-21,0.61,0.96,-0.35,-36.4583
55,2008-12-31,2009-01-21,1.39,0.92,0.47,51.087
56,2008-09-30,2008-10-22,1.07,0.39,0.68,174.359
57,2008-06-30,2008-07-16,1.35,1.05,0.3,28.5714
58,2008-03-31,2008-04-15,1.03,0.96,0.07,7.2917
59,2007-12-31,2008-01-16,0.97,0.93,0.04,4.3011
60,2007-09-30,2007-10-17,0.93,0.87,0.06,6.8966
61,2007-06-30,2007-07-18,0.92,0.88,0.04,4.5455
62,2007-03-31,2007-04-17,0.84,0.79,0.05,6.3291
63,2006-12-31,2007-01-17,0.77,0.77,0,0
64,2006-09-30,2006-10-18,0.74,0.76,-0.02,-2.6316
65,2006-06-30,2006-07-19,0.76,0.77,-0.01,-1.2987
66,2006-03-31,2006-04-18,0.74,0.67,0.07,10.4478
67,2005-12-31,2006-01-18,0.67,0.68,-0.01,-1.4706
68,2005-09-30,2005-10-19,0.67,0.65,0.02,3.0769
69,2005-06-30,2005-07-20,0.68,0.63,0.05,7.9365
70,2005-03-31,2005-04-19,0.63,0.6,0.03,5
71,2004-12-31,2005-01-19,0.6,0.58,0.02,3.4483
72,2004-09-30,2004-10-20,0.57,0.56,0.01,1.7857
73,2004-06-30,2004-07-21,0.59,0.58,0.01,1.7241
74,2004-03-31,2004-04-20,0.57,0.55,0.02,3.6364
75,2003-12-31,2004-01-21,0.58,0.54,0.04,7.4074
76,2003-09-30,2003-10-15,0.51,0.49,0.02,4.0816
77,2003-06-30,2003-07-16,0.44,0.44,0,0
78,2003-03-31,2003-04-15,0.42,0.44,-0.02,-4.5455
79,2002-12-31,2003-01-22,0.43,0.47,-0.04,-8.5106
80,2002-09-30,2002-10-16,0.43,0.43,0,0
81,2002-06-30,2002-07-15,0.56,0.57,-0.01,-1.7544
82,2002-03-31,2002-04-15,0.56,0.57,-0.01,-1.7544
83,2001-12-31,2002-01-14,0.45,0.54,-0.09,-16.6667
84,2001-09-30,2001-10-15,0.55,0.57,-0.02,-3.5088
85,2001-06-30,2001-07-16,0.57,0.56,0.01,1.7857
86,2001-03-31,2001-04-16,0.55,0.55,0,0
87,2000-12-31,2001-01-16,0.54,0.54,0,0
88,2000-09-30,2000-10-16,0.53,0.52,0.01,1.9231
89,2000-06-30,2000-07-17,0.53,0.5,0.03,6
90,2000-03-31,2000-04-17,0.49,0.47,0.02,4.2553
91,1999-12-31,2000-01-18,0.46,0.45,0.01,2.2222
92,1999-09-30,1999-10-18,0.44,0.44,0,0
93,1999-06-30,1999-07-19,0.43,0.42,0.01,2.381
94,1999-03-31,1999-04-19,0.43,0.41,0.02,4.878
95,1998-12-31,1999-01-19,0.4,0.4,0,0
96,1998-09-30,1998-10-19,0.39,0.39,0,0
97,1998-06-30,1998-07-20,0.39,0.37,0.02,5.4054
98,1998-03-31,1998-04-20,0.37,0.36,0.01,2.7778
99,1997-12-31,1998-01-20,0.35,0.35,0,0
100,1997-09-30,1997-10-20,0.35,0.34,0.01,2.9412
101,1997-06-30,1997-07-14,0.33,0.31,0.02,6.4516
