,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-02,0.36,0.33,0.03,9.0909
1,2022-06-30,2022-08-03,0.37,0.38,-0.01,-2.6316
2,2022-03-31,2022-05-04,0.34,0.42,-0.08,-19.0476
3,2021-12-31,2022-02-22,0.01,0.37,-0.36,-97.2973
4,2021-09-30,2021-11-01,0.34,0.39,-0.05,-12.8205
5,2021-06-30,2021-08-02,0.33,0.37,-0.04,-10.8108
6,2021-03-31,2021-05-03,0.26,0.3,-0.04,-13.3333
7,2020-12-31,2021-02-22,0.33,0.34,-0.01,-2.9412
8,2020-09-30,2020-11-02,0.07,0.35,-0.28,-80
9,2020-06-30,2020-08-03,0.31,0.32,-0.01,-3.125
10,2020-03-31,2020-05-04,0.44,0.45,-0.01,-2.2222
11,2019-12-31,2020-02-19,0.39,0.34,0.05,14.7059
12,2019-09-30,2019-11-04,0.32,0.33,-0.01,-3.0303
13,2019-06-30,2019-08-05,0.31,0.34,-0.03,-8.8235
14,2019-03-31,2019-05-01,0.37,0.34,0.03,8.8235
15,2018-12-31,2019-02-20,0.29,0.31,-0.02,-6.4516
16,2018-09-30,2018-10-31,0.34,0.33,0.01,3.0303
17,2018-06-30,2018-08-01,0.34,0.32,0.02,6.25
18,2018-03-31,2018-05-08,0.29,0.33,-0.04,-12.1212
19,2017-12-31,2018-02-21,0.22,0.32,-0.1,-31.25
20,2017-09-30,2017-10-25,0.32,0.31,0.01,3.2258
21,2017-06-30,2017-07-26,0.3,0.32,-0.02,-6.25
22,2017-03-31,2017-04-25,0.27,0.29,-0.02,-6.8966
23,2016-12-31,2017-02-22,0.33,0.3,0.03,10
24,2016-09-30,2016-10-26,0.27,0.29,-0.02,-6.8966
25,2016-06-30,2016-07-28,0.27,0.29,-0.02,-6.8966
26,2016-03-31,2016-04-26,0.25,0.28,-0.03,-10.7143
27,2015-12-31,2016-02-10,0.31,0.26,0.05,19.2308
28,2015-09-30,2015-10-28,0.26,0.26,0,0
29,2015-06-30,2015-07-29,0.25,0.25,0,0
30,2015-03-31,2015-04-29,0.27,0.24,0.03,12.5
31,2014-12-31,2015-02-17,0.32,0.23,0.09,39.1304
32,2014-09-30,2014-10-29,0.26,0.23,0.03,13.0435
33,2014-06-30,2014-07-24,0.23,0.23,0,0
34,2014-03-31,2014-05-01,0.22,0.21,0.01,4.7619
35,2013-12-31,2014-02-13,0.26,0.21,0.05,23.8095
36,2013-09-30,2013-10-31,0.21,0.21,0,0
37,2013-06-30,2013-07-25,0.23,0.21,0.02,9.5238
38,2013-03-31,2013-04-25,0.42,0.21,0.21,100
39,2012-12-31,2013-02-14,0.25,0.24,0.01,4.1667
40,2012-09-30,2012-10-25,0.24,0.25,-0.01,-4
41,2012-06-30,2012-07-26,0.25,0.24,0.01,4.1667
42,2012-03-31,2012-04-26,0.2,0.24,-0.04,-16.6667
43,2011-12-31,2012-02-09,0.26,0.28,-0.02,-7.1429
44,2011-09-30,2011-10-27,0.27,0.27,0,0
45,2011-06-30,2011-07-28,0.26,0.27,-0.01,-3.7037
46,2011-03-31,2011-04-28,0.25,0.27,-0.02,-7.4074
47,2010-12-31,2011-02-10,0.29,0.26,0.03,11.5385
48,2010-09-30,2010-10-27,0.25,0.24,0.01,4.1667
49,2010-06-30,2010-07-28,0.24,0.24,0,0
50,2010-03-31,2010-04-28,0.23,0.25,-0.02,-8
51,2009-12-31,2010-02-10,0.28,0.24,0.04,16.6667
52,2009-09-30,2009-10-28,0.26,0.23,0.03,13.0435
53,2009-06-30,2009-07-29,0.26,0.23,0.03,13.0435
54,2009-03-31,2009-04-29,0.23,0.25,-0.02,-8
55,2008-12-31,2009-02-11,0.27,0.24,0.03,12.5
56,2008-09-30,2008-10-29,0.29,0.24,0.05,20.8333
57,2008-06-30,2008-07-30,0.27,0.25,0.02,8
58,2008-03-31,2008-04-30,0.24,0.27,-0.03,-11.1111
59,2007-12-31,2008-02-13,0.24,0.31,-0.07,-22.5806
60,2007-09-30,2007-10-31,0.25,0.31,-0.06,-19.3548
61,2007-06-30,2007-08-01,0.26,0.29,-0.03,-10.3448
62,2007-03-31,2007-05-02,0.28,0.3,-0.02,-6.6667
