,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,3.36,3.08,0.28,9.0909
1,2022-06-30,2022-07-27,3.3,3.14,0.16,5.0955
2,2022-03-31,2022-04-27,2.6,2.39,0.21,8.7866
3,2021-12-31,2022-02-02,2.41,2.26,0.15,6.6372
4,2021-09-30,2021-10-27,2.47,2.37,0.1,4.2194
5,2021-06-30,2021-07-28,2.31,2.16,0.15,6.9444
6,2021-03-31,2021-04-22,1.7,1.58,0.12,7.5949
7,2020-12-31,2021-02-04,1.61,1.57,0.04,2.5478
8,2020-09-30,2020-10-27,1.71,1.53,0.18,11.7647
9,2020-06-30,2020-07-30,1.25,1.08,0.17,15.7407
10,2020-03-31,2020-04-23,1.11,1.12,-0.01,-0.8929
11,2019-12-31,2020-02-06,1.2,1.18,0.02,1.6949
12,2019-09-30,2019-10-24,1.37,1.41,-0.04,-2.8369
13,2019-06-30,2019-07-25,1.44,1.41,0.03,2.1277
14,2019-03-31,2019-04-25,1.09,1.05,0.04,3.8095
15,2018-12-31,2019-02-07,1.3,1.16,0.14,12.069
16,2018-09-30,2018-10-25,1.41,1.32,0.09,6.8182
17,2018-06-30,2018-07-26,1.33,1.22,0.11,9.0164
18,2018-03-31,2018-04-26,0.89,0.86,0.03,3.4884
19,2017-12-31,2018-02-08,2.39,1.12,1.27,113.3929
20,2017-09-30,2017-10-26,1.24,1.16,0.08,6.8966
21,2017-06-30,2017-07-27,1.19,1.1,0.09,8.1818
22,2017-03-31,2017-04-27,0.8,0.79,0.01,1.2658
23,2016-12-31,2017-02-02,0.83,0.86,-0.03,-3.4884
24,2016-09-30,2016-10-27,1.03,0.97,0.06,6.1856
25,2016-06-30,2016-07-28,0.98,0.95,0.03,3.1579
26,2016-03-31,2016-04-28,0.72,0.76,-0.04,-5.2632
27,2015-12-31,2016-02-04,0.85,0.84,0.01,1.1905
28,2015-09-30,2015-10-29,0.99,1.01,-0.02,-1.9802
29,2015-06-30,2015-07-30,1,0.98,0.02,2.0408
30,2015-03-31,2015-04-30,0.73,0.71,0.02,2.8169
31,2014-12-31,2015-02-05,0.81,0.72,0.09,12.5
32,2014-09-30,2014-10-30,0.9,0.87,0.03,3.4483
33,2014-06-30,2014-07-31,0.57,0.55,0.02,3.6364
34,2014-03-31,2014-04-24,0.35,0.33,0.02,6.0606
35,2013-12-31,2014-02-06,0.37,0.39,-0.02,-5.1282
