,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-18,1.77,1.68,0.09,5.3571
1,2022-06-30,2022-07-19,1.68,1.57,0.11,7.0064
2,2022-03-31,2022-04-19,1.39,1.31,0.08,6.1069
3,2021-12-31,2022-02-08,1.95,1.73,0.22,12.7168
4,2021-09-30,2021-10-19,1.65,1.36,0.29,21.3235
5,2021-06-30,2021-07-20,1.46,1.38,0.08,5.7971
6,2021-03-31,2021-04-20,1.33,1.13,0.2,17.6991
7,2020-12-31,2021-02-18,1.9,1.65,0.25,15.1515
8,2020-09-30,2020-10-27,1.21,1.07,0.14,13.0841
9,2020-06-30,2020-07-28,0.92,0.92,0,0
10,2020-03-31,2020-04-28,1.19,1.14,0.05,4.386
11,2019-12-31,2020-02-11,1.89,1.85,0.04,2.1622
12,2019-09-30,2019-10-15,1.32,1.31,0.01,0.7634
13,2019-06-30,2019-07-17,1.68,1.61,0.07,4.3478
14,2019-03-31,2019-04-16,1.17,1.09,0.08,7.3394
15,2018-12-31,2019-02-12,1.77,1.66,0.11,6.6265
16,2018-09-30,2018-10-16,1.24,1.21,0.03,2.4793
17,2018-06-30,2018-07-17,1.6,1.54,0.06,3.8961
18,2018-03-31,2018-04-17,1.14,1.06,0.08,7.5472
19,2017-12-31,2018-02-15,1.55,1.54,0.01,0.6494
20,2017-09-30,2017-10-17,1.13,1.1,0.03,2.7273
21,2017-06-30,2017-07-20,1.4,1.38,0.02,1.4493
22,2017-03-31,2017-04-18,1.02,0.96,0.06,6.25
23,2016-12-31,2017-02-07,1.47,1.44,0.03,2.0833
24,2016-09-30,2016-10-18,1.06,1.04,0.02,1.9231
25,2016-06-30,2016-07-14,1.36,1.33,0.03,2.2556
26,2016-03-31,2016-04-19,0.9,0.87,0.03,3.4483
27,2015-12-31,2016-02-09,1.35,1.33,0.02,1.5038
28,2015-09-30,2015-10-20,0.97,0.95,0.02,2.1053
29,2015-06-30,2015-07-21,1.26,1.22,0.04,3.2787
30,2015-03-31,2015-04-21,0.83,0.82,0.01,1.2195
31,2014-12-31,2015-02-10,1.3,1.26,0.04,3.1746
