,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,0.8,0.78,0.02,2.5641
1,2022-06-30,2022-07-27,0.86,0.78,0.08,10.2564
2,2022-03-31,2022-04-25,0.77,0.74,0.03,4.0541
3,2021-12-31,2022-01-31,0.72,0.68,0.04,5.8824
4,2021-09-30,2021-10-25,0.77,0.73,0.04,5.4795
5,2021-06-30,2021-07-26,0.79,0.72,0.07,9.7222
6,2021-03-31,2021-04-26,0.72,0.63,0.09,14.2857
7,2020-12-31,2021-02-01,0.66,0.59,0.07,11.8644
8,2020-09-30,2020-10-26,0.69,0.56,0.13,23.2143
9,2020-06-30,2020-07-28,0.56,0.44,0.12,27.2727
10,2020-03-31,2020-05-06,0.6,0.46,0.14,30.4348
11,2019-12-31,2020-02-07,0.47,0,0.47,None
