,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-08,2.44,2.46,-0.02,-0.813
1,2022-06-30,2022-08-02,3.16,3.02,0.14,4.6358
2,2022-03-31,2022-05-10,2.12,2.03,0.09,4.4335
3,2021-12-31,2022-02-23,1.48,1.1,0.38,34.5455
4,2021-09-30,2021-11-04,0.87,0.66,0.21,31.8182
5,2021-06-30,2021-08-03,0.32,0.03,0.29,966.6667
6,2021-03-31,2021-05-10,-0.15,-0.33,0.18,54.5455
7,2020-12-31,2021-02-22,-0.78,-0.59,-0.19,-32.2034
8,2020-09-30,2020-11-09,-0.84,-0.72,-0.12,-16.6667
9,2020-06-30,2020-08-10,-1.76,-1.68,-0.08,-4.7619
10,2020-03-31,2020-05-05,-0.52,-0.63,0.11,17.4603
11,2019-12-31,2020-02-27,-0.3,-0.19,-0.11,-57.8947
12,2019-09-30,2019-11-04,0.11,0.37,-0.26,-70.2703
13,2019-06-30,2019-07-31,0.97,0.93,0.04,4.3011
14,2019-03-31,2019-05-06,0.84,0.77,0.07,9.0909
15,2018-12-31,2019-02-12,1.22,1.14,0.08,7.0175
16,2018-09-30,2018-11-05,1.77,1.54,0.23,14.9351
17,2018-06-30,2018-08-08,1.1,1.21,-0.11,-9.0909
18,2018-03-31,2018-05-08,0.92,0.71,0.21,29.5775
19,2017-12-31,2018-02-13,0.41,0.41,0,0
20,2017-09-30,2017-11-01,0.18,0.11,0.07,63.6364
21,2017-06-30,2017-08-02,0.15,0.1,0.05,50
22,2017-03-31,2017-05-04,0.15,0.07,0.08,114.2857
23,2016-12-31,2017-02-09,-0.13,-0.02,-0.11,-550
24,2016-09-30,2016-11-01,-0.15,-0.11,-0.04,-36.3636
25,2016-06-30,2016-08-03,-0.18,-0.18,0,0
26,2016-03-31,2016-05-05,-0.56,-0.4,-0.16,-40
27,2015-12-31,2016-02-04,-0.17,-0.12,-0.05,-41.6667
28,2015-09-30,2015-10-28,0.03,-0.01,0.04,400
29,2015-06-30,2015-07-30,0.21,0.21,0,0
30,2015-03-31,2015-05-06,0.04,0.04,0,0
31,2014-12-31,2015-01-29,0.72,0.68,0.04,5.8824
32,2014-09-30,2014-10-23,1.58,1.57,0.01,0.6369
33,2014-06-30,2014-07-31,1.79,1.75,0.04,2.2857
34,2014-03-31,2014-05-05,1.75,1.7,0.05,2.9412
35,2013-12-31,2014-01-30,1.72,1.67,0.05,2.994
36,2013-09-30,2013-10-29,1.97,1.9,0.07,3.6842
37,2013-06-30,2013-07-30,1.58,1.6,-0.02,-1.25
38,2013-03-31,2013-04-25,1.69,1.54,0.15,9.7403
39,2012-12-31,2013-01-31,1.83,1.66,0.17,10.241
40,2012-09-30,2012-10-25,1.7,1.63,0.07,4.2945
41,2012-06-30,2012-07-26,1.64,1.6,0.04,2.5
42,2012-03-31,2012-04-26,1.92,1.92,0,0
43,2011-12-31,2012-01-25,2.02,1.95,0.07,3.5897
44,2011-09-30,2011-10-27,2.18,1.95,0.23,11.7949
45,2011-06-30,2011-07-26,2.23,2.16,0.07,3.2407
46,2011-03-31,2011-04-28,1.96,1.8,0.16,8.8889
47,2010-12-31,2011-01-26,1.58,1.54,0.04,2.5974
48,2010-09-30,2010-10-19,1.47,1.35,0.12,8.8889
49,2010-06-30,2010-07-27,1.31,1.33,-0.02,-1.5038
50,2010-03-31,2010-04-29,1.32,1.36,-0.04,-2.9412
51,2009-12-31,2010-01-28,1.3,1.25,0.05,4
52,2009-09-30,2009-10-22,1.14,1.08,0.06,5.5556
53,2009-06-30,2009-07-23,0.85,0.8,0.05,6.25
54,2009-03-31,2009-04-23,0.5,0.38,0.12,31.5789
55,2008-12-31,2009-01-29,1.18,0.95,0.23,24.2105
56,2008-09-30,2008-10-28,2.78,2.71,0.07,2.583
57,2008-06-30,2008-07-24,2.79,2.75,0.04,1.4545
58,2008-03-31,2008-04-24,2.2,1.98,0.22,11.1111
59,2007-12-31,2008-01-29,1.76,1.69,0.07,4.142
60,2007-09-30,2007-10-24,1.45,1.31,0.14,10.687
61,2007-06-30,2007-07-24,1.18,1.1,0.08,7.2727
62,2007-03-31,2007-04-24,0.98,0.91,0.07,7.6923
63,2006-12-31,2007-01-25,0.98,0.9,0.08,8.8889
64,2006-09-30,2006-10-18,1.35,1.34,0.01,0.7463
65,2006-06-30,2006-08-04,1.39,1.39,0,0
66,2006-03-31,2006-04-25,1.42,1.37,0.05,3.6496
67,2005-12-31,2006-02-07,1.41,1.38,0.03,2.1739
68,2005-09-30,2005-10-31,1.35,1.32,0.03,2.2727
69,2005-06-30,2005-07-22,1.05,1.14,-0.09,-7.8947
70,2005-03-31,2005-04-26,1.07,1,0.07,7
71,2004-12-31,2005-01-24,0.91,0.95,-0.04,-4.2105
72,2004-09-30,2004-10-21,0.94,0.89,0.05,5.618
