,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,2.21,1.98,0.23,11.6162
1,2022-06-30,2022-07-26,2.07,1.82,0.25,13.7363
2,2022-03-31,2022-04-26,1.72,1.54,0.18,11.6883
3,2021-12-31,2022-01-25,1.47,1.32,0.15,11.3636
4,2021-09-30,2021-10-26,1.08,1.2,-0.12,-10
5,2021-06-30,2021-07-27,1.41,1.39,0.02,1.4388
6,2021-03-31,2021-04-27,1.35,1.27,0.08,6.2992
7,2020-12-31,2021-01-26,1.17,1.22,-0.05,-4.0984
8,2020-09-30,2020-10-20,1.11,0.98,0.13,13.2653
9,2020-06-30,2020-07-21,0.43,0.31,0.12,38.7097
10,2020-03-31,2020-04-21,1.03,1.2,-0.17,-14.1667
11,2019-12-31,2020-01-28,1.53,1.51,0.02,1.3245
12,2019-09-30,2019-10-22,1.75,1.64,0.11,6.7073
13,2019-06-30,2019-07-23,1.78,1.81,-0.03,-1.6575
14,2019-03-31,2019-04-30,1.81,1.65,0.16,9.697
15,2018-12-31,2019-01-29,1.65,1.53,0.12,7.8431
16,2018-09-30,2018-10-23,1.55,1.51,0.04,2.649
17,2018-06-30,2018-07-24,1.59,1.42,0.17,11.9718
18,2018-03-31,2018-04-24,1.45,1.31,0.14,10.687
19,2017-12-31,2018-01-30,1.18,1.12,0.06,5.3571
20,2017-09-30,2017-10-24,1.14,1.08,0.06,5.5556
21,2017-06-30,2017-07-25,1.06,0.99,0.07,7.0707
22,2017-03-31,2017-04-25,0.88,0.87,0.01,1.1494
23,2016-12-31,2017-01-31,0.82,0.86,-0.04,-4.6512
24,2016-09-30,2016-10-25,0.98,1,-0.02,-2
25,2016-06-30,2016-07-26,1.06,1.02,0.04,3.9216
26,2016-03-31,2016-04-26,0.99,0.96,0.03,3.125
27,2015-12-31,2016-01-29,0.98,1.02,-0.04,-3.9216
28,2015-09-30,2015-10-27,1.21,1.16,0.05,4.3103
29,2015-06-30,2015-07-28,1.26,1.15,0.11,9.5652
30,2015-03-31,2015-04-21,1.06,1.01,0.05,4.9505
31,2014-12-31,2015-01-30,1.11,1.09,0.02,1.8349
32,2014-09-30,2014-10-28,1.04,0.96,0.08,8.3333
33,2014-06-30,2014-07-29,0.9,0.89,0.01,1.1236
34,2014-03-31,2014-04-29,0.77,0.76,0.01,1.3158
35,2013-12-31,2014-01-31,0.94,0.93,0.01,1.0753
36,2013-09-30,2013-10-29,0.87,0.85,0.02,2.3529
37,2013-06-30,2013-07-23,0.82,0.75,0.07,9.3333
38,2013-03-31,2013-04-23,0.67,0.68,-0.01,-1.4706
39,2012-12-31,2013-01-31,0.72,0.68,0.04,5.8824
40,2012-09-30,2012-10-25,0.66,0.65,0.01,1.5385
41,2012-06-30,2012-07-24,0.83,0.82,0.01,1.2195
42,2012-03-31,2012-04-24,0.91,0.78,0.13,16.6667
43,2011-12-31,2012-01-31,0.91,0.79,0.12,15.1899
44,2011-09-30,2011-10-25,0.77,0.7,0.07,10
45,2011-06-30,2011-07-26,0.65,0.69,-0.04,-5.7971
46,2011-03-31,2011-04-19,0.53,0.49,0.04,8.1633
47,2010-12-31,2011-02-01,0.46,0.46,0,0
48,2010-09-30,2010-10-26,0.33,0.32,0.01,3.125
49,2010-06-30,2010-07-27,0.27,0.2,0.07,35
50,2010-03-31,2010-04-20,0.19,0.15,0.04,26.6667
51,2009-12-31,2010-01-29,0.13,0.07,0.06,85.7143
52,2009-09-30,2009-10-27,0.04,0.02,0.02,100
53,2009-06-30,2009-07-28,0.07,0.04,0.03,75
54,2009-03-31,2009-04-28,0.07,0.05,0.02,40
55,2008-12-31,2009-01-30,0.31,0.3,0.01,3.3333
56,2008-09-30,2008-10-21,0.82,0.87,-0.05,-5.7471
57,2008-06-30,2008-07-22,0.86,0.84,0.02,2.381
58,2008-03-31,2008-04-22,0.79,0.77,0.02,2.5974
59,2007-12-31,2008-01-29,0.71,0.82,-0.11,-13.4146
60,2007-09-30,2007-10-24,0.81,0.77,0.04,5.1948
61,2007-06-30,2007-07-24,0.79,0.75,0.04,5.3333
62,2007-03-31,2007-04-24,0.97,0.8,0.17,21.25
63,2006-12-31,2007-01-30,1.01,1.03,-0.02,-1.9417
64,2006-09-30,2006-10-24,1.07,0.99,0.08,8.0808
65,2006-06-30,2006-07-25,0.98,0.92,0.06,6.5217
66,2006-03-31,2006-04-25,0.9,0.82,0.08,9.7561
67,2005-12-31,2006-01-31,0.81,0.82,-0.01,-1.2195
68,2005-09-30,2005-10-25,0.79,0.77,0.02,2.5974
69,2005-06-30,2005-07-26,0.78,0.75,0.03,4
70,2005-03-31,2005-04-26,0.69,0.66,0.03,4.5455
71,2004-12-31,2005-02-01,0.66,0.66,0,0
72,2004-09-30,2004-10-21,0.63,0.6,0.03,5
73,2004-06-30,2004-07-23,0.6,0.51,0.09,17.6471
74,2004-03-31,2004-04-27,0.46,0.4,0.06,15
75,2003-12-31,2004-02-02,0.4,0.37,0.03,8.1081
76,2003-09-30,2003-10-21,0.33,0.31,0.02,6.4516
77,2003-06-30,2003-07-24,0.31,0.29,0.02,6.8966
78,2003-03-31,2003-04-22,0.28,0.2,0.08,40
79,2002-12-31,2003-02-04,0.31,0.19,0.12,63.1579
80,2002-09-30,2002-10-22,0.33,0.23,0.1,43.4783
81,2002-06-30,2002-07-25,0.19,0.17,0.02,11.7647
82,2002-03-31,2002-04-30,0.12,0.11,0.01,9.0909
83,2001-12-31,2002-02-05,0.13,0.1,0.03,30
84,2001-09-30,2001-10-23,0.1,0.07,0.03,42.8571
85,2001-06-30,2001-07-25,0.1,0.1,0,0
86,2001-03-31,2001-04-24,0.11,0.1,0.01,10
87,2000-12-31,2001-02-06,0.16,0.15,0.01,6.6667
88,2000-09-30,2000-10-23,0.21,0.26,-0.05,-19.2308
89,2000-06-30,2000-07-25,0.34,0.31,0.03,9.6774
90,2000-03-31,2000-04-25,0.39,0.37,0.02,5.4054
91,1999-12-31,2000-02-01,0.4,0.38,0.02,5.2632
92,1999-09-30,1999-10-20,0.36,0.32,0.04,12.5
93,1999-06-30,1999-07-20,0.35,0.3,0.05,16.6667
94,1999-03-31,1999-04-27,0.3,0.27,0.03,11.1111
95,1998-12-31,1999-02-02,0.29,0.26,0.03,11.5385
96,1998-09-30,1998-10-20,0.24,0.24,0,0
97,1998-06-30,1998-07-20,0.26,0.26,0,0
98,1998-03-31,1998-04-28,0.25,0.25,0,0
99,1997-12-31,1998-02-03,0.25,0.25,0,0
100,1997-09-30,1997-10-16,0.21,0.18,0.03,16.6667
101,1997-06-30,1997-07-16,0.18,0.18,0,0
102,1997-03-31,1997-04-29,0.15,0.15,0,0
103,1996-12-31,1997-02-04,0.16,0.12,0.04,33.3333
104,1996-09-30,1996-10-14,0.13,0.11,0.02,18.1818
105,1996-06-30,1996-07-22,0.13,0.12,0.01,8.3333
106,1996-03-31,1996-04-24,0.09,0.12,-0.03,-25
