,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,0.65,0.11,0.54,490.9091
1,2022-06-30,2022-08-02,0.13,0.1,0.03,30
2,2022-03-31,2022-05-03,0.13,0.1,0.03,30
3,2021-12-31,2022-02-08,0.05,0.08,-0.03,-37.5
4,2021-09-30,2021-11-02,0.1,0.1,0,0
5,2021-06-30,2021-08-03,0.51,0.18,0.33,183.3333
6,2021-03-31,2021-05-04,0.27,0.09,0.18,200
7,2020-12-31,2021-02-09,0.27,0.04,0.23,575
8,2020-09-30,2020-11-02,-0.12,0.01,-0.13,-1300
9,2020-06-30,2020-08-04,0.09,0.05,0.04,80
10,2020-03-31,2020-05-05,0.54,0.1,0.44,440
11,2019-12-31,2020-02-11,0.09,0.08,0.01,12.5
12,2019-09-30,2019-10-30,-0.09,0.05,-0.14,-280
13,2019-06-30,2019-07-31,-0.03,0.13,-0.16,-123.0769
14,2019-03-31,2019-05-01,0.13,0.13,0,0
15,2018-12-31,2019-02-13,1.73,0.21,1.52,723.8095
16,2018-09-30,2018-10-31,0.21,0.11,0.1,90.9091
17,2018-06-30,2018-08-02,0.19,0.15,0.04,26.6667
18,2018-03-31,2018-05-03,0.08,0.15,-0.07,-46.6667
19,2017-12-31,2018-02-13,-0.13,0.17,-0.3,-176.4706
20,2017-09-30,2017-11-02,-0.02,0.15,-0.17,-113.3333
21,2017-06-30,2017-08-01,0.04,0.16,-0.12,-75
22,2017-03-31,2017-05-02,0.97,0.31,0.66,212.9032
23,2016-12-31,2017-02-13,0.19,0.26,-0.07,-26.9231
24,2016-09-30,2016-11-01,0.32,0.36,-0.04,-11.1111
25,2016-06-30,2016-08-09,0.64,0.38,0.26,68.4211
26,2016-03-31,2016-05-09,0.25,0.41,-0.16,-39.0244
27,2015-12-31,2016-02-09,-1.29,0.45,-1.74,-386.6667
28,2015-09-30,2015-11-03,0.25,0.51,-0.26,-50.9804
29,2015-06-30,2015-08-04,0.36,0.45,-0.09,-20
30,2015-03-31,2015-05-05,-0.52,0.51,-1.03,-201.9608
31,2014-12-31,2015-02-10,0.43,0.48,-0.05,-10.4167
32,2014-09-30,2014-11-04,0.54,0.5,0.04,8
33,2014-06-30,2014-08-05,0.48,0.52,-0.04,-7.6923
34,2014-03-31,2014-05-06,0.5,0.5,0,0
35,2013-12-31,2014-02-11,0.52,0.48,0.04,8.3333
36,2013-09-30,2013-10-29,0.52,0.5,0.02,4
37,2013-06-30,2013-07-30,0.49,0.48,0.01,2.0833
38,2013-03-31,2013-04-30,0.51,0.48,0.03,6.25
39,2012-12-31,2013-02-12,0.53,0.47,0.06,12.766
40,2012-09-30,2012-10-30,0.47,0.46,0.01,2.1739
41,2012-06-30,2012-07-31,0.48,0.46,0.02,4.3478
42,2012-03-31,2012-05-01,0.43,0.43,0,0
43,2011-12-31,2012-02-14,0.14,0.41,-0.27,-65.8537
44,2011-09-30,2011-10-31,0.41,0.42,-0.01,-2.381
45,2011-06-30,2011-08-02,0.55,0.46,0.09,19.5652
46,2011-03-31,2011-05-03,0.17,0.21,-0.04,-19.0476
47,2010-12-31,2011-02-15,0.42,0.35,0.07,20
48,2010-09-30,2010-11-02,0.05,0.28,-0.23,-82.1429
49,2010-06-30,2010-08-03,0.27,0.25,0.02,8
50,2010-03-31,2010-04-27,0.25,0.24,0.01,4.1667
51,2009-12-31,2010-02-12,0.09,0.09,0,0
52,2009-09-30,2009-11-03,-0.18,0.23,-0.41,-178.2609
53,2009-06-30,2009-08-04,0.35,0.23,0.12,52.1739
54,2009-03-31,2009-04-28,0.17,0.23,-0.06,-26.087
