,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,2.69,2.82,-0.13,-4.6099
1,2022-06-30,2022-07-26,2.73,2.63,0.1,3.8023
2,2022-03-31,2022-04-28,1.83,1.71,0.12,7.0175
3,2021-12-31,2022-02-01,2.51,2.31,0.2,8.658
4,2021-09-30,2021-10-26,1.82,1.79,0.03,1.676
5,2021-06-30,2021-07-27,1.72,1.74,-0.02,-1.1494
6,2021-03-31,2021-04-27,1.28,1.2,0.08,6.6667
7,2020-12-31,2021-01-28,1.62,1.4,0.22,15.7143
8,2020-09-30,2020-10-22,1.54,1.12,0.42,37.5
9,2020-06-30,2020-07-23,1.29,0.87,0.42,48.2759
10,2020-03-31,2020-04-23,0.74,0.7,0.04,5.7143
11,2019-12-31,2020-01-28,1.22,1.09,0.13,11.9266
12,2019-09-30,2019-10-22,0.99,0.92,0.07,7.6087
13,2019-06-30,2019-07-23,0.86,0.83,0.03,3.6145
14,2019-03-31,2019-04-23,0.59,0.47,0.12,25.5319
15,2018-12-31,2019-01-29,0.84,1.1,-0.26,-23.6364
16,2018-09-30,2018-10-23,1.01,0.95,0.06,6.3158
17,2018-06-30,2018-07-26,1.12,0.75,0.37,49.3333
18,2018-03-31,2018-04-24,0.59,0.45,0.14,31.1111
19,2017-12-31,2018-01-30,0.88,0.85,0.03,3.5294
20,2017-09-30,2017-10-24,0.58,0.59,-0.01,-1.6949
21,2017-06-30,2017-07-25,0.32,0.41,-0.09,-21.9512
22,2017-03-31,2017-04-25,0.28,0.29,-0.01,-3.4483
23,2016-12-31,2017-01-26,0.83,0.59,0.24,40.678
24,2016-09-30,2016-10-20,0.37,0.44,-0.07,-15.9091
25,2016-06-30,2016-07-21,0.34,0.32,0.02,6.25
26,2016-03-31,2016-04-21,0.24,0.2,0.04,20
27,2015-12-31,2016-01-28,0.64,0.49,0.15,30.6122
28,2015-09-30,2015-10-22,0.3,0.43,-0.13,-30.2326
29,2015-06-30,2015-07-23,0.28,0.26,0.02,7.6923
30,2015-03-31,2015-04-23,0.15,0.2,-0.05,-25
31,2014-12-31,2015-01-29,0.58,0.4,0.18,45
32,2014-09-30,2014-10-23,0.37,0.36,0.01,2.7778
33,2014-06-30,2014-07-24,0.25,0.25,0,0
34,2014-03-31,2014-04-24,0.19,0.2,-0.01,-5
35,2013-12-31,2014-01-30,0.57,0.44,0.13,29.5455
36,2013-09-30,2013-10-24,0.45,0.36,0.09,25
37,2013-06-30,2013-07-25,0.26,0.3,-0.04,-13.3333
38,2013-03-31,2013-04-25,0.21,0.15,0.06,40
39,2012-12-31,2013-01-31,0.34,0.31,0.03,9.6774
40,2012-09-30,2012-10-25,0.3,0.2,0.1,50
41,2012-06-30,2012-07-26,0.11,0.05,0.06,120
42,2012-03-31,2012-04-26,-0.03,-0.03,0,0
43,2011-12-31,2012-02-02,0.04,0.07,-0.03,-42.8571
44,2011-09-30,2011-10-27,0.11,-0.01,0.12,1200
45,2011-06-30,2011-07-28,-0.15,-0.04,-0.11,-275
46,2011-03-31,2011-04-28,-0.1,-0.13,0.03,23.0769
47,2010-12-31,2011-02-04,-0.01,-0.1,0.09,90
48,2010-09-30,2010-11-03,-2.63,-0.05,-2.58,-5160
49,2010-06-30,2010-08-04,0.2,-0.01,0.21,2100
50,2010-03-31,2010-05-05,-0.03,-0.22,0.19,86.3636
51,2009-12-31,2010-02-09,-0.31,-0.19,-0.12,-63.1579
52,2009-09-30,2009-11-04,-1.15,-0.68,-0.47,-69.1176
53,2009-06-30,2009-08-03,-0.74,-0.57,-0.17,-29.8246
54,2009-03-31,2009-05-05,-2.02,-0.54,-1.48,-274.0741
55,2008-12-31,2009-02-04,-1.33,-0.71,-0.62,-87.3239
56,2008-09-30,2008-10-22,-1.11,-0.47,-0.64,-136.1702
57,2008-06-30,2008-07-23,-0.63,-0.69,0.06,8.6957
58,2008-03-31,2008-04-23,-2.75,-0.77,-1.98,-257.1429
59,2007-12-31,2008-01-30,-3.54,-0.49,-3.05,-622.449
60,2007-09-30,2007-10-24,-3.12,-0.8,-2.32,-290
61,2007-06-30,2007-07-25,-2.01,-2.03,0.02,0.9852
62,2007-03-31,2007-04-25,-0.33,-0.37,0.04,10.8108
63,2006-12-31,2007-01-31,-0.03,-0.01,-0.02,-200
64,2006-09-30,2006-10-25,0.74,0.76,-0.02,-2.6316
65,2006-06-30,2006-07-26,0.94,0.9,0.04,4.4444
66,2006-03-31,2006-04-26,1.01,0.96,0.05,5.2083
67,2005-12-31,2006-02-01,2.03,1.97,0.06,3.0457
68,2005-09-30,2005-10-26,1.47,1.39,0.08,5.7554
69,2005-06-30,2005-07-27,1.15,1.04,0.11,10.5769
70,2005-03-31,2005-04-27,0.83,0.71,0.12,16.9014
71,2004-12-31,2005-02-02,1.6,1.53,0.07,4.5752
72,2004-09-30,2004-10-25,1,1,0,0
73,2004-06-30,2004-07-26,0.73,0.71,0.02,2.8169
74,2004-03-31,2004-04-26,0.51,0.43,0.08,18.6047
75,2003-12-31,2004-01-28,0.98,0.94,0.04,4.2553
76,2003-09-30,2003-10-22,0.64,0.59,0.05,8.4746
77,2003-06-30,2003-07-24,0.49,0.44,0.05,11.3636
78,2003-03-31,2003-04-24,0.35,0.31,0.04,12.9032
79,2002-12-31,2003-01-28,0.7,0.66,0.04,6.0606
80,2002-09-30,2002-10-22,0.46,0.45,0.01,2.2222
81,2002-06-30,2002-07-23,0.36,0.35,0.01,2.8571
82,2002-03-31,2002-04-23,0.28,0.23,0.05,21.7391
83,2001-12-31,2002-01-29,0.5,0.47,0.03,6.383
84,2001-09-30,2001-10-23,0.42,0.41,0.01,2.439
85,2001-06-30,2001-07-24,0.35,0.33,0.02,6.0606
