,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-24,2.83,2.81,0.02,0.7117
1,2022-06-30,2022-07-25,3.23,2.85,0.38,13.3333
2,2022-03-31,2022-04-25,2.72,2.52,0.2,7.9365
3,2021-12-31,2022-01-26,2.76,2.07,0.69,33.3333
4,2021-09-30,2021-10-25,2.69,2.34,0.35,14.9573
5,2021-06-30,2021-07-26,2.17,1.78,0.39,21.9101
6,2021-03-31,2021-04-26,1.77,1.46,0.31,21.2329
7,2020-12-31,2021-01-27,1.33,1.42,-0.09,-6.338
8,2020-09-30,2020-10-26,1.57,1.42,0.15,10.5634
9,2020-06-30,2020-07-28,1.38,1.28,0.1,7.8125
10,2020-03-31,2020-04-27,1.5,1.22,0.28,22.9508
11,2019-12-31,2020-01-29,1.71,1.7,0.01,0.5882
12,2019-09-30,2019-10-23,1.92,1.91,0.01,0.5236
13,2019-06-30,2019-07-24,2.04,2.03,0.01,0.4926
14,2019-03-31,2019-04-24,1.98,1.96,0.02,1.0204
15,2018-12-31,2019-01-29,2.17,2.14,0.03,1.4019
16,2018-09-30,2018-10-24,2.23,2.15,0.08,3.7209
17,2018-06-30,2018-07-25,2.08,1.97,0.11,5.5838
18,2018-03-31,2018-04-24,1.55,1.53,0.02,1.3072
19,2017-12-31,2018-01-30,1.56,1.51,0.05,3.3113
20,2017-09-30,2017-10-25,1.68,1.68,0,0
21,2017-06-30,2017-07-26,1.52,1.47,0.05,3.4014
22,2017-03-31,2017-04-26,1.27,1.23,0.04,3.252
23,2016-12-31,2017-01-30,1.23,1.15,0.08,6.9565
24,2016-09-30,2016-10-19,1.3,1.31,-0.01,-0.7634
25,2016-06-30,2016-07-20,1.25,1.18,0.07,5.9322
26,2016-03-31,2016-04-20,1.11,1.01,0.1,9.901
27,2015-12-31,2016-01-25,1.08,1.03,0.05,4.8544
28,2015-09-30,2015-10-20,1.26,1.28,-0.02,-1.5625
29,2015-06-30,2015-07-21,1.18,1.03,0.15,14.5631
30,2015-03-31,2015-04-20,1.01,1.08,-0.07,-6.4815
31,2014-12-31,2015-01-26,1.16,1.17,-0.01,-0.8547
32,2014-09-30,2014-10-20,1.26,1.26,0,0
33,2014-06-30,2014-07-21,1.16,1.11,0.05,4.5045
34,2014-03-31,2014-04-22,1.08,1,0.08,8
35,2013-12-31,2014-02-11,1.04,0.89,0.15,16.8539
36,2013-09-30,2013-10-14,0.91,0.89,0.02,2.2472
37,2013-06-30,2013-07-16,0.71,0.63,0.08,12.6984
38,2013-03-31,2013-04-22,0.62,0.56,0.06,10.7143
39,2012-12-31,2013-01-22,0.61,0.62,-0.01,-1.6129
40,2012-09-30,2012-10-15,0.55,0.56,-0.01,-1.7857
41,2012-06-30,2012-07-16,0.49,0.45,0.04,8.8889
42,2012-03-31,2012-04-17,0.42,0.4,0.02,5
43,2011-12-31,2012-01-23,0.4,0.37,0.03,8.1081
44,2011-09-30,2011-10-17,0.43,0.43,0,0
45,2011-06-30,2011-07-18,0.39,0.34,0.05,14.7059
46,2011-03-31,2011-04-18,0.39,0.41,-0.02,-4.878
47,2010-12-31,2011-01-24,0.52,0.53,-0.01,-1.8868
48,2010-09-30,2010-10-18,0.6,0.58,0.02,3.4483
49,2010-06-30,2010-07-19,0.38,0.31,0.07,22.5806
50,2010-03-31,2010-04-19,0.12,0.11,0.01,9.0909
51,2009-12-31,2010-01-25,0.16,0.13,0.03,23.0769
52,2009-09-30,2009-10-19,0.25,0.25,0,0
53,2009-06-30,2009-07-20,0.28,0.16,0.12,75
54,2009-03-31,2009-04-20,0.25,0.19,0.06,31.5789
55,2008-12-31,2009-01-20,0.3,0.25,0.05,20
56,2008-09-30,2008-10-20,0.38,0.41,-0.03,-7.3171
57,2008-06-30,2008-07-21,0.37,0.34,0.03,8.8235
58,2008-03-31,2008-04-21,0.31,0.34,-0.03,-8.8235
59,2007-12-31,2008-01-22,0.42,0.46,-0.04,-8.6957
60,2007-09-30,2007-10-17,0.46,0.46,0,0
61,2007-06-30,2007-07-18,0.44,0.36,0.08,22.2222
62,2007-03-31,2007-04-17,0.3,0.3,0,0
63,2006-12-31,2007-01-22,0.38,0.35,0.03,8.5714
64,2006-09-30,2006-10-17,0.42,0.42,0,0
65,2006-06-30,2006-07-18,0.31,0.23,0.08,34.7826
