,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-20,1.33,1.36,-0.03,-2.2059
1,2022-06-30,2022-07-21,1.32,1.26,0.06,4.7619
2,2022-03-31,2022-04-21,1.46,1.49,-0.03,-2.0134
3,2021-12-31,2022-02-10,1.35,1.33,0.02,1.5038
4,2021-09-30,2021-10-19,1.58,1.55,0.03,1.9355
5,2021-06-30,2021-07-20,1.57,1.55,0.02,1.2903
6,2021-03-31,2021-04-20,1.57,1.4,0.17,12.1429
7,2020-12-31,2021-02-04,1.26,1.21,0.05,4.1322
8,2020-09-30,2020-10-20,1.42,1.36,0.06,4.4118
9,2020-06-30,2020-07-21,1.29,1.1,0.19,17.2727
10,2020-03-31,2020-04-21,1.21,1.13,0.08,7.0796
11,2019-12-31,2020-02-06,1.22,1.21,0.01,0.8264
12,2019-09-30,2019-10-17,1.43,1.36,0.07,5.1471
13,2019-06-30,2019-07-18,1.46,1.32,0.14,10.6061
14,2019-03-31,2019-04-18,1.09,0.97,0.12,12.3711
15,2018-12-31,2019-02-07,1.25,1.16,0.09,7.7586
16,2018-09-30,2018-10-18,1.44,1.28,0.16,12.5
17,2018-06-30,2018-07-19,1.41,1.23,0.18,14.6341
18,2018-03-31,2018-04-19,1,0.9,0.1,11.1111
19,2017-12-31,2018-02-08,1.32,1.35,-0.03,-2.2222
20,2017-09-30,2017-10-19,1.27,1.38,-0.11,-7.971
21,2017-06-30,2017-07-20,1.14,1.23,-0.09,-7.3171
22,2017-03-31,2017-04-20,0.98,1.03,-0.05,-4.8544
23,2016-12-31,2017-02-02,1.1,1.12,-0.02,-1.7857
24,2016-09-30,2016-10-18,1.25,1.23,0.02,1.626
25,2016-06-30,2016-07-19,1.15,1.2,-0.05,-4.1667
26,2016-03-31,2016-04-19,0.98,1.11,-0.13,-11.7117
27,2015-12-31,2016-02-04,0.81,0.81,0,0
28,2015-09-30,2015-10-15,1.24,1.11,0.13,11.7117
29,2015-06-30,2015-07-16,1.21,1.13,0.08,7.0796
30,2015-03-31,2015-04-16,1.16,1.01,0.15,14.8515
31,2014-12-31,2015-02-05,1.03,1.06,-0.03,-2.8302
32,2014-09-30,2014-10-16,1.39,1.33,0.06,4.5113
33,2014-06-30,2014-07-17,1.41,1.24,0.17,13.7097
34,2014-03-31,2014-04-17,1.19,1.16,0.03,2.5862
35,2013-12-31,2014-02-06,1.37,1.37,0,0
36,2013-09-30,2013-10-17,1.44,1.43,0.01,0.6993
37,2013-06-30,2013-07-18,1.3,1.41,-0.11,-7.8014
38,2013-03-31,2013-04-18,1.29,1.34,-0.05,-3.7313
39,2012-12-31,2013-02-07,1.24,1.22,0.02,1.6393
40,2012-09-30,2012-10-18,1.38,1.39,-0.01,-0.7194
41,2012-06-30,2012-07-19,1.36,1.34,0.02,1.4925
42,2012-03-31,2012-04-19,1.25,1.19,0.06,5.042
43,2011-12-31,2012-02-09,1.1,1.09,0.01,0.9174
44,2011-09-30,2011-10-20,1.37,1.24,0.13,10.4839
45,2011-06-30,2011-07-21,1.34,1.22,0.12,9.8361
46,2011-03-31,2011-04-21,1.06,1.05,0.01,0.9524
47,2010-12-31,2011-02-10,0.97,0.96,0.01,1.0417
48,2010-09-30,2010-10-21,1,1.01,-0.01,-0.9901
49,2010-06-30,2010-07-22,1,0.97,0.03,3.0928
50,2010-03-31,2010-04-22,0.9,0.93,-0.03,-3.2258
51,2009-12-31,2010-02-11,0.81,0.79,0.02,2.5316
52,2009-09-30,2009-10-22,0.93,0.91,0.02,2.1978
53,2009-06-30,2009-07-23,0.83,0.77,0.06,7.7922
54,2009-03-31,2009-04-23,0.74,0.69,0.05,7.2464
55,2008-12-31,2009-02-04,0.71,0.62,0.09,14.5161
56,2008-09-30,2008-10-22,0.93,0.9,0.03,3.3333
57,2008-06-30,2008-07-23,0.87,0.83,0.04,4.8193
58,2008-03-31,2008-04-23,0.89,0.77,0.12,15.5844
