,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-14,3.78,3.69,0.09,2.439
1,2022-06-30,2022-07-15,3.39,3.12,0.27,8.6538
2,2022-03-31,2022-04-14,3.23,2.73,0.5,18.315
3,2021-12-31,2022-01-18,2.86,3.16,-0.3,-9.4937
4,2021-09-30,2021-10-15,3.3,3.2,0.1,3.125
5,2021-06-30,2021-07-14,2.43,3.1,-0.67,-21.6129
6,2021-03-31,2021-04-16,4.1,2.75,1.35,49.0909
7,2020-12-31,2021-01-15,3.26,2.62,0.64,24.4275
8,2020-09-30,2020-10-14,3.39,2.12,1.27,59.9057
9,2020-06-30,2020-07-15,8.4,0.51,7.89,1547.0588
10,2020-03-31,2020-04-15,1.95,1.71,0.24,14.0351
11,2019-12-31,2020-01-15,2.97,2.93,0.04,1.3652
12,2019-09-30,2019-10-16,2.94,2.8,0.14,5
13,2019-06-30,2019-07-17,2.88,2.82,0.06,2.1277
14,2019-03-31,2019-04-12,2.61,2.61,0,0
15,2018-12-31,2019-01-16,2.75,2.79,-0.04,-1.4337
16,2018-09-30,2018-10-12,2.82,2.72,0.1,3.6765
17,2018-06-30,2018-07-13,2.72,2.58,0.14,5.4264
18,2018-03-31,2018-04-13,2.43,2.43,0,0
19,2017-12-31,2018-01-12,2.29,2.2,0.09,4.0909
20,2017-09-30,2017-10-13,2.16,2.13,0.03,1.4085
21,2017-06-30,2017-07-14,2.1,2.02,0.08,3.9604
22,2017-03-31,2017-04-13,1.96,1.84,0.12,6.5217
23,2016-12-31,2017-01-13,1.97,1.85,0.12,6.4865
24,2016-09-30,2016-10-14,1.84,1.78,0.06,3.3708
25,2016-06-30,2016-07-15,1.82,1.75,0.07,4
26,2016-03-31,2016-04-14,1.68,1.7,-0.02,-1.1765
27,2015-12-31,2016-01-15,1.87,1.8,0.07,3.8889
28,2015-09-30,2015-10-14,1.9,1.79,0.11,6.1453
29,2015-06-30,2015-07-15,1.88,1.76,0.12,6.8182
30,2015-03-31,2015-04-15,1.75,1.72,0.03,1.7442
31,2014-12-31,2015-01-16,1.84,1.74,0.1,5.7471
32,2014-09-30,2014-10-15,1.79,1.71,0.08,4.6784
33,2014-06-30,2014-07-16,1.85,1.78,0.07,3.9326
34,2014-03-31,2014-04-16,1.82,1.66,0.16,9.6386
35,2013-12-31,2014-01-16,1.85,1.65,0.2,12.1212
36,2013-09-30,2013-10-16,1.79,1.62,0.17,10.4938
37,2013-06-30,2013-07-17,1.71,1.63,0.08,4.908
38,2013-03-31,2013-04-17,1.78,1.57,0.21,13.3758
39,2012-12-31,2013-01-17,1.71,1.57,0.14,8.9172
40,2012-09-30,2012-10-16,1.47,1.59,-0.12,-7.5472
41,2012-06-30,2012-07-18,1.2,1.23,-0.03,-2.439
42,2012-03-31,2012-04-18,1.49,1.42,0.07,4.9296
43,2011-12-31,2012-01-18,1.15,1.41,-0.26,-18.4397
44,2011-09-30,2011-10-19,1.55,1.49,0.06,4.0268
45,2011-06-30,2011-07-20,1.67,1.46,0.21,14.3836
46,2011-03-31,2011-04-21,1.57,1.36,0.21,15.4412
47,2010-12-31,2011-01-20,1.5,1.38,0.12,8.6957
48,2010-09-30,2010-10-21,2.07,1.36,0.71,52.2059
49,2010-06-30,2010-07-22,1.47,1.28,0.19,14.8438
50,2010-03-31,2010-04-22,0.66,0.71,-0.05,-7.0423
51,2009-12-31,2010-01-21,2.17,0.78,1.39,178.2051
52,2009-09-30,2009-10-22,1,0.31,0.69,222.5806
53,2009-06-30,2009-07-23,0.14,0.45,-0.31,-68.8889
54,2009-03-31,2009-04-23,1.03,0.42,0.61,145.2381
55,2008-12-31,2009-02-03,-0.77,0.75,-1.52,-202.6667
56,2008-09-30,2008-10-16,0.71,0.88,-0.17,-19.3182
57,2008-06-30,2008-07-17,1.45,1.16,0.29,25
58,2008-03-31,2008-04-17,1.09,1.18,-0.09,-7.6271
59,2007-12-31,2008-01-17,1.07,1.07,0,0
60,2007-09-30,2007-10-18,1.37,1.35,0.02,1.4815
61,2007-06-30,2007-07-19,1.25,1.36,-0.11,-8.0882
62,2007-03-31,2007-04-18,1.38,1.32,0.06,4.5455
63,2006-12-31,2007-01-23,1.3,1.3,0,0
64,2006-09-30,2006-10-31,1.28,1.23,0.05,4.065
65,2006-06-30,2006-07-19,1.28,1.23,0.05,4.065
66,2006-03-31,2006-04-20,1.19,1.17,0.02,1.7094
67,2005-12-31,2006-01-19,1.2,1.12,0.08,7.1429
68,2005-09-30,2005-10-20,1.14,1.05,0.09,8.5714
69,2005-06-30,2005-07-19,1.06,1.05,0.01,0.9524
70,2005-03-31,2005-04-21,1.08,1.01,0.07,6.9307
71,2004-12-31,2005-01-21,1.08,1.04,0.04,3.8462
72,2004-09-30,2004-10-20,0.91,1.03,-0.12,-11.6505
73,2004-06-30,2004-07-21,1.07,1.02,0.05,4.902
74,2004-03-31,2004-04-21,1.15,0.98,0.17,17.3469
75,2003-12-31,2004-01-21,1.08,0.99,0.09,9.0909
76,2003-09-30,2003-10-16,1,0.96,0.04,4.1667
77,2003-06-30,2003-07-21,0.96,0.93,0.03,3.2258
78,2003-03-31,2003-04-17,0.92,0.93,-0.01,-1.0753
79,2002-12-31,2003-01-16,0.97,0.93,0.04,4.3011
80,2002-09-30,2002-10-17,1,1.04,-0.04,-3.8462
81,2002-06-30,2002-07-18,1.12,1.11,0.01,0.9009
82,2002-03-31,2002-04-19,1.11,1.08,0.03,2.7778
83,2001-12-31,2002-01-17,1.01,1,0.01,1
84,2001-09-30,2001-10-18,1.05,1.05,0,0
85,2001-06-30,2001-07-19,1.1,1.08,0.02,1.8519
86,2001-03-31,2001-04-19,1.03,1.09,-0.06,-5.5046
87,2000-12-31,2001-01-18,1.13,1.12,0.01,0.8929
88,2000-09-30,2000-10-19,1.11,1.09,0.02,1.8349
89,2000-06-30,2000-07-13,1.06,1.06,0,0
90,2000-03-31,2000-04-13,1.03,1.02,0.01,0.9804
91,1999-12-31,2000-01-13,1.01,1.01,0,0
92,1999-09-30,1999-10-20,1,0.99,0.01,1.0101
93,1999-06-30,1999-07-15,0.98,0.96,0.02,2.0833
94,1999-03-31,1999-04-22,0.94,0.94,0,0
95,1998-12-31,1999-01-19,0.92,0.92,0,0
96,1998-09-30,1998-10-15,0.91,0.91,0,0
97,1998-06-30,1998-07-16,0.92,0.89,0.03,3.3708
98,1998-03-31,1998-04-14,0.87,0.86,0.01,1.1628
99,1997-12-31,1998-01-15,0.85,0.85,0,0
100,1997-09-30,1997-10-15,0.83,0.83,0,0
101,1997-06-30,1997-07-16,0.81,0.81,0,0
102,1997-03-31,1997-04-15,0.8,0.79,0.01,1.2658
103,1996-12-31,1997-01-15,0.79,0.78,0.01,1.2821
104,1996-09-30,1996-10-10,0.75,0.75,0,0
105,1996-06-30,1996-07-15,0.72,0.71,0.01,1.4085
106,1996-03-31,1996-04-17,0.69,0.66,0.03,4.5455
