,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,0.99,0.93,0.06,6.4516
1,2022-06-30,2022-07-26,1.02,1,0.02,2
2,2022-03-31,2022-04-21,0.85,0.81,0.04,4.9383
3,2021-12-31,2022-02-01,0.87,0.85,0.02,2.3529
4,2021-09-30,2021-10-26,0.89,0.84,0.05,5.9524
5,2021-06-30,2021-07-27,0.84,0.8,0.04,5
6,2021-03-31,2021-04-22,0.81,0.62,0.19,30.6452
7,2020-12-31,2021-01-28,0.7,0.63,0.07,11.1111
8,2020-09-30,2020-10-20,0.7,0.51,0.19,37.2549
9,2020-06-30,2020-07-23,0.59,0.49,0.1,20.4082
10,2020-03-31,2020-04-30,0.52,0.45,0.07,15.5556
11,2019-12-31,2020-01-28,0.68,0.65,0.03,4.6154
12,2019-09-30,2019-10-23,0.58,0.55,0.03,5.4545
13,2019-06-30,2019-07-23,0.69,0.65,0.04,6.1538
14,2019-03-31,2019-04-17,0.43,0.44,-0.01,-2.2727
15,2018-12-31,2019-01-29,0.6,0.59,0.01,1.6949
16,2018-09-30,2018-10-23,0.54,0.52,0.02,3.8462
17,2018-06-30,2018-07-25,0.71,0.69,0.02,2.8986
18,2018-03-31,2018-04-19,0.88,0.83,0.05,6.0241
19,2017-12-31,2018-01-30,0.93,0.93,0,0
20,2017-09-30,2017-10-24,0.95,0.93,0.02,2.1505
21,2017-06-30,2017-07-25,1,1,0,0
22,2017-03-31,2017-04-25,0.65,0.61,0.04,6.5574
23,2016-12-31,2017-01-31,0.78,0.73,0.05,6.8493
24,2016-09-30,2016-10-25,0.78,0.72,0.06,8.3333
25,2016-06-30,2016-07-28,1.11,1.09,0.02,1.8349
26,2016-03-31,2016-04-26,0.76,0.71,0.05,7.0423
27,2015-12-31,2016-02-02,1.13,1.04,0.09,8.6538
28,2015-09-30,2015-10-20,0.97,0.95,0.02,2.1053
29,2015-06-30,2015-07-21,1.08,0.95,0.13,13.6842
30,2015-03-31,2015-04-21,0.76,0.65,0.11,16.9231
31,2014-12-31,2015-02-03,1.06,1.03,0.03,2.9126
32,2014-09-30,2014-10-21,1,0.94,0.06,6.383
33,2014-06-30,2014-07-31,1.04,1.03,0.01,0.9709
34,2014-03-31,2014-04-22,0.73,0.73,0,0
35,2013-12-31,2014-01-28,0.86,0.84,0.02,2.381
36,2013-09-30,2013-10-22,0.86,0.86,0,0
37,2013-06-30,2013-07-23,0.92,0.9,0.02,2.2222
38,2013-03-31,2013-04-23,0.58,0.56,0.02,3.5714
39,2012-12-31,2013-01-29,0.47,0.44,0.03,6.8182
40,2012-09-30,2012-11-01,0.64,0.63,0.01,1.5873
41,2012-06-30,2012-07-24,0.83,0.8,0.03,3.75
42,2012-03-31,2012-04-24,0.64,0.56,0.08,14.2857
43,2011-12-31,2012-01-31,0.56,0.54,0.02,3.7037
44,2011-09-30,2011-10-26,0.58,0.58,0,0
45,2011-06-30,2011-07-26,0.75,0.72,0.03,4.1667
46,2011-03-31,2011-04-26,0.52,0.44,0.08,18.1818
47,2010-12-31,2011-02-01,0.49,0.46,0.03,6.5217
48,2010-09-30,2010-10-26,0.55,0.52,0.03,5.7692
49,2010-06-30,2010-07-29,0.61,0.55,0.06,10.9091
50,2010-03-31,2010-04-27,0.35,0.35,0,0
51,2009-12-31,2010-02-02,0.47,0.43,0.04,9.3023
52,2009-09-30,2009-10-20,0.42,0.41,0.01,2.439
53,2009-06-30,2009-07-21,0.38,0.38,0,0
54,2009-03-31,2009-04-21,0.2,0.21,-0.01,-4.7619
55,2008-12-31,2009-02-03,0.41,0.41,0,0
56,2008-09-30,2008-10-21,0.55,0.52,0.03,5.7692
57,2008-06-30,2008-07-22,0.68,0.66,0.02,3.0303
58,2008-03-31,2008-04-22,0.53,0.48,0.05,10.4167
59,2007-12-31,2008-02-05,0.51,0.47,0.04,8.5106
60,2007-09-30,2007-10-23,0.53,0.5,0.03,6
61,2007-06-30,2007-07-24,0.62,0.58,0.04,6.8966
62,2007-03-31,2007-04-24,0.42,0.4,0.02,5
63,2006-12-31,2007-02-06,0.39,0.32,0.07,21.875
64,2006-09-30,2006-10-24,0.33,0.3,0.03,10
65,2006-06-30,2006-07-25,0.67,0.62,0.05,8.0645
66,2006-03-31,2006-04-27,0.42,0.42,0,0
67,2005-12-31,2006-02-02,0.41,0.4,0.01,2.5
68,2005-09-30,2005-10-25,0.48,0.46,0.02,4.3478
69,2005-06-30,2005-07-26,0.63,0.63,0,0
70,2005-03-31,2005-04-26,0.42,0.38,0.04,10.5263
71,2004-12-31,2005-02-02,0.33,0.33,0,0
72,2004-09-30,2004-10-26,0.32,0.32,0,0
73,2004-06-30,2004-07-21,0.55,0.52,0.03,5.7692
74,2004-03-31,2004-04-26,0.4,0.36,0.04,11.1111
75,2003-12-31,2004-02-04,0.35,0.33,0.02,6.0606
76,2003-09-30,2003-10-16,0.39,0.38,0.01,2.6316
77,2003-06-30,2003-07-17,0.44,0.44,0,0
78,2003-03-31,2003-04-17,0.28,0.27,0.01,3.7037
79,2002-12-31,2003-01-30,0.28,0.27,0.01,3.7037
80,2002-09-30,2002-10-15,0.38,0.38,0,0
81,2002-06-30,2002-07-23,0.43,0.43,0,0
82,2002-03-31,2002-04-16,0.22,0.19,0.03,15.7895
83,2001-12-31,2002-02-07,0.14,0.11,0.03,27.2727
84,2001-09-30,2001-10-19,0.25,0.25,0,0
85,2001-06-30,2001-07-20,0.29,0.29,0,0
86,2001-03-31,2001-04-23,0.21,0.2,0.01,5
87,2000-12-31,2001-02-01,-0.01,-0.03,0.02,66.6667
88,2000-09-30,2000-10-17,0.13,0.47,-0.34,-72.3404
89,2000-06-30,2000-07-20,0.38,0.38,0,0
90,2000-03-31,2000-04-18,0.35,0.35,0,0
91,1999-12-31,2000-01-31,0.45,0.45,0,0
92,1999-09-30,1999-10-18,0.35,0.34,0.01,2.9412
93,1999-06-30,1999-07-19,0.33,0.33,0,0
94,1999-03-31,1999-04-19,0.31,0.3,0.01,3.3333
95,1998-12-31,1999-01-26,0.38,0.38,0,0
96,1998-09-30,1998-10-15,0.3,0.3,0,0
97,1998-06-30,1998-07-16,0.3,0.28,0.02,7.1429
98,1998-03-31,1998-04-16,0.27,0.26,0.01,3.8462
99,1997-12-31,1998-02-03,0.34,0.31,0.03,9.6774
100,1997-09-30,1997-10-16,0.26,0.25,0.01,4
101,1997-06-30,1997-07-16,0.24,0.23,0.01,4.3478
102,1997-03-31,1997-04-16,0.23,0.22,0.01,4.5455
103,1996-12-31,1997-01-30,0.26,0.26,0,0
104,1996-09-30,1996-10-17,0.22,0.22,0,0
105,1996-06-30,1996-07-17,0.2,0.2,0,0
106,1996-03-31,1996-04-15,0.19,0.19,0,0
