,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,1.77,1.77,0,0
1,2022-06-30,2022-08-04,1.54,1.52,0.02,1.3158
2,2022-03-31,2022-05-05,1.37,1.22,0.15,12.2951
3,2021-12-31,2022-02-24,1.54,1.41,0.13,9.2199
4,2021-09-30,2021-11-04,1.48,1.46,0.02,1.3699
5,2021-06-30,2021-08-05,1.06,1.04,0.02,1.9231
6,2021-03-31,2021-05-06,0.83,0.73,0.1,13.6986
7,2020-12-31,2021-02-25,1.22,0.99,0.23,23.2323
8,2020-09-30,2020-10-29,1.4,1.1,0.3,27.2727
9,2020-06-30,2020-08-06,0.74,0.48,0.26,54.1667
10,2020-03-31,2020-05-07,0.47,0.46,0.01,2.1739
11,2019-12-31,2020-02-27,0.93,0.83,0.1,12.0482
12,2019-09-30,2019-10-31,1.14,1.03,0.11,10.6796
13,2019-06-30,2019-08-01,0.31,0.83,-0.52,-62.6506
14,2019-03-31,2019-05-02,0.96,0.83,0.13,15.6627
15,2018-12-31,2019-02-21,0.96,0.9,0.06,6.6667
16,2018-09-30,2018-11-01,0.88,0.96,-0.08,-8.3333
17,2018-06-30,2018-08-02,0.59,0.6,-0.01,-1.6667
18,2018-03-31,2018-05-03,0.4,0.32,0.08,25
19,2017-12-31,2018-02-22,0.45,0.44,0.01,2.2727
20,2017-09-30,2017-11-02,0.63,0.61,0.02,3.2787
21,2017-06-30,2017-08-03,0.5,0.53,-0.03,-5.6604
22,2017-03-31,2017-05-04,0.39,0.4,-0.01,-2.5
23,2016-12-31,2017-02-21,0.56,0.56,0,0
24,2016-09-30,2016-11-03,0.55,0.55,0,0
25,2016-06-30,2016-08-04,0.18,0.36,-0.18,-50
26,2016-03-31,2016-05-05,0.23,0.26,-0.03,-11.5385
27,2015-12-31,2016-02-25,0.3,0.28,0.02,7.1429
28,2015-09-30,2015-11-05,0.3,0.29,0.01,3.4483
29,2015-06-30,2015-08-05,0.24,0.44,-0.2,-45.4545
30,2015-03-31,2015-04-30,0.31,0.41,-0.1,-24.3902
31,2014-12-31,2015-02-19,0.51,0.51,0,0
32,2014-09-30,2014-11-05,0.61,0.58,0.03,5.1724
33,2014-06-30,2014-07-31,0.43,0.42,0.01,2.381
34,2014-03-31,2014-05-01,0.37,0.37,0,0
35,2013-12-31,2014-02-20,0.45,0.4,0.05,12.5
36,2013-09-30,2013-10-31,0.43,0.4,0.03,7.5
37,2013-06-30,2013-08-01,0.33,0.33,0,0
38,2013-03-31,2013-05-02,0.34,0.29,0.05,17.2414
39,2012-12-31,2013-02-21,0.48,0.35,0.13,37.1429
40,2012-09-30,2012-10-31,0.42,0.36,0.06,16.6667
41,2012-06-30,2012-08-02,0.31,0.3,0.01,3.3333
42,2012-03-31,2012-05-03,0.22,0.15,0.07,46.6667
43,2011-12-31,2012-02-22,0.37,0.34,0.03,8.8235
44,2011-09-30,2011-11-02,0.25,0.25,0,0
45,2011-06-30,2011-08-03,0.15,0.15,0,0
46,2011-03-31,2011-05-04,-0.08,0.03,-0.11,-366.6667
47,2010-12-31,2011-02-23,0.16,0.16,0,0
48,2010-09-30,2010-11-03,0.3,0.3,0,0
49,2010-06-30,2010-08-04,0.16,0.18,-0.02,-11.1111
50,2010-03-31,2010-05-05,0.11,0.08,0.03,37.5
51,2009-12-31,2010-02-22,0.21,0.17,0.04,23.5294
52,2009-09-30,2009-11-04,0.21,0.21,0,0
53,2009-06-30,2009-08-05,0.17,0.16,0.01,6.25
54,2009-03-31,2009-05-06,0.11,0.1,0.01,10
55,2008-12-31,2009-02-24,0.24,0.19,0.05,26.3158
56,2008-09-30,2008-11-05,0.29,0.26,0.03,11.5385
57,2008-06-30,2008-08-06,0.22,0.19,0.03,15.7895
58,2008-03-31,2008-05-07,0.14,0.12,0.02,16.6667
59,2007-12-31,2008-02-21,0.18,0.13,0.05,38.4615
60,2007-09-30,2007-11-08,0.3,0.21,0.09,42.8571
61,2007-06-30,2007-08-02,0.17,0.17,0,0
62,2007-03-31,2007-05-03,0.13,0.12,0.01,8.3333
63,2006-12-31,2007-02-22,0.2,0.2,0,0
64,2006-09-30,2006-11-02,0.17,0.17,0,0
65,2006-06-30,2006-08-02,0.14,0.12,0.02,16.6667
66,2006-03-31,2006-05-04,0.07,0.03,0.04,133.3333
67,2005-12-31,2006-02-23,0.15,0.07,0.08,114.2857
68,2005-09-30,2005-11-04,0.11,0.07,0.04,57.1429
69,2005-06-30,2005-08-04,0.03,0.03,0,0
70,2005-03-31,2005-05-05,-0.04,-0.05,0.01,20
71,2004-12-31,2005-03-10,0.02,None,None,None
72,2004-09-30,2004-11-03,0.04,0.04,0,0
73,2004-06-30,2004-08-06,-0.03,-0.04,0.01,25
74,2004-03-31,2004-05-05,-0.1,-0.07,-0.03,-42.8571
75,2003-12-31,2004-02-26,0.04,0.04,0,0
76,2003-09-30,2003-11-13,0.05,0.05,0,0
77,2003-06-30,2003-08-06,0.03,0.03,0,0
78,2003-03-31,2003-05-06,-0.04,-0.06,0.02,33.3333
79,2002-12-31,2003-02-27,0.06,0.05,0.01,20
80,2002-09-30,2002-11-11,0.09,0.1,-0.01,-10
81,2002-06-30,2002-08-13,0.03,0.03,0,0
82,2002-03-31,2002-05-08,0.17,0.16,0.01,6.25
83,2001-12-31,2002-02-14,0.19,0.16,0.03,18.75
84,2001-09-30,2001-11-06,0.34,0.34,0,0
85,2001-06-30,2001-08-01,0.36,0.36,0,0
86,2001-03-31,2001-05-02,0.38,0.38,0,0
87,2000-12-31,2001-02-22,0.49,0.45,0.04,8.8889
88,2000-09-30,2000-11-01,0.53,0.44,0.09,20.4545
89,2000-06-30,2000-08-02,0.42,0.38,0.04,10.5263
90,2000-03-31,2000-05-04,0.28,0.21,0.07,33.3333
91,1999-12-31,2000-02-24,0.39,0.36,0.03,8.3333
92,1999-09-30,1999-11-04,0.35,0.27,0.08,29.6296
93,1999-06-30,1999-08-05,0.23,0.19,0.04,21.0526
94,1999-03-31,1999-05-11,0.11,0.09,0.02,22.2222
95,1998-12-31,1999-02-25,0.18,0.15,0.03,20
96,1998-09-30,1998-11-10,0.2,0.18,0.02,11.1111
97,1998-06-30,1998-08-10,0.12,0.11,0.01,9.0909
98,1998-03-31,1998-05-07,0.05,0.04,0.01,25
