,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-02,2.66,2.54,0.12,4.7244
1,2022-06-30,2022-08-03,2.25,2.12,0.13,6.1321
2,2022-03-31,2022-05-04,3.12,2.93,0.19,6.4846
3,2021-12-31,2022-02-02,2.98,2.76,0.22,7.971
4,2021-09-30,2021-11-03,3.42,3.26,0.16,4.908
5,2021-06-30,2021-08-04,2.83,2.45,0.38,15.5102
6,2021-03-31,2021-05-05,2.74,2.43,0.31,12.7572
7,2020-12-31,2021-02-03,3.08,2.68,0.4,14.9254
8,2020-09-30,2020-11-04,2.43,2.12,0.31,14.6226
9,2020-06-30,2020-07-29,1.5,1.13,0.37,32.7434
10,2020-03-31,2020-05-07,1.57,1.33,0.24,18.0451
11,2019-12-31,2020-01-29,1.86,1.68,0.18,10.7143
12,2019-09-30,2019-10-31,1.52,1.3,0.22,16.9231
13,2019-06-30,2019-08-01,1.36,1.16,0.2,17.2414
14,2019-03-31,2019-05-07,1.22,1.06,0.16,15.0943
15,2018-12-31,2019-02-07,1.85,1.69,0.16,9.4675
16,2018-09-30,2018-10-31,1.75,1.62,0.13,8.0247
17,2018-06-30,2018-08-01,0.96,0.76,0.2,26.3158
18,2018-03-31,2018-05-02,1.07,1.05,0.02,1.9048
19,2017-12-31,2018-01-31,1.69,1.6,0.09,5.625
20,2017-09-30,2017-11-01,1.52,1.44,0.08,5.5556
21,2017-06-30,2017-08-02,0.87,0.8,0.07,8.75
22,2017-03-31,2017-05-03,0.85,0.81,0.04,4.9383
23,2016-12-31,2017-02-01,1.35,1.26,0.09,7.1429
24,2016-09-30,2016-11-03,1.29,1.41,-0.12,-8.5106
25,2016-06-30,2016-08-02,1.08,1.05,0.03,2.8571
26,2016-03-31,2016-05-04,1.04,0.92,0.12,13.0435
27,2015-12-31,2016-02-04,1.03,0.94,0.09,9.5745
28,2015-09-30,2015-11-05,1.22,1.11,0.11,9.9099
29,2015-06-30,2015-07-29,1.09,1.06,0.03,2.8302
30,2015-03-31,2015-05-06,1.11,0.87,0.24,27.5862
31,2014-12-31,2015-01-28,1.29,1.16,0.13,11.2069
32,2014-09-30,2014-11-05,0.854,None,None,None
33,2014-06-30,2014-07-25,0.5247,None,None,None
34,2014-03-31,2014-04-30,-0.0148,None,None,None
35,2013-12-31,2014-01-29,0.0866,None,None,None
36,2013-09-30,2013-10-23,0.0819,None,None,None
37,2013-06-30,2013-07-24,0.0217,None,None,None
38,2013-03-31,2013-04-24,-0.2283,None,None,None
