,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,-5.28,-5.61,0.33,5.8824
1,2022-06-30,2022-07-27,9.79,8.06,1.73,21.464
2,2022-03-31,2022-04-27,10.31,9.42,0.89,9.448
3,2021-12-31,2022-02-09,9.12,8.92,0.2,2.2422
4,2021-09-30,2021-10-27,-1.34,-1.06,-0.28,-26.4151
5,2021-06-30,2021-07-28,14.63,8.67,5.96,68.7428
6,2021-03-31,2021-04-28,6.49,4.61,1.88,40.7809
7,2020-12-31,2021-02-08,-1.12,-1.16,0.04,3.4483
8,2020-09-30,2020-10-29,2.42,1.67,0.75,44.9102
9,2020-06-30,2020-08-05,2.07,1.63,0.44,26.9939
10,2020-03-31,2020-05-06,4.03,3.62,0.41,11.326
11,2019-12-31,2020-02-10,3.2,2.64,0.56,21.2121
12,2019-09-30,2019-10-28,3.39,2.21,1.18,53.3937
13,2019-06-30,2019-07-29,7.85,6.44,1.41,21.8944
14,2019-03-31,2019-05-06,6.91,5.91,1,16.9205
15,2018-12-31,2019-02-11,-5.89,-6.31,0.42,6.6561
16,2018-09-30,2018-10-29,4.09,3.18,0.91,28.6164
17,2018-06-30,2018-07-30,0.98,0.97,0.01,1.0309
18,2018-03-31,2018-04-25,5.34,5.4,-0.06,-1.1111
19,2017-12-31,2018-02-05,13.48,5.17,8.31,160.735
20,2017-09-30,2017-10-30,-16.43,-15.98,-0.45,-2.816
21,2017-06-30,2017-07-24,5.51,5.24,0.27,5.1527
22,2017-03-31,2017-04-24,6.29,5.26,1.03,19.5817
23,2016-12-31,2017-02-06,8.83,3.56,5.27,148.0337
24,2016-09-30,2016-10-24,6.53,4.45,2.08,46.7416
25,2016-06-30,2016-07-25,3.17,2.85,0.32,11.2281
26,2016-03-31,2016-04-25,5.19,5.57,-0.38,-6.8223
27,2015-12-31,2016-02-03,8.17,5.26,2.91,55.3232
28,2015-09-30,2015-10-26,4.53,4.02,0.51,12.6866
29,2015-06-30,2015-07-27,5.03,5.67,-0.64,-11.2875
30,2015-03-31,2015-04-27,7.34,5.93,1.41,23.7774
31,2014-12-31,2015-02-04,7.28,5.66,1.62,28.6219
32,2014-09-30,2014-10-22,6.12,4.79,1.33,27.7662
33,2014-06-30,2014-07-23,5.41,5.89,-0.48,-8.1494
34,2014-03-31,2014-04-23,5.93,5.33,0.6,11.257
35,2013-12-31,2014-02-05,6.28,4.97,1.31,26.3581
36,2013-09-30,2013-10-23,4.2,4.76,-0.56,-11.7647
37,2013-06-30,2013-07-23,5.1,4.25,0.85,20
38,2013-03-31,2013-04-23,5.88,4.39,1.49,33.9408
39,2012-12-31,2013-02-06,0.8,0.29,0.51,175.8621
40,2012-09-30,2012-10-24,4.05,3.74,0.31,8.2888
41,2012-06-30,2012-07-25,4.25,3.8,0.45,11.8421
42,2012-03-31,2012-04-25,4.48,3.45,1.03,29.8551
43,2011-12-31,2012-02-08,-0.94,-0.71,-0.23,-32.3944
44,2011-09-30,2011-10-26,2.7,1.85,0.85,45.9459
45,2011-06-30,2011-07-27,2.46,2.42,0.04,1.6529
46,2011-03-31,2011-04-27,-5.95,-5.83,-0.12,-2.0583
47,2010-12-31,2011-02-09,3.8,2.97,0.83,27.9461
48,2010-09-30,2010-11-01,2.67,2.66,0.01,0.3759
49,2010-06-30,2010-07-28,3.18,2.75,0.43,15.6364
50,2010-03-31,2010-04-28,-1.25,-0.74,-0.51,-68.9189
51,2009-12-31,2010-02-10,3.19,3.38,-0.19,-5.6213
52,2009-09-30,2009-10-28,3.43,3.37,0.06,1.7804
53,2009-06-30,2009-08-03,4.16,2.97,1.19,40.0673
54,2009-03-31,2009-04-29,1.73,2.81,-1.08,-38.4342
55,2008-12-31,2009-02-11,2.93,2.84,0.09,3.169
56,2008-09-30,2008-10-20,0.21,0.27,-0.06,-22.2222
