,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-10,2.23,2.08,0.15,7.2115
1,2022-06-30,2022-08-09,1.88,1.75,0.13,7.4286
2,2022-03-31,2022-05-24,0.49,0.36,0.13,36.1111
3,2021-12-31,2022-02-03,2.94,2.17,0.77,35.4839
4,2021-09-30,2021-11-02,2.62,2,0.62,31
5,2021-06-30,2021-08-03,2.29,0.88,1.41,160.2273
6,2021-03-31,2021-05-20,0.38,-0.73,1.11,152.0548
7,2020-12-31,2021-02-04,1.67,1.63,0.04,2.454
8,2020-09-30,2020-10-29,1.44,0.9,0.54,60
9,2020-06-30,2020-08-04,-1.82,-1.72,-0.1,-5.814
10,2020-03-31,2020-05-27,-0.68,-0.4,-0.28,-70
11,2019-12-31,2020-02-04,2.86,2.45,0.41,16.7347
12,2019-09-30,2019-11-07,2.55,2.39,0.16,6.6946
13,2019-06-30,2019-07-30,1.77,1.66,0.11,6.6265
14,2019-03-31,2019-05-14,1.07,0.9,0.17,18.8889
15,2018-12-31,2019-02-05,2.32,2.15,0.17,7.907
16,2018-09-30,2018-11-06,2.26,2.16,0.1,4.6296
17,2018-06-30,2018-07-31,1.54,1.36,0.18,13.2353
18,2018-03-31,2018-05-23,0.9,0.83,0.07,8.4337
19,2017-12-31,2018-02-01,2.03,1.87,0.16,8.5561
20,2017-09-30,2017-11-02,1.99,1.89,0.1,5.291
21,2017-06-30,2017-08-08,1.11,0.94,0.17,18.0851
22,2017-03-31,2017-05-18,0.89,0.78,0.11,14.1026
23,2016-12-31,2017-02-02,1.86,1.64,0.22,13.4146
24,2016-09-30,2016-11-10,1.9,1.71,0.19,11.1111
25,2016-06-30,2016-08-10,1.06,0.89,0.17,19.1011
26,2016-03-31,2016-05-12,0.88,0.83,0.05,6.0241
27,2015-12-31,2016-02-04,2.27,2.13,0.14,6.5728
28,2015-09-30,2015-11-05,2.13,1.74,0.39,22.4138
29,2015-06-30,2015-08-05,1.09,0.99,0.1,10.101
30,2015-03-31,2015-05-13,1.41,1.32,0.09,6.8182
31,2014-12-31,2015-02-04,2.41,2.5,-0.09,-3.6
32,2014-09-30,2014-10-29,2.25,2.05,0.2,9.7561
33,2014-06-30,2014-08-06,1.83,1.76,0.07,3.9773
34,2014-03-31,2014-05-09,1.69,1.63,0.06,3.681
35,2013-12-31,2014-02-05,2.57,2.51,0.06,2.3904
36,2013-09-30,2013-11-06,2.23,2.2,0.03,1.3636
37,2013-06-30,2013-08-07,1.94,1.94,0,0
38,2013-03-31,2013-05-23,1.41,1.3,0.11,8.4615
39,2012-12-31,2013-02-06,2.4,2.19,0.21,9.589
40,2012-09-30,2012-11-02,2.45,2.15,0.3,13.9535
41,2012-06-30,2012-08-08,2.03,1.78,0.25,14.0449
42,2012-03-31,2012-05-22,0.99,0.84,0.15,17.8571
43,2011-12-31,2012-02-08,1.78,1.67,0.11,6.5868
44,2011-09-30,2011-11-09,2.46,2.24,0.22,9.8214
45,2011-06-30,2011-08-10,1.9,1.46,0.44,30.137
46,2011-03-31,2011-05-25,0.74,0.79,-0.05,-6.3291
47,2010-12-31,2011-02-09,1.72,1.29,0.43,33.3333
48,2010-09-30,2010-11-10,2.09,1.71,0.38,22.2222
49,2010-06-30,2010-08-04,1.21,0.89,0.32,35.9551
50,2010-03-31,2010-05-19,1.14,0.64,0.5,78.125
51,2009-12-31,2010-02-03,1.1,1.01,0.09,8.9109
52,2009-09-30,2009-11-03,1.75,1.31,0.44,33.5878
53,2009-06-30,2009-08-04,0.76,0.5,0.26,52
54,2009-03-31,2009-05-27,0.86,0.4,0.46,115
55,2008-12-31,2009-02-04,1.05,0.86,0.19,22.093
56,2008-09-30,2008-11-05,1.58,1.25,0.33,26.4
57,2008-06-30,2008-08-06,0.93,0.72,0.21,29.1667
58,2008-03-31,2008-05-28,1,0.65,0.35,53.8462
59,2007-12-31,2008-02-06,1.08,0.77,0.31,40.2597
60,2007-09-30,2007-11-07,1.09,1.03,0.06,5.8252
61,2007-06-30,2007-08-08,0.82,0.85,-0.03,-3.5294
62,2007-03-31,2007-05-30,0.68,0.62,0.06,9.6774
63,2006-12-31,2007-02-07,1.03,0.92,0.11,11.9565
64,2006-09-30,2006-11-08,1.28,1.06,0.22,20.7547
65,2006-06-30,2006-08-08,0.74,0.67,0.07,10.4478
66,2006-03-31,2006-05-25,0.58,0.57,0.01,1.7544
67,2005-12-31,2006-02-07,0.84,0.76,0.08,10.5263
68,2005-09-30,2005-11-04,0.97,0.9,0.07,7.7778
69,2005-06-30,2005-08-09,0.48,0.36,0.12,33.3333
70,2005-03-31,2005-06-10,0.81,0.8,0.01,1.25
71,2004-12-31,2005-02-02,0.72,0.72,0,0
72,2004-09-30,2004-11-03,0.76,0.73,0.03,4.1096
73,2004-06-30,2004-08-04,0.14,0.11,0.03,27.2727
74,2004-03-31,2004-05-26,0.79,0.78,0.01,1.2821
75,2003-12-31,2004-02-04,0.47,0.47,0,0
76,2003-09-30,2003-11-05,0.52,0.51,0.01,1.9608
77,2003-06-30,2003-08-06,0.04,0.04,0,0
78,2003-03-31,2003-05-21,0.77,0.77,0,0
79,2002-12-31,2003-02-06,0.47,0.47,0,0
80,2002-09-30,2002-11-06,0.52,0.51,0.01,1.9608
81,2002-06-30,2002-08-07,0.09,0.06,0.03,50
82,2002-03-31,2002-05-22,0.45,0.44,0.01,2.2727
83,2001-12-31,2002-02-07,0.44,0.44,0,0
84,2001-09-30,2001-11-06,0.52,0.51,0.01,1.9608
85,2001-06-30,2001-08-08,0.3,0.3,0,0
86,2001-03-31,2001-05-23,0.44,0.43,0.01,2.3256
87,2000-12-31,2001-02-08,0.52,0.51,0.01,1.9608
88,2000-09-30,2000-11-08,0.5,0.5,0,0
89,2000-06-30,2000-08-09,0.25,0.24,0.01,4.1667
90,2000-03-31,2000-05-24,0.32,0.32,0,0
91,1999-12-31,2000-02-10,0.33,0.33,0,0
92,1999-09-30,1999-11-09,0.56,0.56,0,0
93,1999-06-30,1999-08-10,0.28,0.24,0.04,16.6667
94,1999-03-31,1999-05-25,0.27,0.27,0,0
95,1998-12-31,1999-02-02,0.25,0.25,0,0
96,1998-09-30,1998-11-05,0.5,0.52,-0.02,-3.8462
97,1998-06-30,1998-08-04,0.23,0.2,0.03,15
98,1998-03-31,1998-05-19,0.29,0.28,0.01,3.5714
99,1997-12-31,1998-02-03,0.29,0.27,0.02,7.4074
100,1997-09-30,1997-11-04,0.45,0.43,0.02,4.6512
101,1997-06-30,1997-08-04,0.17,0.15,0.02,13.3333
