,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,1.34,1.22,0.12,9.8361
1,2022-06-30,2022-08-04,1.32,1.18,0.14,11.8644
2,2022-03-31,2022-05-05,1.14,1.05,0.09,8.5714
3,2021-12-31,2022-02-10,1.02,1.01,0.01,0.9901
4,2021-09-30,2021-10-28,1.11,1.05,0.06,5.7143
5,2021-06-30,2021-07-29,1.09,0.96,0.13,13.5417
6,2021-03-31,2021-05-05,0.93,0.86,0.07,8.1395
7,2020-12-31,2021-02-22,1,0.82,0.18,21.9512
8,2020-09-30,2020-11-05,1,0.82,0.18,21.9512
9,2020-06-30,2020-08-06,0.81,0.59,0.22,37.2881
10,2020-03-31,2020-05-05,0.77,0.76,0.01,1.3158
11,2019-12-31,2020-02-13,0.91,0.89,0.02,2.2472
12,2019-09-30,2019-10-30,0.91,0.85,0.06,7.0588
13,2019-06-30,2019-07-25,0.79,0.77,0.02,2.5974
14,2019-03-31,2019-04-25,0.73,0.72,0.01,1.3889
15,2018-12-31,2019-02-07,0.8,0.78,0.02,2.5641
16,2018-09-30,2018-10-25,0.82,0.81,0.01,1.2346
17,2018-06-30,2018-07-26,0.73,0.75,-0.02,-2.6667
18,2018-03-31,2018-05-02,0.74,0.68,0.06,8.8235
19,2017-12-31,2018-02-08,0.61,0.57,0.04,7.0175
20,2017-09-30,2017-11-02,0.67,0.63,0.04,6.3492
21,2017-06-30,2017-07-27,0.61,0.6,0.01,1.6667
22,2017-03-31,2017-04-27,0.55,0.53,0.02,3.7736
23,2016-12-31,2017-02-16,0.57,0.55,0.02,3.6364
24,2016-09-30,2016-10-27,0.62,0.58,0.04,6.8966
25,2016-06-30,2016-07-28,0.55,0.55,0,0
26,2016-03-31,2016-04-28,0.48,0.47,0.01,2.1277
27,2015-12-31,2016-02-11,0.5,0.49,0.01,2.0408
28,2015-09-30,2015-10-29,0.53,0.53,0,0
29,2015-06-30,2015-07-23,0.54,0.51,0.03,5.8824
30,2015-03-31,2015-04-23,0.49,0.43,0.06,13.9535
31,2014-12-31,2015-02-12,0.5,0.48,0.02,4.1667
32,2014-09-30,2014-10-30,0.52,0.53,-0.01,-1.8868
33,2014-06-30,2014-07-24,0.51,0.49,0.02,4.0816
34,2014-03-31,2014-04-24,0.43,0.44,-0.01,-2.2727
35,2013-12-31,2014-02-06,0.53,0.46,0.07,15.2174
36,2013-09-30,2013-10-31,0.55,0.5,0.05,10
37,2013-06-30,2013-07-25,0.43,0.5,-0.07,-14
38,2013-03-31,2013-04-25,0.46,0.41,0.05,12.1951
39,2012-12-31,2013-02-07,0.37,0.43,-0.06,-13.9535
40,2012-09-30,2012-11-01,0.47,0.48,-0.01,-2.0833
41,2012-06-30,2012-07-26,0.59,0.49,0.1,20.4082
42,2012-03-31,2012-04-26,0.38,0.42,-0.04,-9.5238
43,2011-12-31,2012-02-09,0.53,0.45,0.08,17.7778
44,2011-09-30,2011-10-27,0.53,0.5,0.03,6
45,2011-06-30,2011-07-28,0.49,0.48,0.01,2.0833
46,2011-03-31,2011-04-28,0.42,0.41,0.01,2.439
47,2010-12-31,2011-02-10,0.42,0.42,0,0
48,2010-09-30,2010-11-04,0.45,0.46,-0.01,-2.1739
49,2010-06-30,2010-07-29,0.43,0.42,0.01,2.381
50,2010-03-31,2010-04-29,0.41,0.37,0.04,10.8108
51,2009-12-31,2010-02-11,0.33,0.33,0,0
52,2009-09-30,2009-11-02,0.39,0.36,0.03,8.3333
53,2009-06-30,2009-07-29,0.39,0.36,0.03,8.3333
54,2009-03-31,2009-04-30,0.37,0.3,0.07,23.3333
55,2008-12-31,2009-02-27,0.41,0.44,-0.03,-6.8182
56,2008-09-30,2008-10-30,0.49,0.48,0.01,2.0833
57,2008-06-30,2008-07-24,0.46,0.46,0,0
58,2008-03-31,2008-04-23,0.41,0.41,0,0
59,2007-12-31,2008-02-05,0.41,0.41,0,0
60,2007-09-30,2007-11-05,0.46,0.43,0.03,6.9767
61,2007-06-30,2007-07-26,0.42,0.39,0.03,7.6923
62,2007-03-31,2007-04-26,0.37,0.34,0.03,8.8235
63,2006-12-31,2007-02-01,0.34,0.33,0.01,3.0303
64,2006-09-30,2006-10-30,0.39,0.34,0.05,14.7059
65,2006-06-30,2006-07-26,0.35,0.33,0.02,6.0606
66,2006-03-31,2006-04-27,0.31,0.3,0.01,3.3333
67,2005-12-31,2006-02-06,0.29,0.28,0.01,3.5714
68,2005-09-30,2005-11-01,0.3,0.29,0.01,3.4483
69,2005-06-30,2005-07-27,0.29,0.29,0,0
70,2005-03-31,2005-04-28,0.29,0.25,0.04,16
71,2004-12-31,2005-02-08,0.25,0.26,-0.01,-3.8462
72,2004-09-30,2004-11-03,0.27,0.27,0,0
73,2004-06-30,2004-07-28,0.26,0.26,0,0
74,2004-03-31,2004-04-28,0.24,0.22,0.02,9.0909
75,2003-12-31,2004-02-04,0.23,0.23,0,0
76,2003-09-30,2003-11-03,0.19,0.18,0.01,5.5556
77,2003-06-30,2003-07-30,0.25,0.25,0,0
78,2003-03-31,2003-04-29,0.22,0.22,0,0
79,2002-12-31,2003-02-03,0.23,0.23,0,0
80,2002-09-30,2002-10-28,0.25,0.25,0,0
81,2002-06-30,2002-08-01,0.24,0.24,0,0
82,2002-03-31,2002-04-29,0.21,0.2,0.01,5
83,2001-12-31,2002-01-30,0.19,0.2,-0.01,-5
84,2001-09-30,2001-10-29,0.22,0.23,-0.01,-4.3478
85,2001-06-30,2001-07-30,0.23,0.23,0,0
86,2001-03-31,2001-04-30,0.19,0.2,-0.01,-5
87,2000-12-31,2001-01-29,0.22,0.21,0.01,4.7619
88,2000-09-30,2000-10-26,0.23,0.27,-0.04,-14.8148
89,2000-06-30,2000-07-26,0.23,0.22,0.01,4.5455
90,2000-03-31,2000-04-25,0.19,0.19,0,0
91,1999-12-31,2000-01-27,0.19,0.2,-0.01,-5
92,1999-09-30,1999-10-28,0.21,0.21,0,0
93,1999-06-30,1999-07-28,0.21,0.21,0,0
94,1999-03-31,1999-04-29,0.17,0.17,0,0
