,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-03,0.81,0.72,0.09,12.5
1,2022-06-30,2022-08-02,0.84,0.75,0.09,12
2,2022-03-31,2022-05-03,0.59,0.59,0,0
3,2021-12-31,2022-02-01,0.72,0.8,-0.08,-10
4,2021-09-30,2021-10-28,1,0.99,0.01,1.0101
5,2021-06-30,2021-07-27,1.01,0.78,0.23,29.4872
6,2021-03-31,2021-04-27,0.62,0.53,0.09,16.9811
7,2020-12-31,2021-01-26,0.61,0.55,0.06,10.9091
8,2020-09-30,2020-10-29,0.51,0.31,0.2,64.5161
9,2020-06-30,2020-07-28,-0.46,-0.59,0.13,22.0339
10,2020-03-31,2020-04-28,0.32,0.34,-0.02,-5.8824
11,2019-12-31,2020-01-28,0.79,0.76,0.03,3.9474
12,2019-09-30,2019-10-30,0.7,0.7,0,0
13,2019-06-30,2019-07-25,0.78,0.72,0.06,8.3333
14,2019-03-31,2019-04-25,0.6,0.56,0.04,7.1429
15,2018-12-31,2019-01-24,0.75,0.65,0.1,15.3846
16,2018-09-30,2018-11-01,0.62,0.6,0.02,3.3333
17,2018-06-30,2018-07-26,0.62,0.61,0.01,1.6393
18,2018-03-31,2018-04-26,0.53,0.53,0,0
19,2017-12-31,2018-01-25,0.65,0.57,0.08,14.0351
20,2017-09-30,2017-11-02,0.55,0.55,0,0
21,2017-06-30,2017-07-27,0.55,0.55,0,0
22,2017-03-31,2017-04-27,0.45,0.45,0,0
23,2016-12-31,2017-01-26,0.52,0.52,0,0
24,2016-09-30,2016-11-03,0.56,0.55,0.01,1.8182
25,2016-06-30,2016-07-21,0.49,0.49,0,0
26,2016-03-31,2016-04-21,0.39,0.39,0,0
27,2015-12-31,2016-01-21,0.46,0.45,0.01,2.2222
28,2015-09-30,2015-10-29,0.43,0.43,0,0
29,2015-06-30,2015-07-23,0.42,0.41,0.01,2.439
30,2015-03-31,2015-04-23,0.33,0.33,0,0
31,2014-12-31,2015-01-22,0.4,0.4,0,0
32,2014-09-30,2014-10-30,0.37,0.37,0,0
33,2014-06-30,2014-07-24,0.34,0.33,0.01,3.0303
34,2014-03-31,2014-04-24,0.28,0.28,0,0
35,2013-12-31,2014-01-23,0.34,0.35,-0.01,-2.8571
36,2013-09-30,2013-10-30,0.32,0.3,0.02,6.6667
37,2013-06-30,2013-07-25,0.28,0.27,0.01,3.7037
38,2013-03-31,2013-04-25,0.24,0.24,0,0
39,2012-12-31,2013-01-24,0.28,0.29,-0.01,-3.4483
40,2012-09-30,2012-11-01,0.23,0.22,0.01,4.5455
41,2012-06-30,2012-07-26,0.22,0.23,-0.01,-4.3478
42,2012-03-31,2012-04-26,0.2,0.2,0,0
43,2011-12-31,2012-01-26,0.25,0.24,0.01,4.1667
44,2011-09-30,2011-11-03,0.19,0.18,0.01,5.5556
45,2011-06-30,2011-07-28,0.18,0.17,0.01,5.8824
46,2011-03-31,2011-04-27,0.17,0.17,0,0
47,2010-12-31,2011-01-26,0.23,0.2,0.03,15
48,2010-09-30,2010-11-04,0.19,0.16,0.03,18.75
49,2010-06-30,2010-07-21,0.14,0.14,0,0
50,2010-03-31,2010-04-21,0.14,0.12,0.02,16.6667
51,2009-12-31,2010-01-20,0.17,0.14,0.03,21.4286
52,2009-09-30,2009-11-05,0.12,0.1,0.02,20
53,2009-06-30,2009-07-21,0.12,0.09,0.03,33.3333
54,2009-03-31,2009-04-29,0.08,0.07,0.01,14.2857
55,2008-12-31,2009-01-28,0.08,0.08,0,0
56,2008-09-30,2008-11-10,0.05,0.07,-0.02,-28.5714
57,2008-06-30,2008-07-30,0.08,0.09,-0.01,-11.1111
58,2008-03-31,2008-04-30,0.09,0.08,0.01,12.5
59,2007-12-31,2008-01-30,0.14,0.14,0,0
60,2007-09-30,2007-11-15,0.11,0.1,0.01,10
61,2007-06-30,2007-08-01,0.11,0.11,0,0
62,2007-03-31,2007-05-03,0.1,0.1,0,0
63,2006-12-31,2007-01-31,0.13,0.13,0,0
64,2006-09-30,2006-11-16,0.09,0.08,0.01,12.5
65,2006-06-30,2006-08-02,0.09,0.09,0,0
66,2006-03-31,2006-05-03,0.08,0.07,0.01,14.2857
67,2005-12-31,2006-02-01,0.11,0.1,0.01,10
68,2005-09-30,2005-11-17,0.08,0.07,0.01,14.2857
69,2005-06-30,2005-07-27,0.08,0.07,0.01,14.2857
70,2005-03-31,2005-04-27,0.06,0.06,0,0
71,2004-12-31,2005-01-26,0.09,0.09,0,0
72,2004-09-30,2004-11-10,0.06,0.06,0,0
73,2004-06-30,2004-07-21,0.06,0.05,0.01,20
74,2004-03-31,2004-04-21,0.05,0.04,0.01,25
75,2003-12-31,2004-01-21,0.07,0.06,0.01,16.6667
76,2003-09-30,2003-11-13,0.04,0.04,0,0
77,2003-06-30,2003-07-24,0.04,0.04,0,0
78,2003-03-31,2003-04-24,0.03,0.03,0,0
79,2002-12-31,2003-01-23,0.05,0.05,0,0
80,2002-09-30,2002-11-14,0.04,0.04,0,0
81,2002-06-30,2002-07-25,0.04,0.03,0.01,33.3333
82,2002-03-31,2002-04-25,0.03,0.02,0.01,50
83,2001-12-31,2002-01-24,0.04,0.04,0,0
84,2001-09-30,2001-11-15,0.04,0.03,0.01,33.3333
85,2001-06-30,2001-07-26,0.03,0.03,0,0
86,2001-03-31,2001-04-26,0.02,0.02,0,0
87,2000-12-31,2001-01-25,0.03,0.03,0,0
88,2000-09-30,2000-11-16,0.03,0.03,0,0
89,2000-06-30,2000-07-27,0.02,0.02,0,0
90,2000-03-31,2000-04-27,0.02,0.02,0,0
91,1999-12-31,2000-01-27,0.02,0.02,0,0
92,1999-09-30,1999-11-18,0.02,0.02,0,0
93,1999-06-30,1999-07-22,0.02,0.02,0,0
94,1999-03-31,1999-04-22,0.01,0.01,0,0
95,1998-12-31,1999-01-21,0.02,0.02,0,0
96,1998-09-30,1998-11-12,0.02,0.02,0,0
97,1998-06-30,1998-07-23,0.01,0.01,0,0
98,1998-03-31,1998-04-23,0.01,0.01,0,0
99,1997-12-31,1998-01-22,0.02,0.02,0,0
100,1997-09-30,1997-11-13,0.01,0.01,0,0
101,1997-06-30,1997-07-24,0.01,0.01,0,0
102,1997-03-31,1997-04-24,0.01,0.01,0,0
103,1996-12-31,1997-01-23,0.01,0.01,0,0
104,1996-09-30,1996-11-14,0.01,0.01,0,0
105,1996-06-30,1996-07-25,0.01,0.01,0,0
106,1996-03-31,1996-04-25,0,0,0,None
