,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,2.83,2.56,0.27,10.5469
1,2022-06-30,2022-07-27,2.41,2.77,-0.36,-12.9964
2,2022-03-31,2022-04-26,1.61,1.55,0.06,3.871
3,2021-12-31,2022-01-27,1.34,1.38,-0.04,-2.8986
4,2021-09-30,2021-10-26,2.09,2.1,-0.01,-0.4762
5,2021-06-30,2021-07-27,2.65,2.68,-0.03,-1.1194
6,2021-03-31,2021-04-27,2.06,1.65,0.41,24.8485
7,2020-12-31,2021-01-28,1.7,1.62,0.08,4.9383
8,2020-09-30,2020-10-27,2.76,2.6,0.16,6.1538
9,2020-06-30,2020-07-28,2.37,1.95,0.42,21.5385
10,2020-03-31,2020-04-29,1.36,1.31,0.05,3.8168
11,2019-12-31,2020-01-30,1.42,1.46,-0.04,-2.7397
12,2019-09-30,2019-10-22,2.22,2.16,0.06,2.7778
13,2019-06-30,2019-07-23,2.19,2.13,0.06,2.8169
14,2019-03-31,2019-04-23,1.2,1.22,-0.02,-1.6393
15,2018-12-31,2019-01-31,3.54,3.55,-0.01,-0.2817
16,2018-09-30,2018-10-25,5.68,5.74,-0.06,-1.0453
17,2018-06-30,2018-07-24,5.73,5.66,0.07,1.2367
18,2018-03-31,2018-04-24,3.57,3.13,0.44,14.0575
19,2017-12-31,2018-01-25,3.16,3.11,0.05,1.6077
20,2017-09-30,2017-10-24,4.75,4.65,0.1,2.1505
21,2017-06-30,2017-07-20,4.52,4.57,-0.05,-1.0941
22,2017-03-31,2017-04-20,2.61,2.08,0.53,25.4808
23,2016-12-31,2017-01-26,2.42,2.21,0.21,9.5023
24,2016-09-30,2016-10-25,4.23,4.32,-0.09,-2.0833
25,2016-06-30,2016-07-21,4.06,4.16,-0.1,-2.4038
26,2016-03-31,2016-04-21,1.81,1.62,0.19,11.7284
27,2015-12-31,2016-01-28,2.12,1.87,0.25,13.369
28,2015-09-30,2015-10-29,3.97,3.86,0.11,2.8497
29,2015-06-30,2015-07-16,3.7,3.81,-0.11,-2.8871
30,2015-03-31,2015-04-16,1.38,1.44,-0.06,-4.1667
31,2014-12-31,2015-01-29,1.37,1.38,-0.01,-0.7246
32,2014-09-30,2014-10-28,3.35,3.2,0.15,4.6875
33,2014-06-30,2014-07-17,2.94,2.93,0.01,0.3413
34,2014-03-31,2014-04-17,1.26,1.09,0.17,15.5963
35,2013-12-31,2014-01-30,1.27,1.35,-0.08,-5.9259
36,2013-09-30,2013-10-25,2.68,2.64,0.04,1.5152
37,2013-06-30,2013-07-18,2.54,2.58,-0.04,-1.5504
38,2013-03-31,2013-04-18,1.11,1.1,0.01,0.9091
39,2012-12-31,2013-01-31,1.12,1.16,-0.04,-3.4483
40,2012-09-30,2012-10-25,2.24,2.2,0.04,1.8182
41,2012-06-30,2012-07-19,2.17,2.13,0.04,1.8779
42,2012-03-31,2012-04-19,0.95,0.88,0.07,7.9545
43,2011-12-31,2012-01-26,0.84,0.83,0.01,1.2048
44,2011-09-30,2011-10-25,1.71,1.69,0.02,1.1834
45,2011-06-30,2011-07-21,1.66,1.76,-0.1,-5.6818
46,2011-03-31,2011-04-21,0.63,0.52,0.11,21.1538
47,2010-12-31,2011-01-25,0.71,0.65,0.06,9.2308
48,2010-09-30,2010-10-26,1.6,1.68,-0.08,-4.7619
49,2010-06-30,2010-07-22,1.72,1.64,0.08,4.878
50,2010-03-31,2010-04-22,0.4,0.4,0,0
51,2009-12-31,2010-01-26,0.71,0.52,0.19,36.5385
52,2009-09-30,2009-10-20,1.51,1.35,0.16,11.8519
53,2009-06-30,2009-07-21,1.35,1.31,0.04,3.0534
54,2009-03-31,2009-04-16,0.32,0.21,0.11,52.381
55,2008-12-31,2009-01-22,0.6,0.53,0.07,13.2075
56,2008-09-30,2008-10-16,1.5,1.27,0.23,18.1102
57,2008-06-30,2008-07-17,1.57,1.38,0.19,13.7681
58,2008-03-31,2008-04-22,0.64,0.59,0.05,8.4746
59,2007-12-31,2008-01-29,0.8,0.84,-0.04,-4.7619
60,2007-09-30,2007-10-23,1.55,1.51,0.04,2.649
61,2007-06-30,2007-07-19,1.52,1.44,0.08,5.5556
62,2007-03-31,2007-04-19,0.83,0.83,0,0
63,2006-12-31,2007-01-25,0.73,0.67,0.06,8.9552
64,2006-09-30,2006-10-19,1.3,1.27,0.03,2.3622
65,2006-06-30,2006-07-20,1.33,1.25,0.08,6.4
66,2006-03-31,2006-04-20,0.82,0.75,0.07,9.3333
67,2005-12-31,2006-01-26,0.54,0.53,0.01,1.8868
68,2005-09-30,2005-10-25,1.07,1.1,-0.03,-2.7273
69,2005-06-30,2005-07-21,1.08,1.03,0.05,4.8544
70,2005-03-31,2005-04-21,0.58,0.55,0.03,5.4545
71,2004-12-31,2005-02-03,0.57,0.56,0.01,1.7857
72,2004-09-30,2004-10-21,0.92,0.91,0.01,1.0989
73,2004-06-30,2004-07-22,0.87,0.86,0.01,1.1628
74,2004-03-31,2004-04-29,0.35,0.34,0.01,2.9412
75,2003-12-31,2004-02-05,0.48,0.45,0.03,6.6667
76,2003-09-30,2003-10-28,0.82,0.78,0.04,5.1282
77,2003-06-30,2003-07-22,0.75,0.75,0,0
78,2003-03-31,2003-04-22,0.21,0.21,0,0
79,2002-12-31,2003-02-06,0.38,0.39,-0.01,-2.5641
80,2002-09-30,2002-10-22,0.73,0.7,0.03,4.2857
81,2002-06-30,2002-07-18,0.7,0.69,0.01,1.4493
82,2002-03-31,2002-04-18,0.23,0.21,0.02,9.5238
83,2001-12-31,2002-02-07,0.29,0.29,0,0
84,2001-09-30,2001-10-18,0.58,0.6,-0.02,-3.3333
85,2001-06-30,2001-07-25,0.58,0.58,0,0
86,2001-03-31,2001-04-23,0.23,0.22,0.01,4.5455
87,2000-12-31,2001-02-08,0.29,0.28,0.01,3.5714
88,2000-09-30,2000-10-18,0.66,0.73,-0.07,-9.589
89,2000-06-30,2000-07-20,0.71,0.71,0,0
90,2000-03-31,2000-04-25,0.25,0.24,0.01,4.1667
91,1999-12-31,2000-02-03,0.34,0.31,0.03,9.6774
92,1999-09-30,1999-10-26,0.66,0.64,0.02,3.125
93,1999-06-30,1999-07-20,0.63,0.62,0.01,1.6129
94,1999-03-31,1999-04-20,0.17,0.15,0.02,13.3333
95,1998-12-31,1999-02-04,0.28,0.28,0,0
96,1998-09-30,1998-10-19,0.58,0.57,0.01,1.7544
97,1998-06-30,1998-07-21,0.58,0.57,0.01,1.7544
98,1998-03-31,1998-04-20,0.14,0.14,0,0
99,1997-12-31,1998-02-05,0.26,0.26,0,0
100,1997-09-30,1997-10-20,0.57,0.57,0,0
101,1997-06-30,1997-07-17,0.54,0.54,0,0
102,1997-03-31,1997-04-14,0.13,0.13,0,0
103,1996-12-31,1997-01-30,0.23,0.23,0,0
104,1996-09-30,1996-10-14,0.51,0.5,0.01,2
105,1996-06-30,1996-07-15,0.48,0.47,0.01,2.1277
106,1996-03-31,1996-04-18,0.12,0.11,0.01,9.0909
