,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,1.65,1.44,0.21,14.5833
1,2022-06-30,2022-08-01,1.51,1.43,0.08,5.5944
2,2022-03-31,2022-05-09,1.3,1.29,0.01,0.7752
3,2021-12-31,2022-02-07,1.53,1.44,0.09,6.25
4,2021-09-30,2021-11-01,2.07,1.09,0.98,89.9083
5,2021-06-30,2021-08-02,1.88,1.01,0.87,86.1386
6,2021-03-31,2021-05-10,1.36,0.96,0.4,41.6667
7,2020-12-31,2021-02-08,0.86,0.88,-0.02,-2.2727
8,2020-09-30,2020-11-09,0.48,0.9,-0.42,-46.6667
9,2020-06-30,2020-08-10,0.83,0.98,-0.15,-15.3061
10,2020-03-31,2020-05-04,-0.05,-0.01,-0.04,-400
11,2019-12-31,2020-02-04,1.66,1.56,0.1,6.4103
12,2019-09-30,2019-10-30,1.77,1.7,0.07,4.1176
13,2019-06-30,2019-07-31,1.6,1.65,-0.05,-3.0303
14,2019-03-31,2019-04-30,1.78,1.67,0.11,6.5868
15,2018-12-31,2019-02-01,2.3,1.9,0.4,21.0526
16,2018-09-30,2018-10-25,1.8,1.73,0.07,4.0462
17,2018-06-30,2018-07-30,1.77,1.64,0.13,7.9268
18,2018-03-31,2018-04-27,2,1.52,0.48,31.5789
19,2017-12-31,2018-01-31,1.84,1.77,0.07,3.9548
20,2017-09-30,2017-10-27,1.65,1.63,0.02,1.227
21,2017-06-30,2017-08-01,1.23,1.24,-0.01,-0.8065
22,2017-03-31,2017-04-27,1.53,1.48,0.05,3.3784
23,2016-12-31,2017-01-31,1.26,1.45,-0.19,-13.1034
24,2016-09-30,2016-10-26,1.61,1.49,0.12,8.0537
25,2016-06-30,2016-07-27,1.45,1.43,0.02,1.3986
26,2016-03-31,2016-04-26,1.55,1.28,0.27,21.0938
27,2015-12-31,2016-01-29,1.6,1.22,0.38,31.1475
28,2015-09-30,2015-10-27,1.36,1.29,0.07,5.4264
29,2015-06-30,2015-07-24,1.52,1.22,0.3,24.5902
30,2015-03-31,2015-04-24,1.16,1.06,0.1,9.434
31,2014-12-31,2015-01-30,1.3,1.32,-0.02,-1.5152
32,2014-09-30,2014-10-22,0.81,0.83,-0.02,-2.4096
33,2014-06-30,2014-07-23,1.43,0.96,0.47,48.9583
34,2014-03-31,2014-04-22,1.1,1,0.1,10
35,2013-12-31,2014-01-31,1.23,1.16,0.07,6.0345
36,2013-09-30,2013-10-25,1,0.95,0.05,5.2632
37,2013-06-30,2013-07-29,1.1,0.88,0.22,25
38,2013-03-31,2013-04-26,0.91,0.77,0.14,18.1818
39,2012-12-31,2013-02-04,1.01,1.08,-0.07,-6.4815
40,2012-09-30,2012-10-25,0.84,0.78,0.06,7.6923
41,2012-06-30,2012-07-24,0.71,0.93,-0.22,-23.6559
42,2012-03-31,2012-04-27,2.18,0.84,1.34,159.5238
43,2011-12-31,2012-02-03,1.24,0.9,0.34,37.7778
44,2011-09-30,2011-10-25,0.93,0.68,0.25,36.7647
45,2011-06-30,2011-07-26,0.7,0.61,0.09,14.7541
46,2011-03-31,2011-04-29,0.61,0.54,0.07,12.963
47,2010-12-31,2011-02-04,0.74,0.77,-0.03,-3.8961
48,2010-09-30,2010-11-01,0.79,0.39,0.4,102.5641
49,2010-06-30,2010-07-30,0.52,0.46,0.06,13.0435
50,2010-03-31,2010-04-30,0.03,-0.22,0.25,113.6364
51,2009-12-31,2010-02-05,0.32,0.46,-0.14,-30.4348
52,2009-09-30,2009-10-30,0.38,0.35,0.03,8.5714
53,2009-06-30,2009-08-04,-0.08,0.31,-0.39,-125.8065
54,2009-03-31,2009-05-01,0.45,0.25,0.2,80
55,2008-12-31,2009-01-30,0.64,0.8,-0.16,-20
56,2008-09-30,2008-11-03,0.5,0.46,0.04,8.6957
57,2008-06-30,2008-07-28,0.34,0.39,-0.05,-12.8205
58,2008-03-31,2008-04-29,0.39,0.35,0.04,11.4286
59,2007-12-31,2008-02-01,0.6,0.61,-0.01,-1.6393
60,2007-09-30,2007-10-29,0.74,0.43,0.31,72.093
61,2007-06-30,2007-07-30,0.27,0.41,-0.14,-34.1463
62,2007-03-31,2007-04-27,0.44,0.33,0.11,33.3333
63,2006-12-31,2007-02-02,0.92,0.68,0.24,35.2941
64,2006-09-30,2006-10-30,0.43,0.32,0.11,34.375
65,2006-06-30,2006-07-31,0.37,0.28,0.09,32.1429
66,2006-03-31,2006-04-28,0.47,0.21,0.26,123.8095
67,2005-12-31,2006-02-06,0.44,0.59,-0.15,-25.4237
68,2005-09-30,2005-10-27,0.3,0.16,0.14,87.5
69,2005-06-30,2005-07-28,0.27,0.23,0.04,17.3913
70,2005-03-31,2005-04-28,0.26,0.12,0.14,116.6667
71,2004-12-31,2005-02-10,0.49,0.7,-0.21,-30
72,2004-09-30,2004-10-27,0.3517,None,None,None
73,2004-06-30,2004-07-28,0.34,0.35,-0.01,-2.8571
74,2004-03-31,2004-05-06,0.24,0.36,-0.12,-33.3333
75,2003-12-31,2004-02-05,0.64,0.64,0,0
76,2003-09-30,2003-10-30,0.29,0.36,-0.07,-19.4444
77,2003-06-30,2003-07-31,0.4353,None,None,None
78,2003-03-31,2003-05-07,0.29,0.26,0.03,11.5385
79,2002-12-31,2003-02-07,0.5064,None,None,None
80,2002-09-30,2002-10-31,0.33,0.33,0,0
81,2002-06-30,2002-07-31,0.91,0.39,0.52,133.3333
82,2002-03-31,2002-05-09,0.1687,None,None,None
83,2001-12-31,2002-02-07,0.2445,0.21,0.0345,16.4286
84,2001-09-30,2001-11-08,0.2056,None,None,None
85,2001-06-30,2001-08-08,0.2079,None,None,None
86,2001-03-31,2001-03-31,0.1718,None,None,None
87,2000-12-31,2000-12-31,0.426,None,None,None
88,2000-09-30,2000-09-30,0.2411,None,None,None
89,2000-06-30,2000-06-30,0.2391,None,None,None
90,2000-03-31,2000-03-31,0.1629,None,None,None
91,1999-12-31,1999-12-31,0.2805,None,None,None
92,1999-09-30,1999-09-30,0.2295,None,None,None
93,1999-06-30,1999-06-30,0.22,None,None,None
94,1999-03-31,1999-03-31,0.2066,None,None,None
95,1998-12-31,1998-12-31,0.4071,None,None,None
96,1998-09-30,1998-09-30,0.2406,None,None,None
97,1998-06-30,1998-06-30,0.2387,None,None,None
98,1998-03-31,1998-03-31,0.2125,None,None,None
