,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-07-31,2022-10-26,0.48,0.72,-0.24,-33.3333
1,2022-04-30,2022-07-21,1.59,1.9,-0.31,-16.3158
2,2022-01-31,2022-04-27,1.81,1.84,-0.03,-1.6304
3,2021-10-31,2022-01-26,2.41,2.37,0.04,1.6878
4,2021-07-31,2021-10-22,2.35,2.22,0.13,5.8559
5,2021-04-30,2021-07-21,2,1.89,0.11,5.8201
6,2021-01-31,2021-04-22,1.48,1.32,0.16,12.1212
7,2020-10-31,2021-01-21,1.29,1.13,0.16,14.1593
8,2020-07-31,2020-10-22,0.93,0.89,0.04,4.4944
9,2020-04-30,2020-07-28,1.2,1.29,-0.09,-6.9767
10,2020-01-31,2020-02-04,1.35,1.32,0.03,2.2727
11,2019-10-31,2019-11-01,1.03,1.01,0.02,1.9802
12,2019-07-31,2019-08-02,0.86,0.84,0.02,2.381
13,2019-04-30,2019-06-28,3.5394,None,None,None
14,2019-01-31,2019-02-04,1.41,1.27,0.14,11.0236
15,2018-10-31,2018-11-02,1.7,1.55,0.15,9.6774
16,2018-07-31,2018-09-28,1.54,1.46,0.08,5.4795
17,2018-04-30,2018-05-01,1.46,1.33,0.13,9.7744
18,2018-01-31,2018-03-30,1.31,1.33,-0.02,-1.5038
19,2017-10-31,2018-01-29,1.48,1.35,0.13,9.6296
20,2017-07-31,2017-10-23,0.96,0.86,0.1,11.6279
21,2017-04-30,2017-07-25,0.65,0.98,-0.33,-33.6735
22,2017-01-31,2017-04-26,1.1,1.07,0.03,2.8037
23,2016-10-31,2017-01-24,1.38,1.08,0.3,27.7778
24,2016-07-31,2016-08-02,0.69,0.6,0.09,15
25,2016-04-30,2016-07-01,0.2296,0,0.2296,None
26,2016-01-31,2016-04-29,0.22,0.37,-0.15,-40.5405
27,2015-10-31,2016-01-29,0.82,0.71,0.11,15.493
28,2015-07-31,2015-10-30,0.54,0.5,0.04,8
29,2015-04-30,2015-07-31,0.77,0.64,0.13,20.3125
30,2015-01-31,2015-04-17,1.08,1.04,0.04,3.8462
31,2014-10-31,2015-01-26,1.35,1.35,0,0
32,2014-07-31,2014-10-27,1.34,1.25,0.09,7.2
33,2014-04-30,2014-07-17,1.1,1.1,0,0
34,2014-01-31,2014-04-29,1.34,1.25,0.09,7.2
35,2013-10-31,2014-01-27,1.32,1.38,-0.06,-4.3478
36,2013-07-31,2013-10-28,1.29,1.3,-0.01,-0.7692
37,2013-04-30,2013-05-01,1.26,1.15,0.11,9.5652
38,2013-01-31,2013-03-29,1.13,0,1.13,None
39,2012-10-31,2013-01-28,1.38,1.27,0.11,8.6614
40,2012-07-31,2012-10-31,1.45,1.67,-0.22,-13.1737
41,2012-04-30,2012-07-30,2.41,2.51,-0.1,-3.9841
42,2012-01-31,2012-04-17,2.64,2.11,0.53,25.1185
43,2011-10-31,2012-01-31,1.32,1.08,0.24,22.2222
44,2011-07-31,2011-10-20,0.34,0.31,0.03,9.6774
45,2011-04-30,2011-07-20,0.28,0.25,0.03,12
46,2011-01-31,2011-04-19,0.25,0.27,-0.02,-7.4074
47,2010-10-31,2011-01-19,0.33,0.33,0,0
48,2010-07-31,2010-10-20,0.37,0.45,-0.08,-17.7778
49,2010-04-30,2010-07-20,0.7,0.77,-0.07,-9.0909
50,2010-01-31,2010-04-20,1.03,0.94,0.09,9.5745
51,2009-10-31,2010-01-20,1.04,0.66,0.38,57.5758
52,2009-07-31,2009-10-20,0.58,0.47,0.11,23.4043
53,2009-04-30,2009-07-21,0.05,-0.1,0.15,150
54,2009-01-31,2009-04-21,-0.45,-0.45,0,0
55,2008-10-31,2009-01-21,-0.23,-0.05,-0.18,-360
56,2008-07-31,2008-10-22,0.26,0.22,0.04,18.1818
57,2008-04-30,2008-07-15,0.44,0.42,0.02,4.7619
58,2008-01-31,2008-04-15,0.7,0.69,0.01,1.4493
59,2007-10-31,2008-01-17,0.8,0.75,0.05,6.6667
60,2007-07-31,2007-10-16,0.69,0.64,0.05,7.8125
61,2007-04-30,2007-07-19,0.38,0.36,0.02,5.5556
62,2007-01-31,2007-04-17,0.47,0.51,-0.04,-7.8431
63,2006-10-31,2007-01-23,0.39,0.32,0.07,21.875
64,2006-07-31,2006-08-08,0.27,0.41,-0.14,-34.1463
65,2006-01-31,2006-04-18,0.53,0.52,0.01,1.9231
66,2005-10-31,2006-01-18,0.57,0.52,0.05,9.6154
67,2005-07-31,2005-10-18,0.57,0.54,0.03,5.5556
68,2005-04-30,2005-07-19,0.55,0.51,0.04,7.8431
69,2005-01-31,2005-04-19,0.45,0.37,0.08,21.6216
70,2004-10-31,2005-01-18,0.29,0.24,0.05,20.8333
71,2004-07-31,2004-10-19,0.08,0.04,0.04,100
72,2004-04-30,2004-07-21,0.01,None,None,None
73,2004-01-31,2004-04-20,0.07,0.07,0,0
74,2003-10-31,2004-01-20,0.41,0.45,-0.04,-8.8889
75,2003-07-31,2003-08-15,0.33,0.31,0.02,6.4516
76,2003-04-30,2003-05-15,0.37,0.28,0.09,32.1429
77,2003-01-31,2003-02-10,0.4276,None,None,None
