,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-08-31,2022-10-06,3.17,2.81,0.36,12.8114
1,2022-05-31,2022-06-30,2.66,2.51,0.15,5.9761
2,2022-02-28,2022-04-07,2.37,2.1,0.27,12.8571
3,2021-11-30,2022-01-06,3.12,2.76,0.36,13.0435
4,2021-08-31,2021-10-06,2.38,2.77,-0.39,-14.0794
5,2021-05-31,2021-06-30,2.33,2.34,-0.01,-0.4274
6,2021-02-28,2021-04-08,1.82,1.55,0.27,17.4194
7,2020-11-30,2021-01-07,3.09,2.39,0.7,29.2887
8,2020-08-31,2020-10-01,2.76,2.51,0.25,9.9602
9,2020-05-31,2020-07-01,2.3,2.01,0.29,14.4279
10,2020-02-29,2020-04-03,2.06,1.65,0.41,24.8485
11,2019-11-30,2020-01-08,2.14,1.83,0.31,16.9399
12,2019-08-31,2019-10-03,2.72,2.6,0.12,4.6154
13,2019-05-31,2019-06-28,2.21,2.05,0.16,7.8049
14,2019-02-28,2019-04-04,1.84,1.71,0.13,7.6023
15,2018-11-30,2019-01-09,2.37,2.06,0.31,15.0485
16,2018-08-31,2018-10-04,2.87,2.6,0.27,10.3846
17,2018-05-31,2018-06-29,2.2,2.43,-0.23,-9.465
18,2018-02-28,2018-03-29,1.9,1.75,0.15,8.5714
19,2017-11-30,2018-01-05,2,1.89,0.11,5.8201
20,2017-08-31,2017-10-05,2.47,2.17,0.3,13.8249
21,2017-05-31,2017-06-29,2.34,1.98,0.36,18.1818
22,2017-02-28,2017-04-06,1.48,1.36,0.12,8.8235
23,2016-11-30,2017-01-05,1.96,1.72,0.24,13.9535
24,2016-08-31,2016-10-05,1.77,1.65,0.12,7.2727
25,2016-05-31,2016-06-30,1.54,1.52,0.02,1.3158
26,2016-02-29,2016-04-06,1.19,1.14,0.05,4.386
27,2015-11-30,2016-01-07,1.42,1.3,0.12,9.2308
28,2015-08-31,2015-10-07,1.56,1.32,0.24,18.1818
29,2015-05-31,2015-07-01,1.26,1.23,0.03,2.439
30,2015-02-28,2015-04-09,1.03,0.94,0.09,9.5745
31,2014-11-30,2015-01-08,1.23,1.14,0.09,7.8947
32,2014-08-31,2014-10-02,1.11,1.15,-0.04,-3.4783
33,2014-05-31,2014-07-02,1.07,0.93,0.14,15.0538
34,2014-02-28,2014-04-09,0.81,0.76,0.05,6.5789
35,2013-11-30,2014-01-08,1.1,0.91,0.19,20.8791
36,2013-08-31,2013-10-03,0.96,0.88,0.08,9.0909
37,2013-05-31,2013-07-02,0.38,0.4,-0.02,-5
38,2013-02-28,2013-04-10,0.47,0.45,0.02,4.4444
39,2012-11-30,2013-01-09,0.63,0.55,0.08,14.5455
40,2012-08-31,2012-10-05,0.71,0.54,0.17,31.4815
41,2012-05-31,2012-06-29,0.4,0.39,0.01,2.5641
42,2012-02-29,2012-04-05,0.69,0.39,0.3,76.9231
43,2011-11-30,2012-01-05,0.5,0.52,-0.02,-3.8462
44,2011-08-31,2011-10-06,0.77,0.66,0.11,16.6667
45,2011-05-31,2011-06-30,0.39,0.37,0.02,5.4054
46,2011-02-28,2011-04-07,0.35,0.27,0.08,29.6296
47,2010-11-30,2011-01-06,0.66,0.62,0.04,6.4516
48,2010-08-31,2010-10-06,0.52,0.49,0.03,6.1224
49,2010-05-31,2010-07-01,0.38,0.35,0.03,8.5714
50,2010-02-28,2010-04-09,0.27,0.24,0.03,12.5
51,2009-11-30,2010-01-07,0.54,0.52,0.02,3.8462
52,2009-08-31,2009-10-01,0.54,0.41,0.13,31.7073
53,2009-05-31,2009-07-01,0.33,0.32,0.01,3.125
54,2009-02-28,2009-04-08,0.21,0.22,-0.01,-4.5455
55,2008-11-30,2009-01-07,0.6,0.59,0.01,1.6949
56,2008-08-31,2008-10-02,0.45,0.44,0.01,2.2727
57,2008-05-31,2008-07-01,0.34,0.31,0.03,9.6774
58,2008-02-29,2008-04-03,0.34,0.25,0.09,36
59,2007-11-30,2008-01-08,0.55,0.55,0,0
60,2007-08-31,2007-10-04,0.35,0.32,0.03,9.375
61,2007-05-31,2007-06-28,0.21,0.15,0.06,40
62,2007-02-28,2007-04-05,0.35,0.34,0.01,2.9412
63,2006-11-30,2007-01-04,0.58,0.6,-0.02,-3.3333
64,2006-08-31,2006-10-05,0.43,0.43,0,0
65,2006-05-31,2006-06-29,0.31,0.32,-0.01,-3.125
66,2006-02-28,2006-04-06,0.36,0.36,0,0
67,2005-11-30,2006-01-05,0.52,0.5,0.02,4
68,2005-08-31,2005-10-06,0.41,0.41,0,0
69,2005-05-31,2005-06-30,0.3,0.3,0,0
70,2005-02-28,2005-04-07,0.31,0.29,0.02,6.8966
71,2004-11-30,2005-01-06,0.42,0.42,0,0
72,2004-08-31,2004-09-30,0.36,0.35,0.01,2.8571
73,2004-05-31,2004-06-30,0.26,0.25,0.01,4
74,2004-02-29,2004-04-07,0.27,0.27,0,0
75,2003-11-30,2004-01-06,0.4,0.4,0,0
76,2003-08-31,2003-09-30,0.32,0.32,0,0
77,2003-05-31,2003-07-01,0.25,0.24,0.01,4.1667
78,2003-02-28,2003-04-09,0.22,0.2,0.02,10
79,2002-11-30,2003-01-06,0.35,0.34,0.01,2.9412
80,2002-08-31,2002-09-25,0.27,0.27,0,0
81,2002-05-31,2002-06-26,0.2,0.18,0.02,11.1111
82,2002-02-28,2002-04-10,0.16,0.16,0,0
83,2001-11-30,2002-01-02,0.28,0.27,0.01,3.7037
84,2001-08-31,2001-10-02,0.21,0.2,0.01,5
85,2001-05-31,2001-06-28,0.14,0.14,0,0
86,2001-02-28,2001-04-12,0.12,0.12,0,0
87,2000-11-30,2001-01-04,0.23,0.23,0,0
88,2000-08-31,2000-09-27,0.18,0.17,0.01,5.8824
89,2000-05-31,2000-06-22,0.12,0.11,0.01,9.0909
90,2000-02-29,2000-04-11,0.11,0.1,0.01,10
91,1999-11-30,2000-01-04,0.2,0.19,0.01,5.2632
92,1999-08-31,1999-09-27,0.14,0.13,0.01,7.6923
93,1999-05-31,1999-06-23,0.1,0.1,0,0
94,1999-02-28,1999-04-15,0.09,0.09,0,0
95,1998-11-30,1998-12-22,0.13,0.13,0,0
96,1998-08-31,1998-09-29,0.1,0.1,0,0
97,1998-05-31,1998-06-24,0.09,0.08,0.01,12.5
98,1998-02-28,1998-04-09,0.07,0.06,0.01,16.6667
99,1997-11-30,1997-12-23,0.11,0.09,0.02,22.2222
100,1997-08-31,1997-09-30,0.08,0.06,0.02,33.3333
101,1997-05-31,1997-07-08,0.06,0.06,0,0
102,1997-02-28,1997-04-28,0.04,0.04,0,0
103,1996-11-30,1997-01-14,0.05,0.04,0.01,25
104,1996-08-31,1996-10-11,0.03,0.03,0,0
105,1996-05-31,1996-07-12,0.05,0.06,-0.01,-16.6667
