,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,1.78,1.83,-0.05,-2.7322
1,2022-06-30,2022-08-04,2.05,2.08,-0.03,-1.4423
2,2022-03-31,2022-05-04,2.14,2,0.14,7
3,2021-12-31,2022-02-01,1.88,1.79,0.09,5.0279
4,2021-09-30,2021-11-02,1.83,1.72,0.11,6.3953
5,2021-06-30,2021-08-05,1.87,1.7,0.17,10
6,2021-03-31,2021-05-06,1.79,1.55,0.24,15.4839
7,2020-12-31,2021-02-02,1.62,1.37,0.25,18.2482
8,2020-09-30,2020-11-05,1.43,1.09,0.34,31.1927
9,2020-06-30,2020-08-04,1,0.75,0.25,33.3333
10,2020-03-31,2020-04-30,1.39,1.15,0.24,20.8696
11,2019-12-31,2020-02-04,1.08,1.13,-0.05,-4.4248
12,2019-09-30,2019-10-29,1.06,1.05,0.01,0.9524
13,2019-06-30,2019-08-06,1.25,1.33,-0.08,-6.015
14,2019-03-31,2019-04-30,1.21,1.14,0.07,6.1404
15,2018-12-31,2019-02-05,1.06,0.98,0.08,8.1633
16,2018-09-30,2018-10-30,0.98,0.95,0.03,3.1579
17,2018-06-30,2018-08-07,1.34,1.29,0.05,3.876
18,2018-03-31,2018-05-02,1.21,1.14,0.07,6.1404
19,2017-12-31,2018-02-06,1.02,0.92,0.1,10.8696
20,2017-09-30,2017-10-31,0.9,0.88,0.02,2.2727
21,2017-06-30,2017-08-08,1.09,0.99,0.1,10.101
22,2017-03-31,2017-05-02,0.97,0.93,0.04,4.3011
23,2016-12-31,2017-02-07,0.81,0.85,-0.04,-4.7059
24,2016-09-30,2016-10-31,0.84,0.79,0.05,6.3291
25,2016-06-30,2016-08-17,0.92,0.96,-0.04,-4.1667
26,2016-03-31,2016-05-03,1.01,0.89,0.12,13.4831
27,2015-12-31,2016-02-02,0.88,0.82,0.06,7.3171
28,2015-09-30,2015-10-28,0.79,0.85,-0.06,-7.0588
29,2015-06-30,2015-08-06,0.87,0.86,0.01,1.1628
30,2015-03-31,2015-05-05,0.86,0.9,-0.04,-4.4444
31,2014-12-31,2015-02-03,0.82,0.86,-0.04,-4.6512
32,2014-09-30,2014-10-28,0.85,0.87,-0.02,-2.2989
33,2014-06-30,2014-08-11,0.88,0.85,0.03,3.5294
34,2014-03-31,2014-04-28,0.94,0.89,0.05,5.618
35,2013-12-31,2014-02-04,0.75,0.8,-0.05,-6.25
36,2013-09-30,2013-10-29,0.83,0.8,0.03,3.75
37,2013-06-30,2013-08-06,0.82,0.83,-0.01,-1.2048
38,2013-03-31,2013-04-30,0.88,0.9,-0.02,-2.2222
39,2012-12-31,2013-02-05,0.74,0.77,-0.03,-3.8961
40,2012-09-30,2012-10-23,0.75,0.8,-0.05,-6.25
41,2012-06-30,2012-07-31,0.8,0.85,-0.05,-5.8824
42,2012-03-31,2012-05-01,0.9,0.89,0.01,1.1236
43,2011-12-31,2012-01-31,0.76,0.79,-0.03,-3.7975
44,2011-09-30,2011-10-25,0.81,0.84,-0.03,-3.5714
45,2011-06-30,2011-08-02,0.85,0.77,0.08,10.3896
46,2011-03-31,2011-05-03,0.84,0.8,0.04,5
47,2010-12-31,2011-02-01,0.69,0.68,0.01,1.4706
48,2010-09-30,2010-10-26,0.71,0.73,-0.02,-2.7397
49,2010-06-30,2010-08-03,0.69,0.71,-0.02,-2.8169
50,2010-03-31,2010-05-04,0.75,0.79,-0.04,-5.0633
51,2009-12-31,2010-02-02,0.66,0.68,-0.02,-2.9412
52,2009-09-30,2009-10-28,0.72,0.7,0.02,2.8571
53,2009-06-30,2009-08-04,0.68,0.69,-0.01,-1.4493
54,2009-03-31,2009-04-28,0.74,0.72,0.02,2.7778
55,2008-12-31,2009-02-03,0.62,0.64,-0.02,-3.125
56,2008-09-30,2008-10-22,0.74,0.66,0.08,12.1212
57,2008-06-30,2008-08-05,0.7,0.67,0.03,4.4776
58,2008-03-31,2008-04-29,0.76,0.66,0.1,15.1515
59,2007-12-31,2008-01-29,0.6,0.54,0.06,11.1111
60,2007-09-30,2007-10-24,0.58,0.57,0.01,1.7544
61,2007-06-30,2007-08-07,0.58,0.57,0.01,1.7544
62,2007-03-31,2007-05-01,0.6,0.6,0,0
63,2006-12-31,2007-01-30,0.47,0.48,-0.01,-2.0833
64,2006-09-30,2006-10-25,0.5,0.49,0.01,2.0408
65,2006-06-30,2006-08-08,0.49,0.5,-0.01,-2
66,2006-03-31,2006-04-25,0.52,0.5,0.02,4
67,2005-12-31,2006-01-31,0.42,0.41,0.01,2.439
68,2005-09-30,2005-10-27,0.43,0.42,0.01,2.381
69,2005-06-30,2005-08-16,0.47,0.43,0.04,9.3023
70,2005-03-31,2005-04-26,0.45,0.42,0.03,7.1429
71,2004-12-31,2005-02-01,0.36,0.35,0.01,2.8571
72,2004-09-30,2004-10-21,0.34,0.35,-0.01,-2.8571
73,2004-06-30,2004-08-10,0.32,0.35,-0.03,-8.5714
74,2004-03-31,2004-04-27,0.35,0.33,0.02,6.0606
75,2003-12-31,2004-01-27,0.3,0.29,0.01,3.4483
76,2003-09-30,2003-10-23,0.3,0.28,0.02,7.1429
77,2003-06-30,2003-08-12,0.31,0.3,0.01,3.3333
78,2003-03-31,2003-05-01,0.3,0.27,0.03,11.1111
79,2002-12-31,2003-01-28,0.23,0.25,-0.02,-8
80,2002-09-30,2002-10-25,0.25,0.25,0,0
81,2002-06-30,2002-08-13,0.26,0.25,0.01,4
82,2002-03-31,2002-04-23,0.25,0.24,0.01,4.1667
83,2001-12-31,2002-01-29,0.2,0.21,-0.01,-4.7619
84,2001-09-30,2001-10-18,0.2,0.19,0.01,5.2632
85,2001-06-30,2001-08-14,0.22,0.22,0,0
86,2001-03-31,2001-05-01,0.21,0.2,0.01,5
87,2000-12-31,2001-01-30,0.16,0.16,0,0
88,2000-09-30,2000-10-24,0.18,0.18,0,0
89,2000-06-30,2000-08-15,0.2,0.17,0.03,17.6471
90,2000-03-31,2000-04-25,0.18,0.14,0.04,28.5714
91,1999-12-31,2000-02-08,0.13,0.11,0.02,18.1818
92,1999-09-30,1999-10-21,0.12,0.11,0.01,9.0909
93,1999-06-30,1999-08-10,0.12,0.12,0,0
94,1999-03-31,1999-04-26,0.11,0.11,0,0
95,1998-12-31,1999-02-02,0.09,0.08,0.01,12.5
96,1998-09-30,1998-10-22,0.09,0.07,0.02,28.5714
97,1998-06-30,1998-08-11,0.13,0.11,0.02,18.1818
98,1998-03-31,1998-04-28,0.1,0.09,0.01,11.1111
99,1997-12-31,1998-02-03,0.08,0.08,0,0
100,1997-09-30,1997-10-23,0.08,0.08,0,0
101,1997-06-30,1997-08-12,0.09,0.08,0.01,12.5
102,1997-03-31,1997-04-22,0.08,0.07,0.01,14.2857
103,1996-12-31,1997-01-28,0.06,0.06,0,0
104,1996-09-30,1996-10-24,0.06,0.06,0,0
105,1996-06-30,1996-08-15,0.07,0.07,0,0
106,1996-03-31,1996-04-22,0.07,0.06,0.01,16.6667
