,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,1.15,1.04,0.11,10.5769
1,2022-06-30,2022-07-26,1.21,1.14,0.07,6.1404
2,2022-03-31,2022-04-26,0.98,0.88,0.1,11.3636
3,2021-12-31,2022-01-26,1.37,1.29,0.08,6.2016
4,2021-09-30,2021-10-26,1.59,1.43,0.16,11.1888
5,2021-06-30,2021-07-27,1.91,1.76,0.15,8.5227
6,2021-03-31,2021-04-27,1.11,1.05,0.06,5.7143
7,2020-12-31,2021-01-27,1.1,1.01,0.09,8.9109
8,2020-09-30,2020-10-20,1.18,1.12,0.06,5.3571
9,2020-06-30,2020-07-21,1.33,1.03,0.3,29.1262
10,2020-03-31,2020-04-21,1,0.88,0.12,13.6364
11,2019-12-31,2020-01-22,0.88,0.79,0.09,11.3924
12,2019-09-30,2019-10-22,0.77,0.7,0.07,10
13,2019-06-30,2019-07-23,0.66,0.62,0.04,6.4516
14,2019-03-31,2019-04-23,0.54,0.44,0.1,22.7273
15,2018-12-31,2019-01-23,0.63,0.5,0.13,26
16,2018-09-30,2018-10-23,0.71,0.63,0.08,12.6984
17,2018-06-30,2018-07-24,0.59,0.49,0.1,20.4082
18,2018-03-31,2018-04-24,0.45,0.42,0.03,7.1429
19,2017-12-31,2018-01-24,0.46,0.34,0.12,35.2941
20,2017-09-30,2017-10-25,0.54,0.43,0.11,25.5814
21,2017-06-30,2017-07-26,0.9,0.86,0.04,4.6512
22,2017-03-31,2017-04-26,0.44,0.38,0.06,15.7895
23,2016-12-31,2017-01-25,0.32,0.22,0.1,45.4545
24,2016-09-30,2016-10-26,0.33,0.28,0.05,17.8571
25,2016-06-30,2016-07-27,0.55,0.5,0.05,10
26,2016-03-31,2016-04-27,0.31,0.27,0.04,14.8148
27,2015-12-31,2016-01-27,0.13,0.1,0.03,30
28,2015-09-30,2015-10-27,0.4,0.38,0.02,5.2632
29,2015-06-30,2015-07-29,0.53,0.45,0.08,17.7778
30,2015-03-31,2015-04-30,0.17,0.12,0.05,41.6667
31,2014-12-31,2015-01-28,0.14,0.12,0.02,16.6667
32,2014-09-30,2014-10-22,0.44,0.4,0.04,10
33,2014-06-30,2014-07-23,0.54,0.42,0.12,28.5714
34,2014-03-31,2014-04-23,0.11,0.07,0.04,57.1429
35,2013-12-31,2014-01-22,0.07,0.04,0.03,75
36,2013-09-30,2013-10-23,0.46,0.44,0.02,4.5455
37,2013-06-30,2013-07-24,0.43,0.32,0.11,34.375
38,2013-03-31,2013-04-24,0.09,0.03,0.06,200
39,2012-12-31,2013-01-23,0.07,0.01,0.06,600
40,2012-09-30,2012-10-24,0.53,0.45,0.08,17.7778
41,2012-06-30,2012-07-25,0.77,0.58,0.19,32.7586
42,2012-03-31,2012-04-25,0.3,0.28,0.02,7.1429
43,2011-12-31,2012-01-25,0.16,0.11,0.05,45.4545
