,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-10-31,2022-11-16,1.54,2.13,-0.59,-27.6995
1,2022-07-31,2022-08-17,0.39,0.72,-0.33,-45.8333
2,2022-04-30,2022-05-18,2.19,3.07,-0.88,-28.6645
3,2022-01-31,2022-03-01,3.19,2.86,0.33,11.5385
4,2021-10-31,2021-11-17,3.03,2.83,0.2,7.0671
5,2021-07-31,2021-08-18,3.64,3.49,0.15,4.298
6,2021-04-30,2021-05-19,3.69,2.25,1.44,64
7,2021-01-31,2021-03-02,2.67,2.54,0.13,5.1181
8,2020-10-31,2020-11-18,2.79,1.6,1.19,74.375
9,2020-07-31,2020-08-19,3.38,1.62,1.76,108.642
10,2020-04-30,2020-05-20,0.59,0.4,0.19,47.5
11,2020-01-31,2020-03-03,1.69,1.66,0.03,1.8072
12,2019-10-31,2019-11-20,1.36,1.19,0.17,14.2857
13,2019-07-31,2019-08-21,1.82,1.62,0.2,12.3457
14,2019-04-30,2019-05-22,1.53,1.43,0.1,6.993
15,2019-01-31,2019-03-05,1.53,1.52,0.01,0.6579
16,2018-10-31,2018-11-20,1.09,1.12,-0.03,-2.6786
17,2018-07-31,2018-08-22,1.47,1.4,0.07,5
18,2018-04-30,2018-05-23,1.32,1.39,-0.07,-5.036
19,2018-01-31,2018-03-06,1.37,1.38,-0.01,-0.7246
20,2017-10-31,2017-11-15,0.91,0.86,0.05,5.814
21,2017-07-31,2017-08-16,1.23,1.19,0.04,3.3613
22,2017-04-30,2017-05-17,1.21,0.91,0.3,32.967
23,2017-01-31,2017-02-28,1.45,1.51,-0.06,-3.9735
24,2016-10-31,2016-11-16,1.04,0.83,0.21,25.3012
25,2016-07-31,2016-08-17,1.23,1.12,0.11,9.8214
26,2016-04-30,2016-05-18,1.29,1.19,0.1,8.4034
27,2016-01-31,2016-02-24,1.52,1.54,-0.02,-1.2987
28,2015-10-31,2015-11-18,0.86,0.86,0,0
29,2015-07-31,2015-08-19,1.22,1.11,0.11,9.9099
30,2015-04-30,2015-05-20,1.1,1.03,0.07,6.7961
31,2015-01-31,2015-02-25,1.5,1.46,0.04,2.7397
32,2014-10-31,2014-11-19,0.54,0.47,0.07,14.8936
33,2014-07-31,2014-08-20,0.78,0.79,-0.01,-1.2658
34,2014-04-30,2014-05-21,0.7,0.71,-0.01,-1.4085
35,2014-01-31,2014-02-26,0.9,0.79,0.11,13.9241
36,2013-10-31,2013-11-21,0.56,0.63,-0.07,-11.1111
37,2013-07-31,2013-08-21,0.97,0.96,0.01,1.0417
38,2013-04-30,2013-05-22,0.82,0.85,-0.03,-3.5294
39,2013-01-31,2013-02-27,1.47,1.48,-0.01,-0.6757
40,2012-10-31,2012-11-15,0.81,0.77,0.04,5.1948
