,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-08-31,2022-11-16,0.86,0.8,0.06,7.5
1,2022-05-31,2022-08-17,0.69,0.67,0.02,2.9851
2,2022-02-28,2022-05-18,0.68,0.6,0.08,13.3333
3,2021-11-30,2022-02-23,0.78,0.91,-0.13,-14.2857
4,2021-08-31,2021-11-17,0.84,0.81,0.03,3.7037
5,2021-05-31,2021-08-18,0.79,0.57,0.22,38.5965
6,2021-02-28,2021-05-19,0.44,0.31,0.13,41.9355
7,2020-11-30,2021-02-24,0.5,0.62,-0.12,-19.3548
8,2020-08-31,2020-11-18,0.71,0.4,0.31,77.5
9,2020-05-31,2020-08-19,-0.18,-0.1,-0.08,-80
10,2020-02-29,2020-05-21,-0.74,-0.18,-0.56,-311.1111
11,2019-11-30,2020-02-26,0.81,0.77,0.04,5.1948
12,2019-08-31,2019-11-19,0.68,0.66,0.02,3.0303
13,2019-05-31,2019-08-20,0.62,0.62,0,0
14,2019-02-28,2019-05-21,0.57,0.55,0.02,3.6364
15,2018-11-30,2019-02-27,0.68,0.69,-0.01,-1.4493
16,2018-08-31,2018-11-20,0.61,0.61,0,0
17,2018-05-31,2018-08-21,0.59,0.53,0.06,11.3208
18,2018-02-28,2018-05-22,0.56,0.51,0.05,9.8039
19,2017-11-30,2018-02-28,0.65,0.64,0.01,1.5625
20,2017-08-31,2017-11-14,0.5,0.5,0,0
21,2017-05-31,2017-08-15,0.43,0.42,0.01,2.381
22,2017-02-28,2017-05-16,0.41,0.4,0.01,2.5
23,2016-11-30,2017-02-22,0.52,0.5,0.02,4
24,2016-08-31,2016-11-15,0.46,0.43,0.03,6.9767
25,2016-05-31,2016-08-16,0.84,0.81,0.03,3.7037
26,2016-02-29,2016-05-17,0.76,0.71,0.05,7.0423
27,2015-11-30,2016-02-24,0.99,0.94,0.05,5.3191
28,2015-08-31,2015-11-17,0.86,0.84,0.02,2.381
29,2015-05-31,2015-08-18,0.8,0.76,0.04,5.2632
30,2015-02-28,2015-05-19,0.69,0.67,0.02,2.9851
31,2014-11-30,2015-02-25,0.93,0.9,0.03,3.3333
32,2014-08-31,2014-11-18,0.85,0.85,0,0
33,2014-05-31,2014-08-19,0.75,0.73,0.02,2.7397
34,2014-02-28,2014-05-20,0.32,0.33,-0.01,-3.0303
35,2013-11-30,2014-02-26,0.41,0.41,0,0
36,2013-08-31,2013-11-19,0.38,0.37,0.01,2.7027
37,2013-05-31,2013-08-20,0.33,0.32,0.01,3.125
38,2013-02-28,2013-05-21,0.31,0.31,0,0
39,2012-11-30,2013-02-27,0.41,0.4,0.01,2.5
40,2012-08-31,2012-11-13,0.31,0.31,0,0
41,2012-05-31,2012-08-14,0.28,0.27,0.01,3.7037
42,2012-02-29,2012-05-15,0.28,0.27,0.01,3.7037
43,2011-11-30,2012-02-22,0.31,0.31,0,0
44,2011-08-31,2011-11-15,0.27,0.26,0.01,3.8462
45,2011-05-31,2011-08-16,0.23,0.22,0.01,4.5455
46,2011-02-28,2011-05-17,0.2,0.2,0,0
47,2010-11-30,2011-02-23,0.26,0.26,0,0
48,2010-08-31,2010-11-16,0.23,0.23,0,0
49,2010-05-31,2010-08-17,0.18,0.18,0,0
50,2010-02-28,2010-05-18,0.2,0.19,0.01,5.2632
51,2009-11-30,2010-02-24,0.24,0.23,0.01,4.3478
52,2009-08-31,2009-11-17,0.2,0.2,0,0
53,2009-05-31,2009-08-18,0.15,0.15,0,0
54,2009-02-28,2009-05-19,0.12,0.12,0,0
55,2008-11-30,2009-02-25,0.14,0.13,0.01,7.6923
56,2008-08-31,2008-11-11,0.14,0.14,0,0
57,2008-05-31,2008-08-12,0.12,0.12,0,0
58,2008-02-29,2008-05-13,0.1,0.1,0,0
59,2007-11-30,2008-02-20,0.16,0.16,0,0
60,2007-08-31,2007-11-13,0.14,0.14,0,0
61,2007-05-31,2007-08-14,0.1,0.09,0.01,11.1111
