,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-26,5.08,4.81,0.27,5.6133
1,2022-06-30,2022-07-28,5.51,4.99,0.52,10.4208
2,2022-03-31,2022-04-28,7.25,6.18,1.07,17.3139
3,2021-12-31,2022-02-02,6.54,5.27,1.27,24.0987
4,2021-09-30,2021-10-27,5.76,4.67,1.09,23.3405
5,2021-06-30,2021-07-28,5.6,5.44,0.16,2.9412
6,2021-03-31,2021-04-29,7.21,6.65,0.56,8.4211
7,2020-12-31,2021-02-01,7.09,6.56,0.53,8.0793
8,2020-09-30,2020-10-21,5.63,4.31,1.32,30.6265
9,2020-06-30,2020-07-22,3.89,3.42,0.47,13.7427
10,2020-03-31,2020-04-22,2.94,2.8,0.14,5
11,2019-12-31,2020-01-30,3.55,3.54,0.01,0.2825
12,2019-09-30,2019-10-23,2.94,2.87,0.07,2.439
13,2019-06-30,2019-07-24,3.04,3,0.04,1.3333
14,2019-03-31,2019-04-24,2.81,2.73,0.08,2.9304
15,2018-12-31,2019-01-30,3.25,3.18,0.07,2.2013
16,2018-09-30,2018-10-24,2.62,2.55,0.07,2.7451
17,2018-06-30,2018-07-25,2.75,2.62,0.13,4.9618
18,2018-03-31,2018-04-25,2.5,2.4,0.1,4.1667
19,2017-12-31,2018-01-31,2.79,2.66,0.13,4.8872
20,2017-09-30,2017-10-25,2.31,2.25,0.06,2.6667
21,2017-06-30,2017-07-26,2.3,2.27,0.03,1.3216
22,2017-03-31,2017-04-26,2.08,2.02,0.06,2.9703
23,2016-12-31,2017-01-31,2.41,2.38,0.03,1.2605
24,2016-09-30,2016-10-27,2.03,1.97,0.06,3.0457
25,2016-06-30,2016-07-28,2.03,2.01,0.02,0.995
26,2016-03-31,2016-04-28,1.8,1.74,0.06,3.4483
27,2015-12-31,2016-01-28,2.12,2.11,0.01,0.4739
28,2015-09-30,2015-10-21,1.8,1.79,0.01,0.5587
29,2015-06-30,2015-07-22,1.84,1.78,0.06,3.3708
30,2015-03-31,2015-04-22,1.63,1.61,0.02,1.2422
31,2014-12-31,2015-01-29,1.99,1.94,0.05,2.5773
32,2014-09-30,2014-10-22,1.71,1.69,0.02,1.1834
33,2014-06-30,2014-07-23,1.72,1.62,0.1,6.1728
34,2014-03-31,2014-04-23,1.53,1.4,0.13,9.2857
35,2013-12-31,2014-01-30,1.43,1.37,0.06,4.3796
36,2013-09-30,2013-10-23,1.3,1.28,0.02,1.5625
37,2013-06-30,2013-07-24,1.32,1.3,0.02,1.5385
38,2013-03-31,2013-04-24,1.37,1.29,0.08,6.2016
39,2012-12-31,2013-01-31,1.36,1.28,0.08,6.25
40,2012-09-30,2012-10-24,1.19,1.16,0.03,2.5862
41,2012-06-30,2012-07-25,1.22,1.16,0.06,5.1724
42,2012-03-31,2012-04-25,1.17,1.11,0.06,5.4054
43,2011-12-31,2012-02-01,1.18,1.15,0.03,2.6087
44,2011-09-30,2011-10-26,1.07,1.07,0,0
45,2011-06-30,2011-07-27,0.99,0.98,0.01,1.0204
46,2011-03-31,2011-04-27,0.92,0.88,0.04,4.5455
47,2010-12-31,2011-02-02,1,0.95,0.05,5.2632
48,2010-09-30,2010-10-27,0.9,0.83,0.07,8.4337
49,2010-06-30,2010-07-27,0.84,0.84,0,0
50,2010-03-31,2010-04-28,0.84,0.75,0.09,12
51,2009-12-31,2010-02-03,0.91,0.88,0.03,3.4091
52,2009-09-30,2009-10-22,0.78,0.75,0.03,4
53,2009-06-30,2009-07-23,0.74,0.66,0.08,12.1212
54,2009-03-31,2009-04-23,0.62,0.7,-0.08,-11.4286
55,2008-12-31,2009-02-04,0.88,0.83,0.05,6.0241
56,2008-09-30,2008-10-23,0.76,0.76,0,0
57,2008-06-30,2008-07-24,0.79,0.77,0.02,2.5974
58,2008-03-31,2008-04-24,0.74,0.72,0.02,2.7778
59,2007-12-31,2008-02-06,0.76,0.69,0.07,10.1449
60,2007-09-30,2007-10-25,0.65,0.63,0.02,3.1746
61,2007-06-30,2007-07-26,0.65,0.6,0.05,8.3333
62,2007-03-31,2007-04-26,0.59,0.53,0.06,11.3208
