,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-27,1.86,1.81,0.05,2.7624
1,2022-06-30,2022-07-28,1.79,2.16,-0.37,-17.1296
2,2022-03-31,2022-04-28,2.62,2.75,-0.13,-4.7273
3,2021-12-31,2022-01-27,3.17,3.14,0.03,0.9554
4,2021-09-30,2021-10-28,3.27,3.31,-0.04,-1.2085
5,2021-06-30,2021-07-29,3.31,3.21,0.1,3.1153
6,2021-03-31,2021-04-29,3.01,2.94,0.07,2.381
7,2020-12-31,2021-01-28,2.89,2.64,0.25,9.4697
8,2020-09-30,2020-10-29,2.55,2.48,0.07,2.8226
9,2020-06-30,2020-07-29,2.29,2.02,0.27,13.3663
10,2020-03-31,2020-04-28,1.87,1.79,0.08,4.4693
11,2019-12-31,2020-01-29,2.03,1.95,0.08,4.1026
12,2019-09-30,2019-10-24,2.13,1.98,0.15,7.5758
13,2019-06-30,2019-07-24,2.03,1.91,0.12,6.2827
14,2019-03-31,2019-04-24,1.87,1.66,0.21,12.6506
15,2018-12-31,2019-01-30,1.41,1.6,-0.19,-11.875
16,2018-09-30,2018-10-25,2.3,1.93,0.37,19.171
17,2018-06-30,2018-07-25,1.77,1.8,-0.03,-1.6667
18,2018-03-31,2018-04-25,1.77,1.72,0.05,2.907
19,2017-12-31,2018-01-30,1.65,1.47,0.18,12.2449
20,2017-09-30,2017-10-26,1.56,1.44,0.12,8.3333
21,2017-06-30,2017-07-25,1.5,1.3,0.2,15.3846
22,2017-03-31,2017-04-25,1.54,1.2,0.34,28.3333
23,2016-12-31,2017-01-26,1.5,1.43,0.07,4.8951
24,2016-09-30,2016-10-27,1.28,1.18,0.1,8.4746
25,2016-06-30,2016-07-26,0.76,0.73,0.03,4.1096
26,2016-03-31,2016-04-26,1.15,1.03,0.12,11.6505
27,2015-12-31,2016-01-28,1.17,1.11,0.06,5.4054
28,2015-09-30,2015-10-22,1.06,1.14,-0.08,-7.0175
29,2015-06-30,2015-07-23,1.24,1.2,0.04,3.3333
30,2015-03-31,2015-04-22,1.13,1.14,-0.01,-0.8772
31,2014-12-31,2015-01-28,1.18,1.14,0.04,3.5088
32,2014-09-30,2014-10-23,1.12,1.15,-0.03,-2.6087
33,2014-06-30,2014-07-24,1.13,1.12,0.01,0.8929
34,2014-03-31,2014-04-24,1.05,1.03,0.02,1.9417
35,2013-12-31,2014-01-28,1.06,1.03,0.03,2.9126
36,2013-09-30,2013-10-24,1,0.96,0.04,4.1667
37,2013-06-30,2013-07-24,0.92,0.95,-0.03,-3.1579
38,2013-03-31,2013-04-24,0.91,0.89,0.02,2.2472
39,2012-12-31,2013-01-29,0.88,0.89,-0.01,-1.1236
40,2012-09-30,2012-10-24,0.87,0.84,0.03,3.5714
41,2012-06-30,2012-07-25,0.79,0.81,-0.02,-2.4691
42,2012-03-31,2012-04-24,0.75,0.77,-0.02,-2.5974
43,2011-12-31,2012-01-27,0.73,0.69,0.04,5.7971
44,2011-09-30,2011-10-25,0.71,0.73,-0.02,-2.7397
45,2011-06-30,2011-07-26,0.76,0.77,-0.01,-1.2987
46,2011-03-31,2011-04-21,0.72,0.75,-0.03,-4
47,2010-12-31,2011-01-28,0.72,0.69,0.03,4.3478
48,2010-09-30,2010-10-22,0.64,0.6,0.04,6.6667
49,2010-06-30,2010-07-23,0.59,0.6,-0.01,-1.6667
50,2010-03-31,2010-04-23,0.57,0.59,-0.02,-3.3898
51,2009-12-31,2010-01-28,0.57,0.55,0.02,3.6364
52,2009-09-30,2009-10-23,0.5,0.46,0.04,8.6957
53,2009-06-30,2009-07-24,0.38,0.34,0.04,11.7647
54,2009-03-31,2009-04-22,0.19,0.19,0,0
55,2008-12-31,2009-01-29,0.09,0.24,-0.15,-62.5
56,2008-09-30,2008-10-24,0.56,0.56,0,0
57,2008-06-30,2008-07-25,0.6,0.6,0,0
58,2008-03-31,2008-04-24,0.55,0.56,-0.01,-1.7857
59,2007-12-31,2008-01-29,0.68,0.63,0.05,7.9365
60,2007-09-30,2007-10-23,0.63,0.63,0,0
61,2007-06-30,2007-07-25,0.58,0.58,0,0
62,2007-03-31,2007-04-25,0.51,0.53,-0.02,-3.7736
63,2006-12-31,2007-01-26,0.53,0.51,0.02,3.9216
64,2006-09-30,2006-10-25,0.46,0.49,-0.03,-6.1224
65,2006-06-30,2006-07-27,0.49,0.46,0.03,6.5217
66,2006-03-31,2006-04-26,0.42,0.41,0.01,2.439
67,2005-12-31,2006-01-27,0.43,0.42,0.01,2.381
68,2005-09-30,2005-10-26,0.43,0.41,0.02,4.878
69,2005-06-30,2005-07-27,0.38,0.37,0.01,2.7027
70,2005-03-31,2005-04-26,0.35,0.35,0,0
71,2004-12-31,2005-01-28,0.36,0.33,0.03,9.0909
72,2004-09-30,2004-10-26,0.31,0.32,-0.01,-3.125
73,2004-06-30,2004-07-27,0.3,0.31,-0.01,-3.2258
74,2004-03-31,2004-04-27,0.29,0.28,0.01,3.5714
75,2003-12-31,2004-01-30,0.27,0.26,0.01,3.8462
76,2003-09-30,2003-10-24,0.26,0.24,0.02,8.3333
77,2003-06-30,2003-07-25,0.21,0.19,0.02,10.5263
78,2003-03-31,2003-04-25,0.16,0.14,0.02,14.2857
79,2002-12-31,2003-01-31,0.19,0.16,0.03,18.75
80,2002-09-30,2002-10-25,0.17,0.18,-0.01,-5.5556
81,2002-06-30,2002-07-19,0.2,0.21,-0.01,-4.7619
82,2002-03-31,2002-04-18,0.21,0.21,0,0
83,2001-12-31,2002-01-25,0.18,0.17,0.01,5.8824
84,2001-09-30,2001-10-19,0.2,0.19,0.01,5.2632
85,2001-06-30,2001-07-20,0.2,0.18,0.02,11.1111
86,2001-03-31,2001-04-23,0.19,0.2,-0.01,-5
87,2000-12-31,2001-01-24,0.24,0.25,-0.01,-4
88,2000-09-30,2000-10-26,0.27,0.26,0.01,3.8462
89,2000-06-30,2000-07-25,0.27,0.27,0,0
