,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-07,1.3,1.37,-0.07,-5.1095
1,2022-06-30,2022-08-08,0.74,0.86,-0.12,-13.9535
2,2022-03-31,2022-05-16,1.09,1.04,0.05,4.8077
3,2021-12-31,2022-02-07,1.32,1.22,0.1,8.1967
4,2021-09-30,2021-11-03,1.63,1.34,0.29,21.6418
5,2021-06-30,2021-08-02,1.01,0.89,0.12,13.4831
6,2021-03-31,2021-05-18,0.94,0.67,0.27,40.2985
7,2020-12-31,2021-02-08,1.25,0.96,0.29,30.2083
8,2020-09-30,2020-11-05,2,1.48,0.52,35.1351
9,2020-06-30,2020-08-03,2.3,1.6,0.7,43.75
10,2020-03-31,2020-05-20,1.5,0.9,0.6,66.6667
11,2019-12-31,2020-02-06,1.63,1.75,-0.12,-6.8571
12,2019-09-30,2019-11-07,1.93,1.69,0.24,14.2012
13,2019-06-30,2019-08-05,0.27,0.03,0.24,800
14,2019-03-31,2019-05-13,0.78,0.75,0.03,4
15,2018-12-31,2019-02-06,2.9,2.8,0.1,3.5714
16,2018-09-30,2018-11-07,1.05,0.92,0.13,14.1304
17,2018-06-30,2018-08-02,0.12,0.06,0.06,100
18,2018-03-31,2018-05-16,0.7,0.63,0.07,11.1111
19,2017-12-31,2018-02-07,1.12,0.98,0.14,14.2857
20,2017-09-30,2017-11-07,1.09,0.74,0.35,47.2973
21,2017-06-30,2017-08-02,0.41,0.19,0.22,115.7895
22,2017-03-31,2017-05-23,0.68,0.57,0.11,19.2982
23,2016-12-31,2017-02-07,0.99,0.96,0.03,3.125
24,2016-09-30,2016-11-02,0.66,0.29,0.37,127.5862
25,2016-06-30,2016-08-04,-0.34,-0.29,-0.05,-17.2414
26,2016-03-31,2016-05-18,0.46,0.26,0.2,76.9231
27,2015-12-31,2016-02-03,0.89,0.5,0.39,78
28,2015-09-30,2015-11-05,0.3,0.15,0.15,100
29,2015-06-30,2015-08-10,0.31,0.36,-0.05,-13.8889
30,2015-03-31,2015-05-18,0.49,0.27,0.22,81.4815
31,2014-12-31,2015-02-03,1.87,1.52,0.35,23.0263
32,2014-09-30,2014-10-29,-0.44,-0.59,0.15,25.4237
33,2014-06-30,2014-08-05,-0.14,-0.26,0.12,46.1538
34,2014-03-31,2014-05-13,0.21,0.1,0.11,110
35,2013-12-31,2014-02-03,1.7,1.37,0.33,24.0876
36,2013-09-30,2013-10-29,2.49,1.71,0.78,45.614
37,2013-06-30,2013-07-30,-0.54,-0.57,0.03,5.2632
38,2013-03-31,2013-05-13,0.38,0.23,0.15,65.2174
39,2012-12-31,2013-02-05,0.67,0.54,0.13,24.0741
40,2012-09-30,2012-10-31,0.11,-0.18,0.29,161.1111
41,2012-06-30,2012-07-31,-1.16,-0.65,-0.51,-78.4615
42,2012-03-31,2012-05-22,-0.6,-0.55,-0.05,-9.0909
43,2011-12-31,2012-02-02,0.27,0.23,0.04,17.3913
44,2011-09-30,2011-11-08,-0.47,-0.57,0.1,17.5439
45,2011-06-30,2011-08-08,0.02,0.09,-0.07,-77.7778
46,2011-03-31,2011-05-24,-0.18,-0.39,0.21,53.8462
47,2010-12-31,2011-02-08,0.52,0.34,0.18,52.9412
48,2010-09-30,2010-12-16,0.67,0.31,0.36,116.129
49,2010-06-30,2010-09-02,0.28,-0.06,0.34,566.6667
50,2010-03-31,2010-06-08,0.34,0.26,0.08,30.7692
51,2009-12-31,2010-03-03,-0.31,-0.51,0.2,39.2157
52,2009-09-30,2009-12-17,0.09,0.08,0.01,12.5
53,2009-06-30,2009-09-01,-0.66,-0.68,0.02,2.9412
54,2009-03-31,2009-05-26,-0.04,-0.13,0.09,69.2308
55,2008-12-31,2009-03-10,-0.52,-0.72,0.2,27.7778
56,2008-09-30,2008-12-17,0.02,0.06,-0.04,-66.6667
57,2008-06-30,2008-09-04,0.93,0.54,0.39,72.2222
58,2008-03-31,2008-06-05,1.52,1.13,0.39,34.5133
59,2007-12-31,2008-03-11,-0.41,-0.51,0.1,19.6078
60,2007-09-30,2007-12-18,0.05,-0.24,0.29,120.8333
61,2007-06-30,2007-09-10,-0.64,-0.8,0.16,20
62,2007-03-31,2007-06-11,-0.41,-0.58,0.17,29.3103
63,2006-12-31,2007-02-28,-1.29,-0.34,-0.95,-279.4118
64,2006-06-30,2006-09-11,-1.2853,None,None,None
65,2006-03-31,2006-06-08,-0.71,-0.11,-0.6,-545.4545
66,2005-12-31,2006-01-05,0.27,0.3,-0.03,-10
67,2005-06-30,2005-09-07,-0.41,-0.38,-0.03,-7.8947
68,2005-03-31,2005-06-02,-0.12,-0.13,0.01,7.6923
69,2004-12-31,2005-03-03,0.79,0.72,0.07,9.7222
70,2004-09-30,2004-12-16,0.91,1.03,-0.12,-11.6505
71,2004-06-30,2004-09-09,-0.21,-0.2,-0.01,-5
72,2004-03-31,2004-06-08,-0.22,-0.1,-0.12,-120
73,2003-12-31,2004-03-04,0.47,0.47,0,0
74,2003-09-30,2003-12-18,0.39,0.39,0,0
75,2003-06-30,2003-09-03,0.12,0.11,0.01,9.0909
76,2003-03-31,2003-05-29,0.24,0.23,0.01,4.3478
77,2002-12-31,2003-02-27,0.8,0.77,0.03,3.8961
78,2002-09-30,2002-12-17,0.36,0.32,0.04,12.5
79,2002-06-30,2002-09-05,0.08,0.05,0.03,60
80,2002-03-31,2002-06-06,0.18,0.17,0.01,5.8824
81,2001-12-31,2002-02-13,-0.1,0.04,-0.14,-350
82,2001-06-30,2001-08-29,0.03,0.03,0,0
