,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-07-31,2022-10-26,0.98,0.99,-0.01,-1.0101
1,2022-04-30,2022-07-28,1,0.88,0.12,13.6364
2,2022-01-31,2022-04-28,0.88,0.73,0.15,20.5479
3,2021-10-31,2022-01-27,0.94,0.95,-0.01,-1.0526
4,2021-07-31,2021-10-28,0.85,0.78,0.07,8.9744
5,2021-04-30,2021-07-29,0.81,0.65,0.16,24.6154
6,2021-01-31,2021-04-29,0.7,0.47,0.23,48.9362
7,2020-10-31,2021-01-27,1.06,0.91,0.15,16.4835
8,2020-07-31,2020-10-29,0.53,0.36,0.17,47.2222
9,2020-04-30,2020-07-30,0.13,-0.08,0.21,262.5
10,2020-01-31,2020-04-30,0.35,0.47,-0.12,-25.5319
11,2019-10-31,2020-01-29,1.11,1.09,0.02,1.8349
12,2019-07-31,2019-10-17,0.95,0.85,0.1,11.7647
13,2019-04-30,2019-07-17,0.93,0.86,0.07,8.1395
14,2019-01-31,2019-04-17,0.76,0.68,0.08,11.7647
15,2018-10-31,2019-01-24,1.15,0.98,0.17,17.3469
16,2018-07-31,2018-10-18,0.61,0.76,-0.15,-19.7368
17,2018-04-30,2018-07-18,0.87,0.7,0.17,24.2857
18,2018-01-31,2018-04-18,0.72,0.48,0.24,50
19,2017-10-31,2018-01-31,0.74,0.77,-0.03,-3.8961
20,2017-07-31,2017-10-19,0.65,0.62,0.03,4.8387
21,2017-04-30,2017-07-19,0.6,0.55,0.05,9.0909
22,2017-01-31,2017-04-19,0.46,0.45,0.01,2.2222
23,2016-10-31,2017-01-25,0.8,0.87,-0.07,-8.046
24,2016-07-31,2016-10-20,0.61,1.06,-0.45,-42.4528
25,2016-04-30,2016-07-22,0.66,0.64,0.02,3.125
26,2016-01-31,2016-04-20,0.55,0.53,0.02,3.7736
27,2015-10-31,2016-01-27,0.81,0.83,-0.02,-2.4096
28,2015-07-31,2015-10-27,0.63,0.61,0.02,3.2787
29,2015-04-30,2015-07-28,0.6,0.59,0.01,1.6949
30,2015-01-31,2015-04-28,0.46,0.48,-0.02,-4.1667
31,2014-10-31,2015-01-28,0.76,0.76,0,0
32,2014-07-31,2014-10-17,0.57,0.52,0.05,9.6154
33,2014-04-30,2014-05-01,0.36,0.39,-0.03,-7.6923
34,2014-01-31,2014-04-30,0.36,0.39,-0.03,-7.6923
35,2013-10-31,2014-01-22,0.6,0.59,0.01,1.6949
36,2013-07-31,2013-10-18,0.35,0.47,-0.12,-25.5319
37,2013-04-30,2013-07-17,0.4,0.38,0.02,5.2632
38,2013-01-31,2013-04-17,0.4,0.45,-0.05,-11.1111
39,2012-10-31,2013-01-23,0.5,0.55,-0.05,-9.0909
40,2012-07-31,2012-10-17,0.48,0.51,-0.03,-5.8824
41,2012-04-30,2012-07-19,0.58,0.44,0.14,31.8182
42,2012-01-31,2012-04-18,0.41,0.35,0.06,17.1429
43,2011-10-31,2012-01-25,0.49,0.34,0.15,44.1176
44,2011-07-31,2011-10-19,0.45,0.31,0.14,45.1613
45,2011-04-30,2011-07-20,0.29,0.24,0.05,20.8333
46,2011-01-31,2011-04-20,0.1,0.17,-0.07,-41.1765
47,2010-10-31,2011-01-26,0.33,0.25,0.08,32
48,2010-07-31,2010-10-20,0.13,0.08,0.05,62.5
49,2010-04-30,2010-07-21,0.29,0.09,0.2,222.2222
50,2010-01-31,2010-04-22,0.05,-0.03,0.08,266.6667
51,2009-10-31,2010-01-28,0.15,0.08,0.07,87.5
52,2009-07-31,2009-10-27,0.12,-0.03,0.15,500
53,2009-04-30,2009-07-28,0.08,-0.03,0.11,366.6667
54,2009-01-31,2009-04-28,0.26,0.01,0.25,2500
55,2008-10-31,2009-01-29,0.4,0.35,0.05,14.2857
56,2008-07-31,2008-10-16,0.85,0.86,-0.01,-1.1628
57,2008-04-30,2008-07-17,1,0.96,0.04,4.1667
58,2008-01-31,2008-04-17,0.9,0.84,0.06,7.1429
59,2007-10-31,2008-01-24,1.02,0.92,0.1,10.8696
60,2007-07-31,2007-10-18,0.95,0.77,0.18,23.3766
61,2007-04-30,2007-07-19,0.85,0.73,0.12,16.4384
62,2007-01-31,2007-04-18,0.78,0.62,0.16,25.8065
63,2006-10-31,2007-01-24,0.77,0.73,0.04,5.4795
64,2006-07-31,2006-10-19,0.68,0.62,0.06,9.6774
65,2006-04-30,2006-07-20,0.67,0.61,0.06,9.8361
66,2006-01-31,2006-04-20,0.6,0.53,0.07,13.2075
67,2005-10-31,2006-01-26,0.63,0.58,0.05,8.6207
68,2005-07-31,2005-10-20,0.5,0.46,0.04,8.6957
69,2005-04-30,2005-07-21,0.45,0.54,-0.09,-16.6667
70,2005-01-31,2005-04-21,0.46,0.39,0.07,17.9487
71,2004-10-31,2005-01-27,0.55,0.53,0.02,3.7736
72,2004-07-31,2004-10-21,0.42,0.38,0.04,10.5263
73,2004-04-30,2004-07-22,0.44,0.37,0.07,18.9189
74,2004-01-31,2004-04-22,0.28,0.25,0.03,12
75,2003-10-31,2004-01-29,0.46,0.44,0.02,4.5455
76,2003-07-31,2003-10-16,0.3,0.24,0.06,25
77,2003-04-30,2003-07-17,0.38,0.33,0.05,15.1515
78,2003-01-31,2003-04-16,0.27,0.25,0.02,8
79,2002-10-31,2003-01-23,0.52,0.51,0.01,1.9608
80,2002-07-31,2002-10-17,0.34,0.34,0,0
81,2002-04-30,2002-07-18,0.41,0.38,0.03,7.8947
82,2002-01-31,2002-04-18,0.24,0.22,0.02,9.0909
83,2001-10-31,2002-01-24,0.24,0.22,0.02,9.0909
