,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-25,2.99,2.84,0.15,5.2817
1,2022-06-30,2022-07-26,3.29,3.16,0.13,4.1139
2,2022-03-31,2022-04-26,3.05,2.88,0.17,5.9028
3,2021-12-31,2022-02-01,3.59,3.1,0.49,15.8065
4,2021-09-30,2021-10-26,2.71,2.55,0.16,6.2745
5,2021-06-30,2021-07-27,3.06,2.82,0.24,8.5106
6,2021-03-31,2021-04-27,2.77,1.72,1.05,61.0465
7,2020-12-31,2021-02-02,2.66,2.14,0.52,24.2991
8,2020-09-30,2020-10-28,2.28,1.9,0.38,20
9,2020-06-30,2020-07-30,2.13,1.07,1.06,99.0654
10,2020-03-31,2020-04-28,1.15,1.23,-0.08,-6.5041
11,2019-12-31,2020-01-30,2.11,2.11,0,0
12,2019-09-30,2019-10-22,2.07,2.06,0.01,0.4854
13,2019-06-30,2019-07-24,1.96,1.93,0.03,1.5544
14,2019-03-31,2019-04-25,1.39,1.42,-0.03,-2.1127
15,2018-12-31,2019-01-31,1.94,1.9,0.04,2.1053
16,2018-09-30,2018-10-24,1.82,1.82,0,0
17,2018-06-30,2018-07-25,1.94,1.93,0.01,0.5181
18,2018-03-31,2018-04-26,1.55,1.54,0.01,0.6494
19,2017-12-31,2018-02-01,1.67,1.66,0.01,0.6024
20,2017-09-30,2017-10-26,1.45,1.45,0,0
21,2017-06-30,2017-07-27,1.58,1.47,0.11,7.483
22,2017-03-31,2017-04-27,1.32,1.29,0.03,2.3256
23,2016-12-31,2017-01-31,1.63,1.69,-0.06,-3.5503
24,2016-09-30,2016-10-27,1.44,1.44,0,0
25,2016-06-30,2016-07-29,1.43,1.43,0,0
26,2016-03-31,2016-04-28,1.27,1.22,0.05,4.0984
27,2015-12-31,2016-02-02,1.57,1.42,0.15,10.5634
28,2015-09-30,2015-10-27,1.39,1.37,0.02,1.4599
29,2015-06-30,2015-07-28,1.35,1.26,0.09,7.1429
30,2015-03-31,2015-04-28,1.12,1.09,0.03,2.7523
31,2014-12-31,2015-02-03,1.25,1.25,0,0
32,2014-09-30,2014-10-24,1.32,1.28,0.04,3.125
33,2014-06-30,2014-07-29,1.21,1.25,-0.04,-3.2
34,2014-03-31,2014-04-24,0.98,1.08,-0.1,-9.2593
35,2013-12-31,2014-01-30,1.25,1.25,0,0
36,2013-09-30,2013-10-25,1.16,1.15,0.01,0.8696
37,2013-06-30,2013-07-23,1.13,1.13,0,0
38,2013-03-31,2013-04-25,1.04,1.01,0.03,2.9703
39,2012-12-31,2013-01-31,1.32,1.38,-0.06,-4.3478
40,2012-09-30,2012-10-23,1.06,1.06,0,0
41,2012-06-30,2012-07-24,1.15,1.17,-0.02,-1.7094
42,2012-03-31,2012-04-26,1,1.02,-0.02,-1.9608
43,2011-12-31,2012-01-31,1.28,1.26,0.02,1.5873
44,2011-09-30,2011-10-25,1.06,1.05,0.01,0.9524
45,2011-06-30,2011-07-26,1.05,1.04,0.01,0.9615
46,2011-03-31,2011-04-26,0.88,0.85,0.03,3.5294
47,2010-12-31,2011-02-01,1.08,1.05,0.03,2.8571
48,2010-09-30,2010-10-21,0.93,0.88,0.05,5.6818
49,2010-06-30,2010-07-22,0.84,0.77,0.07,9.0909
50,2010-03-31,2010-04-27,0.71,0.58,0.13,22.4138
51,2009-12-31,2010-02-02,0.75,0.74,0.01,1.3514
52,2009-09-30,2009-10-22,0.55,0.52,0.03,5.7692
53,2009-06-30,2009-07-23,0.49,0.49,0,0
54,2009-03-31,2009-04-23,0.52,0.56,-0.04,-7.1429
55,2008-12-31,2009-02-03,0.83,0.85,-0.02,-2.3529
56,2008-09-30,2008-10-23,0.96,0.89,0.07,7.8652
57,2008-06-30,2008-07-22,0.85,0.85,0,0
58,2008-03-31,2008-04-23,0.87,0.87,0,0
59,2007-12-31,2008-01-30,1.13,1.13,0,0
60,2007-09-30,2007-10-23,1.05,1.02,0.03,2.9412
61,2007-06-30,2007-07-24,1.04,1.03,0.01,0.9709
62,2007-03-31,2007-04-25,0.96,0.96,0,0
63,2006-12-31,2007-01-30,1.04,1.04,0,0
64,2006-09-30,2006-10-19,0.96,0.9,0.06,6.6667
65,2006-06-30,2006-07-25,0.97,1,-0.03,-3
66,2006-03-31,2006-04-20,0.89,0.88,0.01,1.1364
67,2005-12-31,2006-01-26,0.95,0.96,-0.01,-1.0417
68,2005-09-30,2005-10-20,0.86,0.86,0,0
69,2005-06-30,2005-07-21,0.88,0.86,0.02,2.3256
70,2005-03-31,2005-04-21,0.78,0.73,0.05,6.8493
71,2004-12-31,2005-01-27,0.76,0.76,0,0
72,2004-09-30,2004-10-21,0.7,0.72,-0.02,-2.7778
73,2004-06-30,2004-07-22,0.72,0.71,0.01,1.4085
74,2004-03-31,2004-04-22,0.67,0.62,0.05,8.0645
75,2003-12-31,2004-01-29,0.7,0.69,0.01,1.4493
76,2003-09-30,2003-10-21,0.62,0.6,0.02,3.3333
77,2003-06-30,2003-07-22,0.61,0.59,0.02,3.3898
78,2003-03-31,2003-04-22,0.52,0.51,0.01,1.9608
79,2002-12-31,2003-01-28,0.59,0.57,0.02,3.5088
80,2002-09-30,2002-10-22,0.51,0.54,-0.03,-5.5556
81,2002-06-30,2002-07-12,0.54,0.54,0,0
82,2002-03-31,2002-04-18,0.5,0.47,0.03,6.383
83,2001-12-31,2002-01-29,0.57,0.5,0.07,14
84,2001-09-30,2001-10-18,0.5,0.46,0.04,8.6957
85,2001-06-30,2001-07-19,0.55,0.54,0.01,1.8519
86,2001-03-31,2001-04-19,0.51,0.5,0.01,2
87,2000-12-31,2001-01-30,0.63,0.61,0.02,3.2787
88,2000-09-30,2000-10-19,0.6,0.58,0.02,3.4483
89,2000-06-30,2000-07-20,0.6,0.6,0,0
90,2000-03-31,2000-04-20,0.56,0.53,0.03,5.6604
