,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-31,0.19,0.11,0.08,72.7273
1,2022-06-30,2022-08-01,0.19,0.17,0.02,11.7647
2,2022-03-31,2022-05-02,0.16,0.08,0.08,100
3,2021-12-31,2022-02-14,0.06,0.23,-0.17,-73.913
4,2021-09-30,2021-11-01,0.2,0.13,0.07,53.8462
5,2021-06-30,2021-08-02,0.25,0.1,0.15,150
6,2021-03-31,2021-05-03,0.02,-0.02,0.04,200
7,2020-12-31,2021-02-16,-0.97,-0.42,-0.55,-130.9524
8,2020-09-30,2020-11-02,0.28,0.6,-0.32,-53.3333
9,2020-06-30,2020-08-03,-1.03,0.4,-1.43,-357.5
10,2020-03-31,2020-05-04,0.03,0.15,-0.12,-80
11,2019-12-31,2020-02-18,1.01,0.87,0.14,16.092
12,2019-09-30,2019-10-28,1.69,0.74,0.95,128.3784
13,2019-06-30,2019-07-29,12.56,0.23,12.33,5360.8696
14,2019-03-31,2019-04-29,0.95,0.28,0.67,239.2857
15,2018-12-31,2019-02-11,0.34,0.3,0.04,13.3333
16,2018-09-30,2018-10-29,0.35,0.37,-0.02,-5.4054
17,2018-06-30,2018-07-30,0.36,0.39,-0.03,-7.6923
18,2018-03-31,2018-04-30,0.3,-0.04,0.34,850
19,2017-12-31,2018-02-12,0.34,0.27,0.07,25.9259
20,2017-09-30,2017-10-30,-0.15,0.09,-0.24,-266.6667
21,2017-06-30,2017-07-31,0.61,0.47,0.14,29.7872
22,2017-03-31,2017-05-01,0.25,0.49,-0.24,-48.9796
23,2016-12-31,2017-02-13,3.43,0.49,2.94,600
24,2016-09-30,2016-10-31,0.35,0.37,-0.02,-5.4054
25,2016-06-30,2016-08-01,1.16,0.37,0.79,213.5135
26,2016-03-31,2016-05-02,-0.61,0.48,-1.09,-227.0833
27,2015-12-31,2016-02-16,1.22,0.4,0.82,205
28,2015-09-30,2015-11-02,1.05,0.52,0.53,101.9231
29,2015-06-30,2015-08-03,0.87,0.49,0.38,77.551
30,2015-03-31,2015-05-04,0.45,0.62,-0.17,-27.4194
31,2014-12-31,2015-02-17,2.72,0.45,2.27,504.4444
32,2014-09-30,2014-11-03,0.69,0.5,0.19,38
33,2014-06-30,2014-08-04,0.41,0.31,0.1,32.2581
34,2014-03-31,2014-05-05,0.33,0.56,-0.23,-41.0714
35,2013-12-31,2014-02-24,-0.37,-0.44,0.07,15.9091
36,2013-09-30,2013-11-04,0.44,0.31,0.13,41.9355
37,2013-06-30,2013-08-05,0.46,0.4,0.06,15
38,2013-03-31,2013-05-06,0.61,0.95,-0.34,-35.7895
39,2012-12-31,2013-02-26,0.11,0.31,-0.2,-64.5161
40,2012-09-30,2012-11-01,0.45,0.39,0.06,15.3846
41,2012-06-30,2012-08-06,0.05,0.35,-0.3,-85.7143
42,2012-03-31,2012-05-07,0.97,0.89,0.08,8.9888
43,2011-12-31,2012-02-27,0.37,0.44,-0.07,-15.9091
44,2011-09-30,2011-11-03,0.27,0.37,-0.1,-27.027
45,2011-06-30,2011-08-01,0.49,0.39,0.1,25.641
46,2011-03-31,2011-05-03,1.38,1.13,0.25,22.1239
47,2010-12-31,2011-02-23,1.27,0.36,0.91,252.7778
48,2010-09-30,2010-11-02,0.52,0.43,0.09,20.9302
49,2010-06-30,2010-08-03,0.32,0.31,0.01,3.2258
50,2010-03-31,2010-05-04,1.0919,None,None,None
51,2009-12-31,2010-02-23,-0.84,None,None,None
52,2009-09-30,2009-11-03,0.69,0.26,0.43,165.3846
53,2009-06-30,2009-08-04,-0.3,0.1,-0.4,-400
54,2009-03-31,2009-05-05,0.79,0.8,-0.01,-1.25
55,2008-12-31,2009-02-24,-1.4,-0.13,-1.27,-976.9231
56,2008-09-30,2008-11-04,0.2,0.32,-0.12,-37.5
57,2008-06-30,2008-08-05,0.79,0.48,0.31,64.5833
58,2008-03-31,2008-05-05,2.47,2.1,0.37,17.619
59,2007-12-31,2008-02-26,0.57,0.54,0.03,5.5556
60,2007-09-30,2007-10-30,0.8,0.58,0.22,37.931
61,2007-06-30,2007-07-31,0.96,0.9,0.06,6.6667
62,2007-03-31,2007-05-01,1.02,1.02,0,0
63,2006-12-31,2007-02-27,0.69,0.71,-0.02,-2.8169
64,2006-09-30,2006-10-31,0.66,0.73,-0.07,-9.589
65,2006-06-30,2006-08-01,0.99,0.53,0.46,86.7925
66,2006-03-31,2006-05-02,0.91,0.87,0.04,4.5977
67,2005-12-31,2006-02-28,0.42,0.42,0,0
68,2005-09-30,2005-11-01,0.19,0.76,-0.57,-75
69,2005-06-30,2005-07-29,1.2466,None,None,None
70,2005-03-31,2005-04-28,1.387,None,None,None
71,2004-12-31,2005-02-25,1.76,None,None,None
72,2004-09-30,2004-11-05,0.7908,None,None,None
73,2004-06-30,2004-08-06,1.2138,None,None,None
74,2004-03-31,2004-05-06,0.59,0.65,-0.06,-9.2308
75,2003-12-31,2004-03-03,0.67,0.93,-0.26,-27.957
76,2003-09-30,2003-11-07,0.64,0.87,-0.23,-26.4368
77,2003-06-30,2003-08-08,0.71,1.03,-0.32,-31.068
78,2003-03-31,2003-05-08,0.77,1.03,-0.26,-25.2427
79,2002-12-31,2003-03-07,0.36,0.91,-0.55,-60.4396
80,2002-09-30,2002-10-31,0.5175,None,None,None
81,2002-06-30,2002-08-08,0.68,0.42,0.26,61.9048
82,2002-03-31,2002-05-02,0.4036,None,None,None
83,2001-12-31,2002-03-11,0.6039,None,None,None
84,2001-09-30,2001-11-02,0.7373,None,None,None
85,2001-06-30,2001-06-30,0.6353,None,None,None
86,2001-03-31,2001-03-31,0.524,None,None,None
87,2000-12-31,2000-12-31,0.4741,None,None,None
88,2000-09-30,2000-09-30,0.6515,None,None,None
89,2000-06-30,2000-06-30,0.5328,None,None,None
90,2000-03-31,2000-03-31,0.5415,None,None,None
91,1999-12-31,1999-12-31,0.4268,None,None,None
92,1999-09-30,1999-09-30,0.5186,None,None,None
93,1999-06-30,1999-06-30,0.497,None,None,None
94,1999-03-31,1999-05-06,0.4985,0.74,-0.2415,-32.6351
95,1998-12-31,1998-12-31,0.4,None,None,None
96,1998-09-30,1998-09-30,0.4642,None,None,None
97,1998-06-30,1998-06-30,0.3667,None,None,None
98,1998-03-31,1998-03-31,0.3505,None,None,None
