,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-10-21,1.32,1.29,0.03,2.3256
1,2022-06-30,2022-07-22,1.31,1.32,-0.01,-0.7576
2,2022-03-31,2022-04-22,1.35,1.35,0,0
3,2021-12-31,2022-01-25,1.31,1.28,0.03,2.3438
4,2021-09-30,2021-10-20,1.41,1.36,0.05,3.6765
5,2021-06-30,2021-07-21,1.37,1.3,0.07,5.3846
6,2021-03-31,2021-04-21,1.31,1.29,0.02,1.5504
7,2020-12-31,2021-01-26,1.21,1.17,0.04,3.4188
8,2020-09-30,2020-10-21,1.25,1.22,0.03,2.459
9,2020-06-30,2020-07-24,1.18,1.15,0.03,2.6087
10,2020-03-31,2020-04-24,1.26,1.22,0.04,3.2787
11,2019-12-31,2020-01-30,1.13,1.14,-0.01,-0.8772
12,2019-09-30,2019-10-25,1.25,1.24,0.01,0.8065
13,2019-06-30,2019-08-01,1.23,1.2,0.03,2.5
14,2019-03-31,2019-04-23,1.2,1.17,0.03,2.5641
15,2018-12-31,2019-01-29,1.12,1.09,0.03,2.7523
16,2018-09-30,2018-10-23,1.22,1.19,0.03,2.521
17,2018-06-30,2018-07-24,1.2,1.14,0.06,5.2632
18,2018-03-31,2018-04-24,1.17,1.1,0.07,6.3636
19,2017-12-31,2018-01-23,0.86,0.88,-0.02,-2.2727
20,2017-09-30,2017-10-19,0.98,0.98,0,0
21,2017-06-30,2017-07-27,0.96,0.96,0,0
22,2017-03-31,2017-04-20,0.95,0.96,-0.01,-1.0417
23,2016-12-31,2017-01-24,0.86,0.89,-0.03,-3.3708
24,2016-09-30,2016-10-20,1.01,0.99,0.02,2.0202
25,2016-06-30,2016-07-26,0.94,0.92,0.02,2.1739
26,2016-03-31,2016-04-21,1.06,1.06,0,0
27,2015-12-31,2016-01-21,0.89,0.88,0.01,1.1364
28,2015-09-30,2015-10-20,1.04,1.02,0.02,1.9608
29,2015-06-30,2015-07-21,1.04,1.01,0.03,2.9703
30,2015-03-31,2015-04-21,1.02,0.95,0.07,7.3684
31,2014-12-31,2015-01-22,0.71,0.72,-0.01,-1.3889
32,2014-09-30,2014-10-21,0.89,0.9,-0.01,-1.1111
33,2014-06-30,2014-07-22,0.91,0.9,0.01,1.1111
34,2014-03-31,2014-04-24,0.91,0.87,0.04,4.5977
35,2013-12-31,2014-01-21,0.66,0.65,0.01,1.5385
36,2013-09-30,2013-10-17,0.77,0.74,0.03,4.0541
37,2013-06-30,2013-07-18,0.73,0.72,0.01,1.3889
38,2013-03-31,2013-04-18,0.68,0.66,0.02,3.0303
39,2012-12-31,2013-01-22,0.45,0.5,-0.05,-10
40,2012-09-30,2012-10-18,0.64,0.64,0,0
41,2012-06-30,2012-07-19,0.64,0.64,0,0
42,2012-03-31,2012-04-19,0.59,0.58,0.01,1.7241
43,2011-12-31,2012-01-24,0.52,0.53,-0.01,-1.8868
44,2011-09-30,2011-10-21,0.56,0.55,0.01,1.8182
45,2011-06-30,2011-07-22,0.57,0.55,0.02,3.6364
46,2011-03-31,2011-04-21,0.51,0.5,0.01,2
47,2010-12-31,2011-01-25,0.54,0.55,-0.01,-1.8182
48,2010-09-30,2010-10-22,0.56,0.54,0.02,3.7037
49,2010-06-30,2010-07-23,0.58,0.56,0.02,3.5714
50,2010-03-31,2010-04-22,0.56,0.56,0,0
51,2009-12-31,2010-01-26,0.54,0.54,0,0
52,2009-09-30,2009-10-26,0.6,0.59,0.01,1.6949
53,2009-06-30,2009-07-27,0.63,0.62,0.01,1.6129
54,2009-03-31,2009-04-27,0.63,0.59,0.04,6.7797
55,2008-12-31,2009-01-27,0.61,0.62,-0.01,-1.6129
56,2008-09-30,2008-10-27,0.66,0.66,0,0
57,2008-06-30,2008-07-28,0.67,0.65,0.02,3.0769
58,2008-03-31,2008-04-28,0.61,0.61,0,0
59,2007-12-31,2008-01-28,0.62,0.62,0,0
60,2007-09-30,2007-10-29,0.63,0.62,0.01,1.6129
61,2007-06-30,2007-07-30,0.58,0.58,0,0
62,2007-03-31,2007-04-30,0.54,0.53,0.01,1.8868
63,2006-12-31,2007-01-29,0.62,0.61,0.01,1.6393
64,2006-09-30,2006-10-30,0.68,0.66,0.02,3.0303
65,2006-06-30,2006-08-01,0.64,0.62,0.02,3.2258
66,2006-03-31,2006-05-02,0.6,0.59,0.01,1.6949
67,2005-12-31,2006-01-26,0.64,0.64,0,0
68,2005-09-30,2005-10-27,0.66,0.64,0.02,3.125
69,2005-06-30,2005-07-26,0.63,0.64,-0.01,-1.5625
70,2005-03-31,2005-04-27,0.63,0.6,0.03,5
