,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-09-30,2022-11-01,1.22,1.21,0.01,0.8264
1,2022-06-30,2022-08-05,1.23,1.22,0.01,0.8197
2,2022-03-31,2022-04-27,1.13,1.12,0.01,0.8929
3,2021-12-31,2022-02-16,1.18,1.17,0.01,0.8547
4,2021-09-30,2021-10-27,1.14,1.12,0.02,1.7857
5,2021-06-30,2021-07-29,1.06,0.95,0.11,11.5789
6,2021-03-31,2021-04-29,0.89,0.86,0.03,3.4884
7,2020-12-31,2021-02-18,0.98,1.03,-0.05,-4.8544
8,2020-09-30,2020-10-29,0.95,0.91,0.04,4.3956
9,2020-06-30,2020-07-28,0.87,0.75,0.12,16
10,2020-03-31,2020-05-04,0.97,0.97,0,0
11,2019-12-31,2020-02-18,1.04,1.05,-0.01,-0.9524
12,2019-09-30,2019-10-31,1.03,1.01,0.02,1.9802
13,2019-06-30,2019-07-30,1.06,0.97,0.09,9.2784
14,2019-03-31,2019-04-25,1.06,0.85,0.21,24.7059
15,2018-12-31,2019-02-25,0.97,1.02,-0.05,-4.902
16,2018-09-30,2018-10-30,0.95,0.95,0,0
17,2018-06-30,2018-07-24,0.96,0.93,0.03,3.2258
18,2018-03-31,2018-04-24,0.92,0.9,0.02,2.2222
19,2017-12-31,2018-02-20,0.9,0.92,-0.02,-2.1739
20,2017-09-30,2017-10-24,0.88,0.84,0.04,4.7619
21,2017-06-30,2017-07-25,0.8,0.94,-0.14,-14.8936
22,2017-03-31,2017-04-25,0.84,0.82,0.02,2.439
23,2016-12-31,2017-02-21,0.81,0.94,-0.13,-13.8298
24,2016-09-30,2016-10-25,0.94,0.99,-0.05,-5.0505
25,2016-06-30,2016-07-25,1.05,1.08,-0.03,-2.7778
26,2016-03-31,2016-04-26,1.05,1,0.05,5
27,2015-12-31,2016-02-18,1.05,1.05,0,0
28,2015-09-30,2015-10-22,1.02,1.04,-0.02,-1.9231
29,2015-06-30,2015-07-23,1.04,1.02,0.02,1.9608
30,2015-03-31,2015-04-22,0.99,0.95,0.04,4.2105
31,2014-12-31,2015-02-18,0.95,0.94,0.01,1.0638
32,2014-09-30,2014-10-28,0.93,0.89,0.04,4.4944
33,2014-06-30,2014-07-24,0.91,0.87,0.04,4.5977
34,2014-03-31,2014-04-23,0.83,0.8,0.03,3.75
35,2013-12-31,2014-02-19,0.79,0.79,0,0
36,2013-09-30,2013-10-24,0.76,0.73,0.03,4.1096
37,2013-06-30,2013-07-25,0.77,0.73,0.04,5.4795
38,2013-03-31,2013-04-24,0.72,0.7,0.02,2.8571
39,2012-12-31,2013-02-19,0.67,0.66,0.01,1.5152
40,2012-09-30,2012-10-23,0.65,0.65,0,0
41,2012-06-30,2012-07-24,0.67,0.62,0.05,8.0645
42,2012-03-31,2012-04-24,0.61,0.59,0.02,3.3898
43,2011-12-31,2012-02-21,0.48,0.48,0,0
44,2011-09-30,2011-10-25,0.48,0.44,0.04,9.0909
45,2011-06-30,2011-07-26,0.47,0.42,0.05,11.9048
46,2011-03-31,2011-04-26,0.43,0.4,0.03,7.5
47,2010-12-31,2011-02-22,0.32,0.32,0,0
48,2010-09-30,2010-10-27,0.32,0.31,0.01,3.2258
49,2010-06-30,2010-07-27,0.33,0.31,0.02,6.4516
50,2010-03-31,2010-04-27,0.32,0.3,0.02,6.6667
51,2009-12-31,2010-02-23,0.28,0.28,0,0
52,2009-09-30,2009-10-29,0.28,0.28,0,0
53,2009-06-30,2009-07-24,0.32,0.31,0.01,3.2258
54,2009-03-31,2009-04-22,0.34,0.29,0.05,17.2414
55,2008-12-31,2009-02-24,0.32,0.33,-0.01,-3.0303
56,2008-09-30,2008-10-22,0.34,0.33,0.01,3.0303
57,2008-06-30,2008-07-22,0.35,0.33,0.02,6.0606
58,2008-03-31,2008-04-24,0.33,0.3,0.03,10
59,2007-12-31,2008-02-21,0.3,0.3,0,0
